arm,segment,scope,timeframe,width_bucket,guard_cut,n,open_share,mfe_r_pre_exit_median,cost_loss_r_median,reach_1r,breakeven_1r,ev_1r,reach_1_5r,breakeven_1_5r,ev_1_5r,reach_2r,breakeven_2r,ev_2r,reach_2_5r,breakeven_2_5r,ev_2_5r,reach_3r,breakeven_3r,ev_3r
zone_top,oos_warm,first_fill,all,1.00~1.50%,False,2312,0.012110726643598616,1.0101525596469332,0.09020343191109229,0.504325259515571,0.5301048166929869,-0.0526378430077662,0.3961937716262976,0.426464921045132,-0.07701677293680871,0.3274221453287197,0.3567226745949286,-0.08923787037251309,0.2820069204152249,0.30658506612072406,-0.08619975408591342,0.24524221453287198,0.26880442581529734,-0.09397075699940959
zone_top,oos_warm,first_fill,all,≥1.50%,False,2893,0.014863463532665053,1.0904450788836866,0.048854410468108,0.523332181126858,0.5161897628558744,0.014951756009688129,0.42481852748012444,0.41418828891691706,0.02767347082164866,0.35810577255444176,0.3458472749342137,0.038589571996528474,0.3052194953335638,0.2968646467080564,0.03281274334560019,0.26650535776011064,0.260035595750171,0.029809299616714014
zone_top,oos_warm,first_fill,15m,0.00~0.30%,True,1912,0.006276150627615063,1.0092373295813404,0.4828245971922841,0.5031380753138075,0.660619248902939,-0.373202300763634,0.38859832635983266,0.5448128214557248,-0.4489351892054617,0.3185146443514644,0.4635522083641883,-0.48893778445559655,0.26830543933054396,0.4033858850975746,-0.5237120381862654,0.24267782426778242,0.3570437297256903,-0.5006864214093032
zone_top,oos_warm,first_fill,15m,0.30~0.40%,False,1421,0.0028149190710767065,1.0149184562500977,0.311603628466408,0.505981703026038,0.5977976628789683,-0.2018485013401804,0.38494018296973964,0.48711414151540217,-0.2755856208402858,0.31878958479943703,0.41101401396359083,-0.29484167293693525,0.2681210415200563,0.3554788107450827,-0.32287429215830593,0.23293455313159747,0.3131647584059992,-0.336603591130194
zone_top,oos_warm,first_fill,15m,0.40~0.50%,False,1385,0.002888086642599278,1.1180607036197778,0.24414248197248772,0.5328519855595668,0.577608221539159,-0.09659394167504051,0.39783393501805053,0.4688626865088372,-0.1886904718333834,0.3256317689530686,0.3945763243928954,-0.21760863643808936,0.2779783393501805,0.3406102173170507,-0.22891538627436592,0.23971119133574006,0.29962990827768227,-0.24896245489593222
zone_top,oos_warm,first_fill,15m,0.50~0.75%,False,2716,0.004050073637702504,1.1415735887912906,0.17919830746195353,0.5364506627393225,0.5582436446633615,-0.04562703876026304,0.43078055964653905,0.45148760997312537,-0.05367914417993662,0.3634020618556701,0.3790078352469873,-0.04818118375555812,0.3078055964653903,0.32658013970652955,-0.06752351419572876,0.27282768777614136,0.2868943861877043,-0.05759533363817851
zone_top,oos_warm,first_fill,15m,0.75~1.00%,False,1550,0.005161290322580645,1.0606874315945236,0.12788618537239355,0.516774193548387,0.5419193827265425,-0.05161061733753303,0.4161290322580645,0.43693885124674214,-0.05305546378222647,0.34838709677419355,0.36603132471795496,-0.053733516089310776,0.29870967741935484,0.3149245786553149,-0.0574547265395629,0.26645161290322583,0.2763407820718414,-0.03972768614762374
zone_top,oos_warm,first_fill,15m,1.00~1.50%,False,1291,0.010069713400464756,1.0025724834030634,0.0924663244856464,0.5011618900077459,0.5306344783709039,-0.060700237662719495,0.38884585592563903,0.42693348538037124,-0.0973976758543318,0.3144848954298993,0.3571385135181922,-0.13041293847987576,0.2711076684740511,0.3069572280724679,-0.12752585840610076,0.23392718822618125,0.26914048476484054,-0.14289640502667744
zone_top,oos_warm,first_fill,15m,≥1.50%,False,691,0.011577424023154847,1.0343135742701033,0.05776354128458886,0.5151953690303908,0.518763162160466,-0.007309885314006882,0.40665701881331406,0.4164538601944505,-0.02483253531934637,0.3357452966714906,0.347851392368941,-0.036795728812579566,0.2865412445730825,0.29865408769617946,-0.04282338442725258,0.2503617945007236,0.2616486114066769,-0.04543396745045293
zone_top,oos_warm,first_fill,1h,0.00~0.30%,True,68,0.04411764705882353,1.2459011304239822,0.4341366720673032,0.5441176470588235,0.6378480057401892,-0.2109852922487513,0.4264705882352941,0.5237379917917558,-0.27441040305772546,0.36764705882352944,0.4442604837608829,-0.25683158558268065,0.3382352941176471,0.3857263178180526,-0.18536464309214562,0.27941176470588236,0.3408209706569727,-0.26975618110745114
zone_top,oos_warm,first_fill,1h,0.30~0.40%,False,83,0.0,0.7692653336328973,0.3064143668621534,0.46987951807228917,0.5965349338968771,-0.27851618243677256,0.39759036144578314,0.4859685143998083,-0.23867695336956252,0.3253012048192771,0.4099796927583355,-0.27074619764951263,0.26506024096385544,0.35454154514182257,-0.33122046363758206,0.21686746987951808,0.3123104039807345,-0.40084860871848693
zone_top,oos_warm,first_fill,1h,0.40~0.50%,False,120,0.008333333333333333,0.9657968253996626,0.24418790018865144,0.49166666666666664,0.5775487136077648,-0.1850251470865474,0.425,0.46880909710465013,-0.11576722191652412,0.36666666666666664,0.3945281874699272,-0.08752530651130228,0.30833333333333335,0.34056675883353454,-0.11763014047608954,0.26666666666666666,0.2995904057748569,-0.13651260774405233
zone_top,oos_warm,first_fill,1h,0.50~0.75%,False,398,0.01256281407035176,1.0379377942659023,0.17091094928772912,0.507537688442211,0.5563258297337667,-0.10309796610790986,0.4045226130653266,0.44977373958582334,-0.11840954371955692,0.33668341708542715,0.37747636685831065,-0.12702718065092392,0.27386934673366836,0.3252027417775125,-0.18550028635865082,0.23618090452261306,0.2856459610496749,-0.20331606186734102
zone_top,oos_warm,first_fill,1h,0.75~1.00%,False,379,0.013192612137203167,0.8878660795248111,0.12513141186047427,0.46437994722955145,0.5414020220094657,-0.16019845676553754,0.37994722955145116,0.4364792221762768,-0.14585681298031683,0.3113456464379947,0.3656222466864874,-0.16717368475480698,0.25857519788918204,0.3145577125744579,-0.20053060333977776,0.23746701846965698,0.27600899016675734,-0.15731999528889662
zone_top,oos_warm,first_fill,1h,1.00~1.50%,False,670,0.008955223880597015,1.0817301210527304,0.08712310648740285,0.5164179104477612,0.5295165146178562,-0.026922090176372458,0.4164179104477612,0.42594458980567323,-0.02447099382638381,0.35074626865671643,0.35626095908067346,-0.017063531548572992,0.3029850746268657,0.306171888107816,-0.009938777041053028,0.2671641791044776,0.26843135827124653,-0.0021287133473167573
zone_top,oos_warm,first_fill,1h,≥1.50%,False,897,0.013377926421404682,1.1172266253994796,0.04984600181370169,0.5328874024526199,0.5164683546597487,0.03353390672933109,0.4336677814938685,0.4144334503822096,0.04876642940324658,0.3634336677814939,0.3460640815419936,0.05266313702819786,0.30211817168338906,0.2970581895063985,0.020305226436105647,0.25975473801560756,0.26021002959332695,0.0006071725949854409
zone_top,oos_warm,first_fill,2h,0.00~0.30%,True,6,0.0,0.8575863550681417,0.4377378238795415,0.3333333333333333,0.6466685927305392,-0.697932625768778,0.16666666666666666,0.5318796017003002,-1.0408037029283588,0.16666666666666666,0.4516992684410234,-0.9574870362616922,0.16666666666666666,0.3925263087226835,-0.8741703695950255,0.0,0.34706103937711535,-1.4978833792358932
zone_top,oos_warm,first_fill,2h,0.30~0.40%,False,18,0.0,1.4020994825603679,0.2995174220292771,0.6111111111111112,0.5950497174428907,0.03709697422793407,0.4444444444444444,0.4846217364453262,-0.10443626780821319,0.3333333333333333,0.4087642004502205,-0.23682657528928847,0.2777777777777778,0.3534403971021516,-0.2757486836685966,0.2222222222222222,0.3113068645296492,-0.3708169255189573
zone_top,oos_warm,first_fill,2h,0.40~0.50%,False,17,0.058823529411764705,0.847046224246155,0.24290394994373088,0.47058823529411764,0.5775413048713046,-0.22982077582885935,0.4117647058823529,0.4688024253093039,-0.15014985182944543,0.4117647058823529,0.39452219455169213,0.05569132464114279,0.4117647058823529,0.3405613484025412,0.26153250111173104,0.29411764705882354,0.29958548787327954,-0.022820343010403817
zone_top,oos_warm,first_fill,2h,0.50~0.75%,False,79,0.0379746835443038,0.9979225438489197,0.16964543954333672,0.4936708860759494,0.5560856818255175,-0.13081182332948305,0.43037974683544306,0.4495592168968711,-0.04937894523331985,0.3670886075949367,0.3772847281379411,-0.03119665524590354,0.34177215189873417,0.3250304169518648,0.061217210904321674,0.31645569620253167,0.28548979550085146,0.1280343182739335
zone_top,oos_warm,first_fill,2h,0.75~1.00%,False,136,0.029411764705882353,1.0413090251491106,0.12348467721877401,0.5147058823529411,0.5410379245814434,-0.05446737560542013,0.3602941176470588,0.43615580757481853,-0.19532197725407863,0.3088235294117647,0.3653344341882428,-0.1734381418848848,0.27205882352941174,0.3142996197108844,-0.15094347688098014,0.2426470588235294,0.27577558645517275,-0.1349527264209131
zone_top,oos_warm,first_fill,2h,1.00~1.50%,False,265,0.018867924528301886,0.925381678603342,0.08755095718210175,0.49056603773584906,0.5293489102759301,-0.07611173617479491,0.37735849056603776,0.42579637105293755,-0.12024608190190728,0.32075471698113206,0.35612944984525857,-0.10454244406886187,0.2679245283018868,0.30605421176071196,-0.12834994183554624,0.2339622641509434,0.26832511119616037,-0.13227237189390434
