scope,arm,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
1h,freeze,oos_warm,,9,9,967,0.5429162357807652,4.253105481835942,0.12451499176693276,34.15737672614482,5,0.05000000000000001,0
1h,freeze,oos,,9,9,945,0.5396825396825397,3.630217668813626,0.12451499176693306,29.154864143657985,5,0.05,0
1h,freeze,full,BNB,8,8,2542,0.5853658536585366,1331.6012318088945,0.1254814519274085,10611.93675523639,6,0.04943623012148105,0
1h,freeze,is,BNB,8,8,1670,0.6047904191616766,268.14084330817553,0.1254814519274085,2136.896243942858,6,0.04943623012148105,0
1h,freeze,oos_warm,BNB,8,8,872,0.5481651376146789,3.9513155098612094,0.11106877745418973,35.57539391743938,5,0.04444977054195449,0
1h,freeze,oos,BNB,8,8,850,0.5447058823529412,3.3635841256293033,0.11106877745418955,30.283795344885448,4,0.04,0
1h,freeze,full,BTC,8,8,2509,0.5838979673176564,1291.1250174000436,0.16933516974504084,7624.671350576631,5,0.05000000000000001,0
1h,freeze,is,BTC,8,8,1647,0.6053430479659988,274.51368362821165,0.16933516974504084,1621.1262199195396,5,0.04943623012148105,0
1h,freeze,oos_warm,BTC,8,8,862,0.54292343387471,3.6898760177141834,0.09976230851285212,36.986674353459115,5,0.049999999999999996,0
1h,freeze,oos,BTC,8,8,840,0.5392857142857143,3.132463348888493,0.09976230851285192,31.3992668732696,5,0.05000000000000001,0
1h,freeze,full,DOGE,8,8,2540,0.5877952755905512,1314.5595885450387,0.10287421055495283,12778.32006149718,6,0.059154345182221575,0
1h,freeze,is,DOGE,8,8,1680,0.6077380952380952,269.1306792359869,0.10287421055495283,2616.1141629585,6,0.059154345182221575,0
1h,freeze,oos_warm,DOGE,8,8,860,0.5488372093023256,3.8700858127845583,0.10240587077135198,37.79164010455555,5,0.05,0
1h,freeze,oos,DOGE,8,8,838,0.545346062052506,3.2926194142309315,0.10240587077135134,32.15264309975539,5,0.049999999999999996,0
1h,freeze,full,ETH,8,8,2507,0.5839648982848026,1248.2041767133126,0.14537464805847722,8586.12002425086,6,0.059154345182221575,0
1h,freeze,is,ETH,8,8,1663,0.6151533373421527,403.9171009148038,0.10693786398089782,3777.1195896240743,6,0.059154345182221575,0
1h,freeze,oos_warm,ETH,8,8,844,0.5225118483412322,2.0850862408405666,0.14537464805847722,14.342846353800539,5,0.044421573703818655,0
1h,freeze,oos,ETH,8,8,827,0.5187424425634825,1.7489646706533368,0.14537464805847727,12.030740531525222,4,0.04,0
1h,freeze,full,LINK,8,8,2493,0.5912555154432411,1356.4952851341504,0.16939750093278266,8007.764445547582,5,0.05,0
1h,freeze,is,LINK,8,8,1638,0.6123321123321124,282.08234852789155,0.1270342473058008,2220.522060077659,5,0.049567552953598056,0
1h,freeze,oos_warm,LINK,8,8,855,0.5508771929824562,3.7954077398096686,0.169397500932783,22.405334901107473,5,0.05000000000000001,0
1h,freeze,oos,LINK,8,8,839,0.5494636471990465,3.4924912523958764,0.16939750093278283,20.617135631662606,5,0.05,0
1h,freeze,full,LTC,8,8,2534,0.590765588003157,1678.9349754153118,0.09565072877772651,17552.76720699982,5,0.049999999999999996,0
1h,freeze,is,LTC,8,8,1672,0.6148325358851675,383.12561254539577,0.09565072877772651,4005.464646649001,5,0.049999999999999996,0
1h,freeze,oos_warm,LTC,8,8,862,0.5440835266821346,3.37340005599544,0.08396052635286513,40.17840528795498,5,0.04442157370381866,0
1h,freeze,oos,LTC,8,8,840,0.5404761904761904,2.8543894786311363,0.08396052635286547,33.99680305283984,4,0.04,0
1h,freeze,full,SOL,8,8,2453,0.5898899306971056,1007.3448789309982,0.09877242755500229,10198.644539439403,6,0.04957470383641746,0
1h,freeze,is,SOL,8,8,1614,0.6171003717472119,285.6271939132161,0.09411295046410463,3034.940382855773,6,0.04957470383641746,0
1h,freeze,oos_warm,SOL,8,8,839,0.5375446960667462,2.5179665445013626,0.09877242755500192,25.492605647453793,4,0.04,0
1h,freeze,oos,SOL,8,8,827,0.535671100362757,2.307453122816026,0.09877242755500218,23.36130821054391,4,0.04,0
1h,freeze,full,TRX,8,8,2529,0.5840253064452353,1347.7499436378996,0.11687509699851469,11531.540749480855,6,0.059154345182221575,0
1h,freeze,is,TRX,8,8,1646,0.6057108140947752,278.86803385447814,0.11687509699851469,2386.0346730494875,6,0.059154345182221575,0
1h,freeze,oos_warm,TRX,8,8,883,0.5436013590033975,3.8192354270055904,0.10209862524213507,37.40731491680684,5,0.05,0
1h,freeze,oos,TRX,8,8,861,0.5400696864111498,3.249499066736674,0.10209862524213509,31.82705995335614,5,0.05,0
1h,freeze,full,XRP,8,8,2517,0.5828367103694875,961.9749386632118,0.11446817879588753,8403.86340363242,5,0.049436230121481045,0
1h,freeze,is,XRP,8,8,1658,0.6013268998793727,202.4279739686175,0.11446817879588753,1768.421373503062,5,0.049436230121481045,0
1h,freeze,oos_warm,XRP,8,8,859,0.5471478463329453,3.733739022597576,0.10743841284369832,34.752365785870545,4,0.04016810162269829,0
1h,freeze,oos,XRP,8,8,838,0.5429594272076372,3.1272884548935305,0.10743841284369826,29.107731323647897,4,0.04016810162269829,0
1h,band,full,,9,9,2588,0.5950540958268934,2149.3379520101867,0.11228275127520915,19142.19172223595,6,0.05915434518222158,0
1h,band,is,,9,9,1704,0.6179577464788732,398.4950112353512,0.11228275127520915,3549.0314114108705,6,0.05915434518222158,0
1h,band,oos_warm,,9,9,884,0.5509049773755657,4.382640312230025,0.10732853035201827,40.83387984402427,5,0.05,0
1h,band,oos,,9,9,857,0.5425904317386231,3.4704476065945156,0.10732853035201759,32.334809721255795,5,0.05,0
1h,band,full,BNB,8,8,2331,0.5933075933075933,916.7325561556715,0.11101662396719984,8257.615151641818,6,0.04943623012148105,0
1h,band,is,BNB,8,8,1534,0.6121251629726207,184.12804255619946,0.11101662396719984,1658.562798762468,6,0.04943623012148105,0
1h,band,oos_warm,BNB,8,8,797,0.5570890840652447,3.9572854737934846,0.088209439475218,44.862380912252185,4,0.04,0
1h,band,oos,BNB,8,8,770,0.548051948051948,3.116298267377366,0.08820943947521792,35.328398932326024,4,0.04,0
