symbol,timeframe,exit_ms,day,stop_price,quantity,notional,num_ticks,minute_volume,fill_price,filled_qty,first_price,slippage_bp,first_tick_bp,size_share_of_minute,slippage_bp_x10,slippage_bp_x100,short_fill_x10,short_fill_x100,tick_high_matches_bar,note
BCH/USDT:USDT,15m,1737586740000,2025-01-22,434.76,22.8210239555524,9921.668374915962,309,629.7719999999998,434.7462126923085,22.8210239555524,434.76,0.31712456738138195,0.0,0.03623696187755633,0.8011831583796862,0.8011831583796862,True,True,True,
BCH/USDT:USDT,2h,1737962880000,2025-01-27,400.0,4.97908783110934,1991.635132443736,1247,2637.5600000000086,400.0,4.97908783110934,400.0,0.0,0.0,0.001887762868374302,0.0,5.205595546189556,False,False,True,
BCH/USDT:USDT,15m,1738547700000,2025-02-03,297.12,33.50311775323375,9954.446346840812,4346,15602.661999999953,296.9235095062816,33.50311775323375,297.12,6.613169551641963,0.0,0.0021472693411697216,30.058573423717185,6.197975803312815,False,False,True,
BCH/USDT:USDT,15m,1742875380000,2025-03-25,326.52,30.424832335615815,9934.316254225276,561,2007.9830000000004,326.50770165876537,30.424832335615815,326.52,0.3766489414005757,0.0,0.015151937210432464,1.8691359154487897,6.678060741828464,False,True,True,
BCH/USDT:USDT,1h,1752716400000,2025-07-17,490.64,20.235912071347965,9928.547898686164,980,3065.962999999996,490.6273630441293,20.235912071347965,490.64,0.2575606528345751,0.0,0.006600181434462187,11.254692955451441,48.25745138559483,False,True,True,
BCH/USDT:USDT,15m,1758775980000,2025-09-25,547.36,15.242131935284451,8342.933336097298,766,2179.0600000000045,547.36,15.242131935284451,547.36,0.0,0.0,0.006994819754978945,2.0770030276530258e-12,9.465590328031725,False,False,True,
BCH/USDT:USDT,1h,1761827040000,2025-10-30,545.62,16.459302146002088,8980.52443690166,2179,3954.3960000000015,545.7394348562801,16.459302146002088,545.62,2.1889750427059567,0.0,0.0041622796872144525,6.195483559243513,11.095772869380227,False,False,True,
BCH/USDT:USDT,15m,1764050160000,2025-11-25,534.7,13.12604335637136,7018.495382651767,2790,4179.295999999967,534.7,13.12604335637136,534.7,0.0,0.0,0.003140730725072229,2.2826626205103553,3.7900223765051093,False,False,True,
BCH/USDT:USDT,15m,1764254880000,2025-11-27,533.8,18.60266145673089,9930.100685602947,177,167.849,533.7472751358695,14.72,533.8,0.9877269413728414,0.0,0.11082974254675863,0.9877269413728414,0.9877269413728414,True,True,True,그 분의 체결량이 주문 크기에 못 미침
BCH/USDT:USDT,1h,1775092680000,2026-04-02,451.58,22.004324446701435,9936.712833641432,530,1151.2820000000017,451.58,22.004324446701435,451.58,0.0,0.0,0.019112888455392687,0.5319238621986697,1.2268671830078606,False,True,True,
BCH/USDT:USDT,1h,1778163120000,2026-05-07,453.43,21.96686821619725,9960.43705527032,488,1780.094000000004,453.380645242343,21.96686821619725,453.43,1.0884757880378335,0.0,0.012340285522111305,6.745331852090377,6.762769215884592,False,True,True,
BNB/USDT:USDT,2h,1727739780000,2024-09-30,564.0,0.1470157674849098,82.91689286148917,966,3314.390000000002,564.0,0.1470157674849098,564.0,0.0,0.0,4.4356809996684065e-05,0.0,0.0,False,False,True,
BNB/USDT:USDT,2h,1738440360000,2025-02-01,659.22,8.055226633801398,5310.166501534558,494,2981.7300000000005,659.22,8.055226633801398,659.22,0.0,0.0,0.0027015278492021066,0.26128948181167927,4.879857888468004,False,False,True,
BNB/USDT:USDT,15m,1738547700000,2025-02-03,543.22,18.26385663644006,9921.29220204697,9954,33185.2100000001,543.1907648221342,18.26385663644006,543.22,0.5381830173018531,0.0,0.0005503613397787751,8.269645335657703,4.191436037415984,False,False,True,
BNB/USDT:USDT,15m,1740706200000,2025-02-28,593.76,11.235313759619183,6671.079897911486,2647,11962.960000000105,593.734013570584,11.235313759619183,593.76,0.4376588085418305,0.0,0.0009391750670084231,2.5605567296948855,5.6204303466052545,False,False,True,
BNB/USDT:USDT,2h,1744007160000,2025-04-07,537.1,4.3632291818500075,2343.4903935716393,1501,4705.150000000016,537.1,4.3632291818500075,537.1,0.0,0.0,0.0009273305169548245,0.8700332617168284,4.861470400349934,False,False,True,
BNB/USDT:USDT,15m,1749133500000,2025-06-05,656.66,6.320584423907118,4150.4749678028475,566,2529.530000000001,656.66,6.320584423907118,656.66,0.0,0.0,0.002498718901893678,0.3452939195338675,1.1355770925117352,False,True,True,
BNB/USDT:USDT,15m,1759894380000,2025-10-08,1272.09,7.594744436849617,9661.19845067203,1070,2716.730000000015,1272.094541942,7.594744436849617,1272.09,0.035704564929052676,0.0,0.0027955462769025906,0.36693319654995765,1.2436595799488737,False,True,True,
BNB/USDT:USDT,15m,1766432100000,2025-12-22,860.5,11.58288680088513,9967.074092161654,699,2278.1100000000006,860.4808880863816,11.58288680088513,860.5,0.22210242438602,0.0,0.005084428232563452,0.39348520993726627,4.889574977991465,False,False,True,
