symbol,timeframe,segment,tp_rule,guard,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
ETH/USDT:USDT,1h,oos,entry_r,0.0,3.0,232,176,77,0.7586206896551724,0.0415377695490544,0.1331576541532952,0.2987012987012987,3.7556417421046326,0.1948051948051945,23,54,0
ETH/USDT:USDT,1h,oos,zone_height,0.003,3.0,232,176,74,0.7586206896551724,-0.0186519469865308,0.1653623709602371,0.2432432432432432,-0.5909027361030859,0.0235444058257769,18,56,0
ETH/USDT:USDT,1h,oos,zone_height,0.0,3.0,232,176,75,0.7586206896551724,-0.0074449537656379,0.1558308105502197,0.2533333333333333,0.2417221139816523,0.0959254823803478,19,56,0
SOL/USDT:USDT,1h,full,entry_r,0.003,1.0,630,475,293,0.753968253968254,0.3929104509097373,0.0925432121472508,0.6143344709897611,11.987708323670468,0.2286689419795221,180,113,0
SOL/USDT:USDT,1h,full,entry_r,0.0,1.0,630,475,302,0.753968253968254,0.3995382209500511,0.0925432121472507,0.6192052980132451,11.96975683808416,0.2516556291390727,189,113,0
SOL/USDT:USDT,1h,full,zone_height,0.003,1.0,630,475,287,0.753968253968254,0.2828325837013737,0.1099237401867924,0.5470383275261324,8.347204031747008,0.2084493689866414,157,130,0
SOL/USDT:USDT,1h,full,zone_height,0.0,1.0,630,475,295,0.753968253968254,0.3232968723690597,0.1099237401867926,0.5457627118644067,9.135515961057637,0.2737912615075086,161,134,0
SOL/USDT:USDT,1h,full,entry_r,0.003,1.5,630,475,258,0.753968253968254,0.1219387715694136,0.1156787342853798,0.4573643410852713,4.124809117730647,0.143410852713178,118,140,0
SOL/USDT:USDT,1h,full,entry_r,0.0,1.5,630,475,267,0.753968253968254,0.1355536114430247,0.11308872902211,0.4681647940074906,4.423626265998988,0.1891385767790261,127,140,0
SOL/USDT:USDT,1h,full,zone_height,0.003,1.5,630,475,256,0.753968253968254,0.1798686901276833,0.1163416974362544,0.4296875,5.342012941193208,0.1698545713462268,110,146,0
SOL/USDT:USDT,1h,full,zone_height,0.0,1.5,630,475,264,0.753968253968254,0.2450652034249249,0.1063242884180706,0.4318181818181818,6.70473060409131,0.2912801141399908,114,150,0
SOL/USDT:USDT,1h,full,entry_r,0.003,2.0,630,475,248,0.753968253968254,0.3450747377181431,0.1162042429172663,0.4112903225806452,8.755567299447012,0.2338709677419355,102,146,0
