symbol,entry_tf,resistance_tf,segment,combine,n_setups,n_with_resistance,frac_no_resistance,dist_median,dist_q25,dist_q75,frac_below_near,frac_above_far,frac_within_mfe
XRP/USDT:USDT,15m,5m,is,False,1211,1210,0.0008257638315441783,2.0625915158661243,1.2026420537854254,3.914598467129708,0.05206611570247934,0.35702479338842974,0.35206611570247937
XRP/USDT:USDT,15m,5m,oos,False,638,638,0.0,2.434940759836491,1.2890786650195671,4.0625549398353105,0.047021943573667714,0.384012539184953,0.3761755485893417
XRP/USDT:USDT,15m,combined,is,False,1211,1211,0.0,1.4154453688047972,0.8153898287317629,2.524111054915057,0.11560693641618497,0.18827415359207267,0.4640792733278282
XRP/USDT:USDT,15m,combined,oos,False,638,638,0.0,1.3971455753163928,0.8360996718501502,2.2547129440855405,0.109717868338558,0.1833855799373041,0.48746081504702193
TRX/USDT:USDT,15m,15m,is,False,1029,1001,0.027210884353741496,4.0045062076541,2.2615205801948046,7.958848721260749,0.015984015984015984,0.6203796203796204,0.27172827172827174
TRX/USDT:USDT,15m,15m,oos,False,571,571,0.0,4.393125113760848,2.250204715993588,8.224046877394116,0.0017513134851138354,0.6462346760070052,0.2504378283712785
TRX/USDT:USDT,15m,1m,is,False,1029,1028,0.0009718172983479105,1.6589710825742987,1.0208836613852874,3.127119068994762,0.07198443579766536,0.26653696498054474,0.4143968871595331
TRX/USDT:USDT,15m,1m,oos,False,571,571,0.0,1.7552074156076345,1.1007025780588227,3.148613833851466,0.04903677758318739,0.2626970227670753,0.4203152364273205
TRX/USDT:USDT,15m,5m,is,False,1029,1020,0.008746355685131196,2.6395713732972728,1.5003901018428831,4.8696670341472705,0.029411764705882353,0.4392156862745098,0.3205882352941177
TRX/USDT:USDT,15m,5m,oos,False,571,571,0.0,2.627572252751468,1.6154533914562221,4.807511320849216,0.010507880910683012,0.4220665499124343,0.3274956217162872
TRX/USDT:USDT,15m,combined,is,False,1029,1028,0.0009718172983479105,1.5630950434197297,0.9438616675376195,2.9325675494071737,0.08463035019455253,0.2441634241245136,0.433852140077821
TRX/USDT:USDT,15m,combined,oos,False,571,571,0.0,1.639650057820984,0.9715437470017583,2.8624885594100102,0.05253940455341506,0.23467600700525393,0.436077057793345
