symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold,real_mean_net_r,random_mean_net_r,real_taps,real_invalidation_taps,fake_taps,fake_invalidation_taps
DOT/USDT:USDT,4h,is,baseline,False,-0.1188661232072878,137,137,0,966,255,1020,4,-0.1876054719686961,-0.3195288902403486,-0.0389851658387544,0.155,200,0,-0.0696431978630031,-0.073676536886698,-0.2166010330999793,782,80,2933,348
DOT/USDT:USDT,4h,is,pen_5bp,False,-0.1628202820785854,135,135,0,961,255,1020,4,-0.1950582730904252,-0.3443677625931512,-0.0379256258126477,0.335,200,0,-0.0696431978630031,-0.1143946363243704,-0.2294322329058456,782,80,2933,348
DOT/USDT:USDT,4h,oos_warm,baseline,False,-0.1255673977911794,63,63,0,337,377,1508,4,-0.0989158439687839,-0.1984619758847926,0.0231645340450544,0.63,200,0,-0.824538860103627,-0.2311938146502028,-0.2304422824100854,1102,108,4268,490
DOT/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.1322616317786782,63,63,0,336,377,1508,4,-0.0978164717981156,-0.1979853029496857,0.0018148541882572,0.745,200,0,-0.824538860103627,-0.2288848849212615,-0.2268601496136378,1102,108,4268,490
BCH/USDT:USDT,4h,is,baseline,False,-0.0292669341886208,123,123,0,720,253,1012,4,-0.1052043947810434,-0.2363438727842681,0.0515529399165867,0.165,200,0,0.4809919436052365,-0.0068308606603076,-0.1231625025981919,733,104,2796,360
BCH/USDT:USDT,4h,is,pen_5bp,False,-0.0649252750471392,119,119,0,709,253,1012,4,-0.1071583280215351,-0.2722948422958882,0.0610903011020605,0.27,200,0,0.4809919436052365,-0.052291843401097,-0.1309592935579508,733,104,2796,360
BCH/USDT:USDT,4h,oos_warm,baseline,False,-0.004203598334341,72,72,0,566,380,1520,4,0.1198324672202626,-0.0171536506562939,0.2579489897080371,0.97,200,0,-0.3611468060195894,0.0162024593371961,0.2278875983386404,1161,151,4426,564
BCH/USDT:USDT,4h,oos_warm,pen_5bp,False,0.0030104109868994,73,73,0,553,380,1520,4,0.1057676876412304,-0.0336086811685052,0.2552519472568857,0.92,200,0,-0.3611468060195894,0.0326213745652012,0.1883078599461798,1161,151,4426,564
BTC/USDT:USDT,2h,is,baseline,False,0.0785447222408081,266,266,0,1695,485,1940,4,-0.1624249760216873,-0.329289432217121,0.0320683880552433,0.015,200,0,4.757997114455272,0.0252402753361434,-0.100861529040074,1596,174,5529,683
BTC/USDT:USDT,2h,is,pen_5bp,False,0.069693627033491,261,261,0,1674,485,1940,4,-0.1689455652367031,-0.3300777966793561,0.028603096960862,0.02,200,0,4.757997114455272,0.0299959558515807,-0.1106098878678511,1596,174,5529,683
BTC/USDT:USDT,2h,oos_warm,baseline,False,-0.0592242212282573,136,136,0,851,727,2908,4,-0.1349672916907746,-0.2598697482777361,0.0185488503948718,0.135,200,0,0.0798413471801482,-0.0133875165007373,-0.1956126101251326,2359,248,8473,1032
BTC/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.0528793140814021,134,134,0,841,727,2908,4,-0.136305631092201,-0.2582960215393448,0.0077819462161374,0.135,200,0,0.0798413471801482,-0.0129464403607904,-0.1997408577583991,2359,248,8473,1032
ETH/USDT:USDT,2h,is,baseline,False,-0.3051555773153656,259,259,0,1708,468,1872,4,-0.1033745746959551,-0.3309512815908438,0.1185769221077645,0.965,200,0,6.136823335285038,-0.1421511648125505,-0.0573865774231534,1379,155,5504,678
ETH/USDT:USDT,2h,is,pen_5bp,False,-0.3484082557138502,251,251,0,1687,468,1872,4,-0.1247524920922773,-0.3253781803977943,0.1358976571648665,0.995,200,0,6.136823335285038,-0.1785813736711652,-0.0754763016122888,1379,155,5504,678
