threshold_atr,lens,barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate,guard,threshold_fraction,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,9,70.0,54.0,-0.0380178014673087,0.1416076320812976,0.3888888888888889,0.003,0.3333333333333333,-0.064340417018028,1.4632690727817743,-1.0364555468906298,0.0368980435772837,0.4147592174309135,-0.0258703285420245,0.894205951874819,0.0,0.01,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,10,70.0,63.0,0.0687736796087039,0.0930756387868591,0.4603174603174603,0.003,0.3333333333333333,0.1080812014843133,1.4606251597377675,-1.045559233496574,0.0416291483371166,0.4166516593348467,0.0436658009826135,1.1806604615971563,0.0158730158730158,0.0099542508963306,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,11,70.0,60.0,0.0752282146605548,0.1039204220988493,0.4666666666666667,0.003,0.3333333333333333,0.1254157608612034,1.462732845617824,-1.0447366883008395,0.0358916528128232,0.4143566611251293,0.0523100055415373,1.2038704887681293,0.0166666666666666,0.0099710934644114,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,12,70.0,55.0,0.0245331824864517,0.0945780871518377,0.4363636363636363,0.003,0.3333333333333333,0.0481560153322397,1.4632667692893735,-1.0474136006345736,0.036549507172968,0.4146198028691872,0.0217438334944491,1.0715332694205228,0.0181818181818181,0.0099684655975398,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,13,70.0,57.0,-0.0205188681978033,0.10487612202223,0.4035087719298245,0.003,0.3333333333333333,-0.0382487112590793,1.4556347860892669,-1.0488169594653136,0.0398783343157376,0.415951333726295,-0.0124425617964705,0.9433655704023342,0.0350877192982456,0.0099190072690091,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,14,70.0,59.0,0.0397367386056828,0.0716606741963503,0.4406779661016949,0.003,0.3333333333333333,0.0646440326052547,1.4619931592703916,-1.036297703555156,0.0358433313815976,0.414337332552639,0.0263406335490558,1.1109013966762469,0.0338983050847457,0.0099217527853139,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,15,70.0,58.0,0.0433358561350734,0.0793961231481933,0.4482758620689655,0.003,0.3333333333333333,0.0774210827653142,1.4573228526193605,-1.043749105241098,0.0394172942862362,0.4157669177144945,0.0325089443544709,1.1213948876411255,0.0172413793103448,0.0099700966873222,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,16,70.0,54.0,-0.0149352730013328,0.1192969843973516,0.4074074074074074,0.003,0.3333333333333333,-0.0265409600483329,1.4555040463798148,-1.0454469019676844,0.0427583316146675,0.417103332645867,-0.0096959252384596,0.9574421982313528,0.0185185185185185,0.0099466260457191,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,17,70.0,58.0,0.0186550120362569,0.07592662460618,0.4310344827586206,0.003,0.3333333333333333,0.0337689807762439,1.4598328124061135,-1.046582406822142,0.0394223823857422,0.4157689529542969,0.0152655298043237,1.052579374258872,0.0172413793103448,0.0099503070080833,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,18,70.0,57.0,-0.0237201874997894,0.1043960385952407,0.4035087719298245,0.003,0.3333333333333333,-0.0380904560609922,1.456884940812802,-1.0493973421815,0.0414104523483509,0.4165641809393404,-0.0130554090095158,0.9343577499365135,0.0175438596491228,0.0099695720678015,0.0
