sizing,scope,universe,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,liquidations
risk_pct,series,4h,SOL/USDT:USDT,4h,is,lev_2,2.0,0.0479251288238982,0.4634146341463415,0.08573182185832999,41,0.6716417910447762,0.15853658536585366,4.530044552749107,2,0.6462571578849987,0.02,0.0,0.0,0.0
risk_pct,series,4h,SOL/USDT:USDT,4h,is,lev_3,3.0,0.0479251288238982,0.4634146341463415,0.08573182185832999,41,0.6716417910447762,0.15853658536585366,4.530044552749107,2,0.6462571578849987,0.02,0.0,0.0,0.0
risk_pct,series,4h,SOL/USDT:USDT,4h,oos,single,1.0,0.09489538415048573,0.6666666666666666,0.010699462337579553,15,0.575,0.6666666666666666,23.80090486727853,1,,,,,
risk_pct,series,4h,SOL/USDT:USDT,4h,oos,lev_1,1.0,0.12613165191533718,0.7058823529411765,0.010699462337579553,17,0.575,0.7647058823529411,28.580277814319462,2,1.0,0.02,1.0,0.0,0.0
risk_pct,series,4h,SOL/USDT:USDT,4h,oos,lev_2,2.0,0.12764391238671213,0.7058823529411765,0.010699462337579553,17,0.575,0.7647058823529411,28.793435467688585,2,1.1089802696441864,0.02,0.0,0.0,0.0
risk_pct,series,4h,SOL/USDT:USDT,4h,oos,lev_3,3.0,0.12764391238671213,0.7058823529411765,0.010699462337579553,17,0.575,0.7647058823529411,28.793435467688585,2,1.1089802696441864,0.02,0.0,0.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,is,single,1.0,1.5391892453377507,0.5197195442594216,0.17488001294798322,1141,0.49947423764458465,0.2992988606485539,17.219088311474987,1,1.0000000000000002,0.010000000000000002,808.0,0.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,is,lev_1,1.0,1.6013587296286746,0.5140117994100295,0.23567422608699057,1356,0.49947423764458465,0.28502949852507375,15.78987740803492,3,1.0000000000000002,0.030123042919250165,1012.0,384.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,is,lev_2,2.0,2.8376829530421936,0.5104849279161205,0.2573718701561511,1526,0.49947423764458465,0.2762123197903014,15.792864453019364,5,2.0000000000000004,0.04101680740693074,588.0,155.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,is,lev_3,3.0,3.4885830616628244,0.5093632958801498,0.23042938937500415,1602,0.49947423764458465,0.27340823970037453,15.779090392751414,6,3.000000000000001,0.05194947262339739,242.0,44.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,is,peak_N,8.0,3.2328125477296203,0.5079559363525091,0.2780531255828246,1634,0.49947423764458465,0.26988984088127294,14.441528566629735,8,7.805636846015326,0.07925353313073956,0.0,0.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,oos,single,1.0,0.6592838445493515,0.5305755395683454,0.14397357595051863,556,0.5061074918566775,0.32643884892086333,19.491716034937237,1,1.0000000000000002,0.010000000000000002,408.0,0.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,oos,lev_1,1.0,0.6302642021044292,0.5216741405082213,0.15483891079343082,669,0.5061074918566775,0.3041853512705531,16.65000553578981,4,1.0000000000000002,0.040046284632268,517.0,231.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,oos,lev_2,2.0,1.166118468204533,0.5214564369310793,0.23118731890038996,769,0.5061074918566775,0.3036410923276983,18.22574110065588,5,2.0000000000000004,0.05100628538676079,325.0,97.0,0.0
risk_pct,pooled,15m_3sym,ALL,ALL,oos,lev_3,3.0,1.3982387253132866,0.5171149144254279,0.26356614031437414,818,0.5061074918566775,0.2927872860635697,17.983817534071537,6,3.000000000000001,0.05647863184272446,159.0,34.0,0.0
