scenario,k,variant,scope,segment,exclude,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,max_open_notional_ratio,liquidation_events
k2.00_pure,2.0,pure,2h,full,-DOGE,11,11,1599,0.5997498436522827,-0.2917603111723137,0.7018497830318323,5,0.050848422496047985,0.10169684499209597,3.631896958091878,0
k2.00_pure,2.0,pure,2h,oos_warm,-DOGE,11,11,553,0.5786618444846293,-0.4766811858699967,0.5164004176938809,5,0.04948415681179408,0.09896831362358816,3.6318969580918785,0
k1.00_pure,1.0,pure,2h,full,-DOT,11,11,1596,0.5989974937343359,262.36225296363864,0.10215613826893513,6,0.056186295029743615,0.056186295029743615,3.638229428455862,0
k1.00_pure,1.0,pure,2h,oos_warm,-DOT,11,11,574,0.578397212543554,3.7780223532137986,0.07425683364533779,6,0.05948415681179408,0.05948415681179408,3.615529941799482,0
k1.25_pure,1.25,pure,2h,full,-DOT,11,11,1596,0.5989974937343359,61.29525581706605,0.1363839497280673,6,0.05948415681179408,0.0743551960147426,3.6388189041600945,0
k1.25_pure,1.25,pure,2h,oos_warm,-DOT,11,11,574,0.578397212543554,1.7304694609377829,0.10467167376572192,6,0.05948415681179408,0.0743551960147426,3.615529941799482,0
k1.50_pure,1.5,pure,2h,full,-DOT,11,11,1596,0.5989974937343359,12.816018506219335,0.23683892694598063,6,0.05948415681179407,0.0892262352176911,3.639410118887371,0
k1.50_pure,1.5,pure,2h,oos_warm,-DOT,11,11,574,0.578397212543554,0.5565063568280724,0.23683892694598013,6,0.05948415681179408,0.08922623521769113,3.6155299417994815,0
k2.00_pure,2.0,pure,2h,full,-DOT,11,11,1596,0.5989974937343359,-0.3588355122556495,0.7317123415781791,6,0.05948415681179408,0.11896831362358816,3.640597796284073,0
k2.00_pure,2.0,pure,2h,oos_warm,-DOT,11,11,574,0.578397212543554,-0.4980080195543713,0.5758412644393883,6,0.05948415681179407,0.11896831362358815,3.615529941799481,0
k1.00_pure,1.0,pure,2h,full,-ETH,11,11,1589,0.6010069225928257,294.65390152485764,0.12050575695011298,6,0.05509467209574839,0.05509467209574839,3.2429735267639943,0
k1.00_pure,1.0,pure,2h,oos_warm,-ETH,11,11,546,0.5677655677655677,3.0348104848896464,0.0915520358274357,6,0.05948415681179408,0.05948415681179408,3.5360789079626986,0
k1.25_pure,1.25,pure,2h,full,-ETH,11,11,1589,0.6010069225928257,70.92677867321075,0.14967304785838295,6,0.05948415681179407,0.0743551960147426,3.54057217113411,0
k1.25_pure,1.25,pure,2h,oos_warm,-ETH,11,11,546,0.5677655677655677,1.3314666538627153,0.11536711008457043,6,0.05948415681179407,0.0743551960147426,3.54057217113411,0
k1.50_pure,1.5,pure,2h,full,-ETH,11,11,1589,0.6010069225928257,15.207036778689892,0.25030727314841467,6,0.059484156811794066,0.0892262352176911,3.545111753344792,0
k1.50_pure,1.5,pure,2h,oos_warm,-ETH,11,11,546,0.5677655677655677,0.3438360904792895,0.2408748405805716,6,0.05948415681179408,0.08922623521769112,3.545111753344791,0
k2.00_pure,2.0,pure,2h,full,-ETH,11,11,1589,0.6010069225928257,-0.2311626021421057,0.6711883660207635,6,0.05948415681179407,0.11896831362358815,3.5543327696179614,0
k2.00_pure,2.0,pure,2h,oos_warm,-ETH,11,11,546,0.5677655677655677,-0.5569471217333531,0.5775092729961059,6,0.05948415681179407,0.11896831362358815,3.554332769617962,0
k1.00_pure,1.0,pure,2h,full,-LINK,11,11,1602,0.6054931335830213,328.9219758892246,0.09478703806471282,5,0.05,0.05,3.638229428455862,0
k1.00_pure,1.0,pure,2h,oos_warm,-LINK,11,11,560,0.5857142857142857,3.939931781368606,0.07459498200431638,5,0.04948415681179407,0.04948415681179407,3.6209246260557406,0
k1.25_pure,1.25,pure,2h,full,-LINK,11,11,1602,0.6054931335830213,80.23062676271444,0.14235546734029428,5,0.05000000000000001,0.06250000000000001,3.6388189041600953,0
k1.25_pure,1.25,pure,2h,oos_warm,-LINK,11,11,560,0.5857142857142857,1.895921712675794,0.10323971040243483,5,0.04948415681179407,0.06185519601474259,3.6236059839544206,0
k1.50_pure,1.5,pure,2h,full,-LINK,11,11,1602,0.6054931335830213,17.61727459943113,0.23201283065593092,5,0.05000705091740236,0.07501057637610355,3.639410118887371,0
k1.50_pure,1.5,pure,2h,oos_warm,-LINK,11,11,560,0.5857142857142857,0.6938005176506166,0.15638249397981022,5,0.04948415681179408,0.0742262352176911,3.626327869952898,0
k2.00_pure,2.0,pure,2h,full,-LINK,11,11,1602,0.6054931335830213,-0.09565842206316628,0.6462070644047039,5,0.050153413470712394,0.10030682694142479,3.640597796284073,0
k2.00_pure,2.0,pure,2h,oos_warm,-LINK,11,11,560,0.5857142857142857,-0.4245673495568026,0.4850020346215381,5,0.04948415681179408,0.09896831362358816,3.6318969580918785,0
k1.00_pure,1.0,pure,2h,full,-LTC,11,11,1603,0.6013724266999376,299.68759671112446,0.09234609245826508,6,0.05049290765060261,0.05049290765060261,3.638229428455862,0
k1.00_pure,1.0,pure,2h,oos_warm,-LTC,11,11,558,0.5770609318996416,3.5389956312043016,0.07600474279596721,6,0.055557278005933165,0.055557278005933165,3.6208018222479517,0
k1.25_pure,1.25,pure,2h,full,-LTC,11,11,1603,0.6013724266999376,70.87873050054664,0.13128205621618694,6,0.05245070576990594,0.06556338221238242,3.6388189041600953,0
k1.25_pure,1.25,pure,2h,oos_warm,-LTC,11,11,558,0.5770609318996416,1.6214663943257346,0.11344056128977634,6,0.055557278005933165,0.06944659750741645,3.623417447999712,0
k1.50_pure,1.5,pure,2h,full,-LTC,11,11,1603,0.6013724266999376,14.95883203072137,0.26119681376759374,6,0.05555727800593316,0.08333591700889975,3.6394101188873704,0
k1.50_pure,1.5,pure,2h,oos_warm,-LTC,11,11,558,0.5770609318996416,0.5102798546941378,0.23984061015239816,6,0.05555727800593315,0.08333591700889974,3.62605848794073,0
k2.00_pure,2.0,pure,2h,full,-LTC,11,11,1603,0.6013724266999376,-0.25955844609836676,0.6949472146402816,6,0.055557278005933165,0.11111455601186633,3.640597796284073,0
k2.00_pure,2.0,pure,2h,oos_warm,-LTC,11,11,558,0.5770609318996416,-0.5024748389780009,0.5626064206509134,6,0.055557278005933165,0.11111455601186633,3.63141830651779,0
k1.00_pure,1.0,pure,2h,full,-SOL,11,11,1567,0.599234205488194,230.46876536636856,0.1051002662568648,6,0.057269552837018206,0.057269552837018206,3.638229428455862,0
k1.00_pure,1.0,pure,2h,oos_warm,-SOL,11,11,550,0.5709090909090909,3.0104784647697547,0.10475476029310679,6,0.05948415681179408,0.05948415681179408,3.6209246260557397,0
k1.25_pure,1.25,pure,2h,full,-SOL,11,11,1567,0.599234205488194,53.719712040326684,0.14936272182916235,6,0.05948415681179407,0.0743551960147426,3.6388189041600945,0
k1.25_pure,1.25,pure,2h,oos_warm,-SOL,11,11,550,0.5709090909090909,1.3212547433916861,0.14936272182916213,6,0.05948415681179408,0.0743551960147426,3.623605983954421,0
k1.50_pure,1.5,pure,2h,full,-SOL,11,11,1567,0.599234205488194,11.490034022622977,0.36853846467133855,6,0.05948415681179407,0.0892262352176911,3.6394101188873704,0
k1.50_pure,1.5,pure,2h,oos_warm,-SOL,11,11,550,0.5709090909090909,0.3401152014677213,0.3183020624478368,6,0.05948415681179407,0.0892262352176911,3.6263278699528985,0
k2.00_pure,2.0,pure,2h,full,-SOL,11,11,1567,0.599234205488194,-0.3846812453138943,0.7725600617051223,6,0.05948415681179407,0.11896831362358815,3.640597796284073,0
k2.00_pure,2.0,pure,2h,oos_warm,-SOL,11,11,550,0.5709090909090909,-0.556800593162129,0.618282087755674,6,0.05948415681179407,0.11896831362358815,3.6318969580918785,0
k1.00_pure,1.0,pure,2h,full,-TRX,11,11,1589,0.6016362492133417,309.28130651237404,0.08958078682981163,5,0.05,0.05,3.6354511778174197,0
k1.00_pure,1.0,pure,2h,oos_warm,-TRX,11,11,554,0.572202166064982,3.2382318491203703,0.07874702904611866,5,0.049999999999999996,0.049999999999999996,3.6209246260557397,0
