arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,exclude
기준,0.003,1.5,full,False,44,11,45906,0.4020607328018124,-0.10474003800547953,-0.03443942651779167,-28.86611924858184,15.705978942827036,-1.8379064019925402,23,1049.8624719418183,1049.8624719418183,0.6121204199886725,0.10007144012235851,39345,16748,96023,0,3073,-SOL
기준,0.003,1.5,oos_warm,False,44,11,13666,0.3982145470510757,-0.12573728467948272,-0.0485062063238062,-10.722438205432175,9.633969262614881,-1.1129823973013027,16,219.58008811418853,219.58008811418853,0.6943509439484853,0.10107496418546633,11377,16748,96023,0,684,-SOL
기준,0.003,1.5,full,False,44,11,47128,0.4062977423187914,-0.09146690002104471,-0.022645423305840313,-26.50191695620677,17.36099766502294,-1.5265203917168866,21,370.34267494122753,370.34267494122753,0.597500424376167,0.12224580394507581,41298,15275,99027,0,3729,-TRX
기준,0.003,1.5,oos_warm,False,44,11,14342,0.402942406916748,-0.11238135345927186,-0.035889423028436264,-10.230847724618792,9.173637786736586,-1.115244351527672,17,194.2458438018091,194.2458438018091,0.6892344163993864,0.046397326487367004,11431,15275,99027,0,1053,-TRX
기준,0.003,1.5,full,False,44,11,45795,0.40556829348182116,-0.09468401289595602,-0.02516583589927488,-25.868409822577117,24.14685828670634,-1.071295052773741,22,243.82503848047145,243.82503848047145,0.6065072606179714,0.11102458667725101,41333,16505,96177,0,3083,-XRP
기준,0.003,1.5,oos_warm,False,44,11,13882,0.4032560149834318,-0.11273488065573509,-0.03577300671991181,-9.655161397482923,8.875286345560257,-1.087870410210797,16,50.26481251232389,50.26481251232389,0.6960812563031263,0.03671933478183961,11095,16505,96177,0,689,-XRP
기준,0.003,1.5,full,False,36,9,38109,0.40457634679472043,-0.09843926481136657,-0.028305217930455942,-21.984351496449825,20.63190877435389,-1.065551022781618,19,6129.113952899195,6129.113952899195,0.6073630900837073,1.4322084585323032,36151,14160,77256,0,3193,-new3
기준,0.003,1.5,oos_warm,False,36,9,11467,0.40524984738815734,-0.10898639373538445,-0.031268456390596125,-6.991174711290171,6.245102427700304,-1.1194651796711363,14,44.90725274152493,44.90725274152493,0.6946891078747711,0.030833024767031977,9021,14160,77256,0,713,-new3
1_봉마감,0.003,1.5,full,False,44,11,18839,0.3952969902861086,-0.13044470773916497,-0.07260968572046482,-19.768764999852372,18.835616589008616,-1.049541697052184,31,113.75731585713375,113.75731585713375,1.0,0.10800794131437147,17019,712,45376,0,1592,-ADA
1_봉마감,0.003,1.5,oos_warm,False,44,11,6220,0.40080385852090034,-0.13642841543376305,-0.07120241075101678,-6.605277532989846,6.424813725542707,-1.0280885664793176,23,40.536752703893875,40.536752703893875,1.0,0.1033658201729545,5489,712,45376,0,479,-ADA
1_봉마감,0.003,1.5,full,False,44,11,18948,0.3914397297867849,-0.1407135850118539,-0.08208406583227777,-21.659547285287204,20.831159008511516,-1.0397667876490795,28,543.2068076420425,543.2068076420425,1.0,0.3109105682928728,17540,696,45487,0,1583,-BCH
1_봉마감,0.003,1.5,oos_warm,False,44,11,6258,0.39868967721316717,-0.14271069848949874,-0.0767820033237015,-7.069533669965682,6.413319150239861,-1.102320577590666,23,122.22760468257094,122.22760468257094,1.0,0.11573502576137368,5679,696,45487,0,477,-BCH
1_봉마감,0.003,1.5,full,False,44,11,18965,0.3928288953335091,-0.1348954134647417,-0.07719368617081118,-21.148152956075194,19.986830448484767,-1.0581043858146337,31,233.98581071267827,233.98581071267827,1.0,0.12755755602870034,17194,653,45763,0,1590,-BNB
1_봉마감,0.003,1.5,oos_warm,False,44,11,6376,0.3994667503136763,-0.135650770088328,-0.07207645542474671,-6.8715812266646985,6.504000112095857,-1.0565161605525237,22,139.33681151750434,139.33681151750434,1.0,0.1646972708675202,5646,653,45763,0,478,-BNB
1_봉마감,0.003,1.5,full,False,44,11,19056,0.39210747271200674,-0.13450724850450366,-0.0785530129070739,-21.071911789728283,20.114388970601148,-1.0476038730545896,28,348.11049668809454,348.11049668809454,1.0,0.15908731576961244,17206,565,45250,0,1613,-BTC
1_봉마감,0.003,1.5,oos_warm,False,44,11,6356,0.3989930774071743,-0.13578427993525366,-0.07341901514389047,-6.929598036081082,6.409644109791367,-1.0811205610457268,24,533.7264382644097,533.7264382644097,1.0,0.24035283373180027,5586,565,45250,0,491,-BTC
1_봉마감,0.003,1.5,full,False,44,11,18887,0.39228040451103935,-0.13857047267310776,-0.08039751832076482,-21.34144412800241,20.29863995460905,-1.0513731055738333,30,35.70398579311724,35.70398579311724,1.0,0.047132243356054725,16957,706,45357,0,1592,-DOGE
1_봉마감,0.003,1.5,oos_warm,False,44,11,6217,0.3972977320250925,-0.14647962703863415,-0.08059969023559073,-7.171245129310063,6.666955495698993,-1.0756401679801821,24,41.21337598477711,41.21337598477711,1.0,0.10532119048838924,5705,706,45357,0,483,-DOGE
1_봉마감,0.003,1.5,full,False,44,11,18728,0.3948099102947458,-0.13289623949483442,-0.07421781135323816,-19.931222803258635,18.60067467267267,-1.0715322510608043,30,22.719381484126863,22.719381484126863,1.0,0.03670729000617245,16631,709,45301,0,1584,-DOT
1_봉마감,0.003,1.5,oos_warm,False,44,11,6194,0.39990313206328704,-0.1395702681593138,-0.07388525384267508,-6.877286237392616,6.658319003414413,-1.0328862636148726,23,1525.8755016160726,1525.8755016160726,1.0,1.9383584274508388,5507,709,45301,0,472,-DOT
1_봉마감,0.003,1.5,full,False,44,11,18824,0.3917870803229919,-0.13773725120645372,-0.08034833147003458,-20.930385554638136,19.938586376369724,-1.0497427028951183,29,24.31654020214117,24.31654020214117,1.0,0.03886663219031225,16586,684,45425,0,1598,-ETH
1_봉마감,0.003,1.5,oos_warm,False,44,11,6192,0.3958333333333333,-0.1473675367703064,-0.08280689201047858,-7.087705023642493,6.849212186493959,-1.0348204772541316,23,1442.2798165929546,1442.2798165929546,1.0,1.2511248538265916,5669,684,45425,0,485,-ETH
1_봉마감,0.003,1.5,full,False,44,11,18844,0.3936000849076629,-0.13576471387850927,-0.07730771580493223,-20.64077378310311,19.661939417105987,-1.0497832052694422,30,155.9110516168981,155.9110516168981,1.0,0.06047977497696067,16933,717,45548,0,1571,-LINK
1_봉마감,0.003,1.5,oos_warm,False,44,11,6291,0.3975520584962645,-0.14417094449037965,-0.07897144112591652,-7.232416224036759,6.771426709829481,-1.06807863895774,23,21.096644109546418,21.096644109546418,1.0,0.09479268111513707,5730,717,45548,0,475,-LINK
1_봉마감,0.003,1.5,full,False,44,11,18993,0.391302058653188,-0.1401547096108823,-0.08230458281168507,-21.582818858272866,21.197002064491635,-1.018201479275578,28,173.96030039156307,173.96030039156307,1.0,0.08493961432685894,17317,698,45383,0,1595,-LTC
1_봉마감,0.003,1.5,oos_warm,False,44,11,6255,0.39728217426059154,-0.1437086581724694,-0.07924458843561795,-7.069682410846584,6.576722632220019,-1.0749552332055947,23,124.26623364547547,124.26623364547547,1.0,0.24749585270550048,5732,698,45383,0,480,-LTC
1_봉마감,0.003,1.5,full,False,44,11,18745,0.39317151240330755,-0.13774696958359428,-0.07853309170980921,-20.688584027854816,20.007336819670023,-1.0340498695216163,32,20.769959338312802,20.769959338312802,1.0,0.043742959041363154,16755,714,45528,0,1582,-SOL
1_봉마감,0.003,1.5,oos_warm,False,44,11,6267,0.39763842348811235,-0.14458084795353351,-0.07900218841496566,-7.022785254401532,6.580582352275948,-1.0671981412059444,21,224.85069966913116,224.85069966913116,1.0,0.22601695735907665,5744,714,45528,0,482,-SOL
