universe,scope,arm,leverage_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,skipped_sizing
nine,both,book,combined,5.0,oos,SOL,16,2024,0.5380434782608695,2461.3401558169685,0.45228519817663637,3.0,0.1289767958276798,5.000000000000001,0.0,1801.0,384.0,1300.0,1322.0
nine,both,book,cap_only,1.0,oos,SOL,16,2037,0.5355915562101129,5.034872514706062,0.10639914290834072,3.0,0.02579535916553596,1.0000000000000002,0.0,1813.0,393.0,1267.0,1333.0
nine,both,book,cap_only,2.0,oos,SOL,16,2616,0.5378440366972477,8.995301276095283,0.1217635495463607,4.0,0.04,2.0000000000000004,0.0,2287.0,529.0,300.0,1585.0
nine,both,book,cap_only,3.0,oos,SOL,16,2762,0.5401882693700217,13.323580200487742,0.11850571521521096,5.0,0.04010761973000591,3.0000000000000004,0.0,2386.0,566.0,80.0,1622.0
nine,both,book,cap_only,5.0,oos,SOL,16,2808,0.5427350427350427,17.390685005942355,0.12694445940792215,6.0,0.04654358284023282,5.0,0.0,2415.0,574.0,3.0,1645.0
nine,both,isolated,,1.0,oos,TRX,16,3146,0.5451750174658689,0.2848389494702547,0.06115420523849614,,,,,,,,
nine,both,book,combined,1.0,oos,TRX,16,2213,0.5503840939900587,9.180809723479367,0.10606669767859257,3.0,0.023389933421735114,1.0000000000000002,0.0,1967.0,443.0,1428.0,1080.0
nine,both,book,combined,2.0,oos,TRX,16,2212,0.5474683544303798,83.31577695513266,0.23422868942909453,3.0,0.04677986684347023,2.0000000000000004,0.0,1966.0,443.0,1427.0,1082.0
nine,both,book,combined,3.0,oos,TRX,16,2208,0.5480072463768116,704.1509081472367,0.2901413696640935,3.0,0.07016980026520535,3.000000000000001,0.0,1962.0,437.0,1428.0,1091.0
nine,both,book,combined,5.0,oos,TRX,16,2216,0.5482851985559567,27882.386550686584,0.42458546840271016,3.0,0.11694966710867558,5.000000000000001,0.0,1970.0,438.0,1423.0,1087.0
nine,both,book,cap_only,1.0,oos,TRX,16,2213,0.5503840939900587,9.180809723479367,0.10606669767859257,3.0,0.023389933421735114,1.0000000000000002,0.0,1967.0,443.0,1428.0,1080.0
nine,both,book,cap_only,2.0,oos,TRX,16,2885,0.5462738301559792,18.30485345010818,0.15350310325065053,4.0,0.03977968142876236,2.0000000000000004,0.0,2521.0,591.0,385.0,1303.0
nine,both,book,cap_only,3.0,oos,TRX,16,3081,0.549172346640701,29.885958468638727,0.13999408992483822,5.0,0.041127352125682255,3.0000000000000004,0.0,2664.0,633.0,96.0,1354.0
nine,both,book,cap_only,5.0,oos,TRX,16,3141,0.5501432664756447,39.2357879304153,0.15296914667867276,6.0,0.05495386326677964,5.0,0.0,2702.0,647.0,6.0,1370.0
nine,both,isolated,,1.0,oos,XRP,16,2878,0.5389773742141013,0.24480358468270508,0.05720401208421688,,,,,,,,
nine,both,book,combined,1.0,oos,XRP,16,2072,0.5434362934362934,6.069837467214524,0.1393552079032515,3.0,0.02579535916553596,1.0000000000000002,0.0,1856.0,400.0,1293.0,1288.0
nine,both,book,combined,2.0,oos,XRP,16,2071,0.5436986962819894,43.918676726822305,0.26186421509085367,3.0,0.05159071833107192,2.0000000000000004,0.0,1855.0,393.0,1307.0,1282.0
