timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,death_rate,ambiguous_rate,winner_rate,mean_r
1h,oos,approach_mom,Q3,3,-0.9304034369249711,2.840890230169484,256,0.171875,0.30078125,0.52734375,0.318359375
1h,oos,tap_rsi,Q1,1,11.450327068487937,34.45337426950654,257,0.10116731517509728,0.2607003891050584,0.6381322957198443,0.5953307392996109
1h,oos,tap_rsi,Q2,2,34.542841089107895,42.49371878824676,256,0.1640625,0.30078125,0.53515625,0.337890625
1h,oos,tap_rsi,Q3,3,42.49718773574026,72.33990049877177,256,0.15625,0.37109375,0.47265625,0.181640625
1h,oos,stop_width_frac,Q1,1,0.0030516257349589683,0.006736593060791627,257,0.12840466926070038,0.311284046692607,0.5603112840466926,0.40077821011673154
1h,oos,stop_width_frac,Q2,2,0.0067377660336181405,0.011007941959028282,256,0.16796875,0.33203125,0.5,0.25
1h,oos,stop_width_frac,Q3,3,0.01102022080709091,0.06524466355417263,256,0.125,0.2890625,0.5859375,0.46484375
1h,oos,stop_width_atr,Q1,1,0.13313310084822944,0.7532972955192168,257,0.0622568093385214,0.2723735408560311,0.6653696498054474,0.6634241245136187
1h,oos,stop_width_atr,Q2,2,0.7534419250551148,1.0206299871987543,256,0.16796875,0.3046875,0.52734375,0.318359375
1h,oos,stop_width_atr,Q3,3,1.0234214396259376,1.3343844940915937,256,0.19140625,0.35546875,0.453125,0.1328125
1h,oos,rsi_ema_slope,Q1,1,-4.22263856030041,-1.38319250710272,257,0.14396887159533073,0.3424124513618677,0.5136186770428015,0.2840466926070039
1h,oos,rsi_ema_slope,Q2,2,-1.3817917058923754,-0.6319022975205328,256,0.12890625,0.29296875,0.578125,0.4453125
1h,oos,rsi_ema_slope,Q3,3,-0.6293074665964582,2.7516362274660224,256,0.1484375,0.296875,0.5546875,0.38671875
1h,oos,rsi_ema_curv,Q1,1,-3.4081063063527353,-0.5584261216891733,257,0.12840466926070038,0.31906614785992216,0.5525291828793775,0.38132295719844356
1h,oos,rsi_ema_curv,Q2,2,-0.5511971194209337,-0.08225521614203046,256,0.1328125,0.265625,0.6015625,0.50390625
1h,oos,rsi_ema_curv,Q3,3,-0.08222590946397901,1.9617246092048148,256,0.16015625,0.34765625,0.4921875,0.23046875
1h,oos,rsi_ema_death_shape,Q1,1,0.0,1.0,769,0.14044213263979194,0.3107932379713914,0.5487646293888166,0.3719115734720416
4h,is,trend_dev,Q1,1,-0.584740492824806,-0.08597094351789147,115,0.11304347826086956,0.3130434782608696,0.5739130434782609,0.43478260869565216
4h,is,trend_dev,Q2,2,-0.08550218196684412,-0.004083806030499959,114,0.13157894736842105,0.21929824561403508,0.6491228070175439,0.6228070175438597
4h,is,trend_dev,Q3,3,-0.003824553980836698,0.8075137285170007,115,0.08695652173913043,0.23478260869565218,0.6782608695652174,0.6956521739130435
4h,is,volume_pctl,Q1,1,0.0,0.38333333333333336,115,0.08695652173913043,0.2956521739130435,0.6173913043478261,0.5434782608695652
4h,is,volume_pctl,Q2,2,0.38596491228070173,0.7017543859649122,114,0.10526315789473684,0.24561403508771928,0.6491228070175439,0.6228070175438597
