symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
TRX/USDT:USDT,4h,is,baseline,False,0.3838351448718414,44,44,0,363,246,1968,8,0.217418480732156,0.0652055719698999,0.3564252161549299,0.005,200,0,3.2390651085141897
TRX/USDT:USDT,4h,is,pen_5bp,False,0.3767845453149029,43,43,0,357,246,1968,8,0.215439682547859,0.053924409625382,0.3549804331445493,0.01,200,0,3.2390651085141897
TRX/USDT:USDT,4h,oos_warm,baseline,False,0.0458318717210302,25,25,0,184,375,3000,8,0.0055986756961129,-0.0590135876535392,0.080182099169506,0.17,200,0,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,pen_5bp,False,0.0386721627878278,26,26,0,176,375,3000,8,0.0037709782144051,-0.0765467350849248,0.0847441445716931,0.18,200,0,1.5987361769352293
DOGE/USDT:USDT,4h,is,baseline,False,0.1732676137213187,41,41,0,270,236,1888,8,0.1968843569382934,0.0673395316856649,0.3359829970577339,0.6,200,0,37.374419435512685
DOGE/USDT:USDT,4h,is,pen_5bp,False,0.1732416848455524,41,41,0,259,236,1888,8,0.1715427726277031,0.0413771878243895,0.327290265186093,0.475,200,0,37.374419435512685
DOGE/USDT:USDT,4h,oos_warm,baseline,False,0.0708893753695132,22,22,0,162,359,2872,8,0.0786454049167347,-0.0212439306864331,0.1781257969253254,0.55,200,0,-0.3078882808076996
DOGE/USDT:USDT,4h,oos_warm,pen_5bp,False,0.0660465211872848,21,21,0,158,359,2872,8,0.0700193564884854,-0.0161218370755197,0.1582705533932812,0.525,200,0,-0.3078882808076996
LINK/USDT:USDT,4h,is,baseline,False,0.1372292385026585,40,40,0,368,248,1984,8,0.1843705028209694,0.0365299747667842,0.3380869869224376,0.725,200,0,-0.1082987551867221
LINK/USDT:USDT,4h,is,pen_5bp,False,0.093349588586044,37,37,0,362,248,1984,8,0.167215489009965,0.0238891192447543,0.3170552058525343,0.83,200,0,-0.1082987551867221
LINK/USDT:USDT,4h,oos_warm,baseline,False,0.1575447148512572,19,19,0,211,373,2984,8,0.0493535930186526,-0.0394018866824093,0.1353287046703309,0.025,200,0,-0.1834135295782621
LINK/USDT:USDT,4h,oos_warm,pen_5bp,False,0.1698300395821132,18,18,0,210,373,2984,8,0.0457719679994971,-0.0393179460296174,0.1260999221306287,0.0,200,0,-0.1834135295782621
LTC/USDT:USDT,4h,is,baseline,False,0.1368221442252277,28,28,0,343,238,1904,8,0.1397613177133823,0.0466061374661992,0.2602526586697631,0.5,200,0,0.2315131976627038
LTC/USDT:USDT,4h,is,pen_5bp,False,0.1368173636799063,28,28,0,340,238,1904,8,0.1459887978706639,0.0244234511041287,0.2540242203322969,0.55,200,0,0.2315131976627038
LTC/USDT:USDT,4h,oos_warm,baseline,False,0.0862741926046017,25,25,0,220,356,2848,8,0.0364008414885887,-0.0551420102847327,0.1327243845826049,0.165,200,0,-0.2288819364399802
LTC/USDT:USDT,4h,oos_warm,pen_5bp,False,0.0815602703738837,23,23,0,214,356,2848,8,0.0213004858083099,-0.0662858300150657,0.1312040092995814,0.13,200,0,-0.2288819364399802
BTC/USDT:USDT,1h,is,baseline,False,0.8817102472013572,169,169,0,1486,987,7896,8,0.47032818789992964,0.21887230423427845,0.7817921355261497,0.0,200,0,4.777387162090623
BTC/USDT:USDT,1h,is,pen_5bp,False,0.6766466342993513,158,158,0,1394,987,7896,8,0.44708916293670187,0.12167735982430186,0.7908302793483399,0.075,200,0,4.777387162090623
BTC/USDT:USDT,1h,oos_warm,baseline,False,0.0572268437909981,85,85,0,933,1508,12064,8,0.10178099733926899,-0.026084228740096478,0.24341421131703245,0.75,200,0,0.08301096146083098
