symbol,timeframe,bucket,bucket_lo,bucket_hi,narrow,active_taps,break_bar_taps,break_bar_share
LINK/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,502,451,0.4732423924449108
LINK/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1596,514,0.24360189573459715
LINK/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2765,464,0.14369773923815424
LINK/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2834,209,0.06868222149194873
LINK/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2173,76,0.03379279679857715
LINK/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1447,23,0.015646258503401362
LINK/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,108,104,0.49056603773584906
LINK/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,405,136,0.2513863216266174
LINK/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,661,108,0.14044213263979194
LINK/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,671,67,0.09078590785907859
LINK/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,424,22,0.04932735426008968
LINK/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,334,6,0.01764705882352941
LINK/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,43,40,0.4819277108433735
LINK/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,156,62,0.28440366972477066
LINK/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,327,58,0.15064935064935064
LINK/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,275,30,0.09836065573770492
LINK/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,273,15,0.052083333333333336
LINK/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,225,2,0.00881057268722467
LINK/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,23,32,0.5818181818181818
LINK/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,81,35,0.3017241379310345
LINK/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,157,28,0.15135135135135136
LINK/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,126,20,0.136986301369863
LINK/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,146,4,0.02666666666666667
LINK/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,90,1,0.01098901098901099
LTC/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,507,479,0.48580121703853957
LTC/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1529,542,0.26170931916948337
LTC/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2666,543,0.16921159239638517
LTC/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2746,261,0.08679747256401729
LTC/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2117,117,0.052372426141450316
LTC/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1691,31,0.018002322880371662
LTC/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,111,116,0.5110132158590308
LTC/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,310,140,0.3111111111111111
LTC/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,607,122,0.1673525377229081
LTC/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,693,82,0.10580645161290322
LTC/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,586,32,0.05177993527508091
LTC/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,443,13,0.02850877192982456
LTC/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,53,59,0.5267857142857143
LTC/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,155,65,0.29545454545454547
LTC/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,271,60,0.18126888217522658
LTC/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,340,39,0.10290237467018469
LTC/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,263,25,0.08680555555555555
LTC/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,226,5,0.021645021645021644
LTC/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,19,32,0.6274509803921569
LTC/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,88,36,0.2903225806451613
LTC/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,107,23,0.17692307692307693
LTC/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,182,20,0.09900990099009901
LTC/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,150,4,0.025974025974025976
LTC/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,72,2,0.02702702702702703
ADA/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,477,452,0.4865446716899892
ADA/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1533,553,0.2651006711409396
ADA/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2830,402,0.12438118811881188
ADA/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2826,266,0.08602846054333764
ADA/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2090,111,0.050431621990004546
ADA/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1516,30,0.019404915912031046
ADA/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,80,115,0.5897435897435898
ADA/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,369,127,0.2560483870967742
ADA/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,681,126,0.15613382899628253
ADA/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,647,61,0.08615819209039548
ADA/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,495,36,0.06779661016949153
ADA/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,386,6,0.015306122448979591
ADA/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,46,45,0.4945054945054945
ADA/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,160,86,0.34959349593495936
ADA/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,314,54,0.14673913043478262
ADA/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,301,36,0.10682492581602374
ADA/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,216,12,0.05263157894736842
ADA/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,189,4,0.02072538860103627
ADA/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,18,20,0.5263157894736842
ADA/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,84,41,0.328
ADA/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,162,25,0.13368983957219252
ADA/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,151,16,0.09580838323353294
ADA/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,116,7,0.056910569105691054
ADA/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,102,4,0.03773584905660377
DOT/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,463,423,0.47742663656884876
DOT/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1648,525,0.24160147261849976
DOT/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2898,457,0.1362146050670641
DOT/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2861,222,0.0720077846253649
DOT/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2076,86,0.039777983348751156
DOT/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1307,21,0.01581325301204819
DOT/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,84,82,0.4939759036144578
DOT/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,368,138,0.2727272727272727
DOT/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,593,110,0.15647226173541964
DOT/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,647,69,0.09636871508379888
