arm,symbol,timeframe,entry_ms,entry_utc,day,is_reentry,take_profit_derived,engine_entry,engine_take_profit,stop_price,net_r,reconstructed,ohlc_match,verdict,order_ok,outcome_ok,fill_ms,fill_price,take_profit_price,first_tp_ms,tp_after_fill_ms,fill_offset_s,tick_count
static,ETH/USDT:USDT,1h,1769848800000,2026-01-31 08:40,2026-01-31,False,False,2606.82126,2634.318150000001,2588.49,1.3422517751987837,True,True,인공물,False,False,1769848847108.0,2606.82126,2634.318150000001,1769848800005.0,,47.108,23599
band,ETH/USDT:USDT,1h,1769848800000,2026-01-31 08:40,2026-01-31,False,False,2606.82126,2634.318150000001,2588.49,1.3422517751987837,True,True,인공물,False,False,1769848847108.0,2606.82126,2634.318150000001,1769848800005.0,,47.108,23599
static,ETH/USDT:USDT,1h,1769869560000,2026-01-31 14:26,2026-01-31,True,True,2508.2015399999996,2541.038849999999,2486.31,1.3726418029416938,True,True,순서역전-성립,False,True,1769869608768.0,2508.2015399999996,2541.038849999999,1769869560035.0,1769869612903.0,48.768,44828
band,ETH/USDT:USDT,1h,1769869560000,2026-01-31 14:26,2026-01-31,True,True,2508.2015399999996,2541.038849999999,2486.31,1.3726418029416938,True,True,순서역전-성립,False,True,1769869608768.0,2508.2015399999996,2541.038849999999,1769869560035.0,1769869612903.0,48.768,44828
static,ETH/USDT:USDT,2h,1738547700000,2025-02-03 01:55,2025-02-03,False,False,2432.176338,2546.4408450000005,2356.0,1.4635356225717902,True,True,인공물,False,False,1738547754287.0,2432.176338,2546.4408450000005,1738547700003.0,,54.287,40043
band,ETH/USDT:USDT,2h,1738547700000,2025-02-03 01:55,2025-02-03,False,False,2432.176338,2546.4408450000005,2356.0,1.4635356225717902,True,True,인공물,False,False,1738547754287.0,2432.176338,2546.4408450000005,1738547700003.0,,54.287,40043
static,ETH/USDT:USDT,2h,1741052460000,2025-03-04 01:41,2025-03-04,False,False,2034.9990617799235,2059.657654449809,2018.56,1.362505549277141,True,True,인공물,False,False,1741052498464.0,2034.9990617799235,2059.657654449809,1741052460108.0,,38.464,20387
band,ETH/USDT:USDT,2h,1741052460000,2025-03-04 01:41,2025-03-04,False,False,2034.9990617799235,2059.657654449809,2018.56,1.362505549277141,True,True,미체결,False,False,,,,,,,20387
static,ETH/USDT:USDT,2h,1741052700000,2025-03-04 01:45,2025-03-04,True,True,2031.233108204269,2050.2427705106725,2018.56,1.3223754559447296,True,True,인공물,False,False,1741052733351.0,2031.233108204269,2050.2427705106725,1741052700010.0,,33.351,20639
band,ETH/USDT:USDT,2h,1741052700000,2025-03-04 01:45,2025-03-04,True,True,2031.233108204269,2050.2427705106725,2018.56,1.3223754559447296,True,True,인공물,False,False,1741052727285.0,2032.2463993076642,2052.7759982691605,1741052701536.0,,27.285,20639
static,ETH/USDT:USDT,2h,1757175660000,2025-09-06 16:21,2025-09-06,True,True,4221.254952717743,4250.137381794359,4202.0,1.2575416218820463,True,True,인공물,False,False,1757175684355.0,4221.254952717743,4250.137381794359,1757175660002.0,,24.355,20529
band,ETH/USDT:USDT,2h,1757175660000,2025-09-06 16:21,2025-09-06,True,True,4221.254952717743,4250.137381794359,4202.0,1.2575416218820463,True,True,미체결,False,False,,,,,,,20529
static,ETH/USDT:USDT,2h,1757175660000,2025-09-06 16:21,2025-09-06,False,False,4221.254952717743,4250.137381794359,4202.0,1.2575416218820463,True,True,인공물,False,False,1757175684355.0,4221.254952717743,4250.137381794359,1757175660002.0,,24.355,20529
band,ETH/USDT:USDT,2h,1757175660000,2025-09-06 16:21,2025-09-06,False,False,4221.254952717743,4250.137381794359,4202.0,1.2575416218820463,True,True,미체결,False,False,,,,,,,20529
static,ETH/USDT:USDT,2h,1758131940000,2025-09-17 17:59,2025-09-17,False,False,4449.775150289302,4492.922875723254,4421.01,1.328518642036521,True,True,인공물,False,False,1758131998789.0,4449.775150289302,4492.922875723254,1758131940084.0,,58.789,17745
band,ETH/USDT:USDT,2h,1758131940000,2025-09-17 17:59,2025-09-17,False,False,4449.775150289302,4492.922875723254,4421.01,1.328518642036521,True,True,인공물,False,False,1758131997383.0,4459.990069084045,4518.460172710113,1758131949176.0,,57.383,17745
static,ETH/USDT:USDT,4h,1769869560000,2026-01-31 14:26,2026-01-31,False,False,2534.5095492263636,2578.218873065909,2505.37,1.4029915243413498,True,True,인공물,False,False,1769869604255.0,2534.5095492263636,2578.218873065909,1769869564187.0,,44.255,44828
band,ETH/USDT:USDT,4h,1769869560000,2026-01-31 14:26,2026-01-31,False,False,2534.5095492263636,2578.218873065909,2505.37,1.4029915243413498,True,True,인공물,False,False,1769869604481.0,2532.7377901129844,2573.7894752824614,1769869560035.0,,44.481,44828
