symbol,timeframe,segment,arm,num_candidates,num_trades,win_rate,total_return,max_drawdown
TRX/USDT:USDT,4h,oos,band,49,32,0.46875,0.02416887811238612,0.04332446806778075
DOGE/USDT:USDT,1h,full,off,292,232,0.6077586206896551,1.385969872403974,0.058709688351933555
DOGE/USDT:USDT,1h,full,freeze,431,288,0.5763888888888888,1.3744854241259015,0.07756009381182909
DOGE/USDT:USDT,1h,full,band,413,268,0.5708955223880597,1.170829517978415,0.0708498827513385
DOGE/USDT:USDT,1h,is,off,185,143,0.6713286713286714,1.1806061751480854,0.048836547558539986
DOGE/USDT:USDT,1h,is,freeze,276,181,0.6243093922651933,1.192959931899475,0.049549102259239385
DOGE/USDT:USDT,1h,is,band,269,169,0.6272189349112426,1.0940846928118317,0.0495491022592393
DOGE/USDT:USDT,1h,oos_warm,off,107,89,0.5056179775280899,0.09417734371129281,0.058709688351933895
DOGE/USDT:USDT,1h,oos_warm,freeze,155,107,0.4953271028037383,0.08277647465687969,0.0775600938118288
DOGE/USDT:USDT,1h,oos_warm,band,144,99,0.47474747474747475,0.03664838649077355,0.07084988275133848
DOGE/USDT:USDT,1h,oos,off,107,89,0.5056179775280899,0.09417734371129281,0.058709688351933895
DOGE/USDT:USDT,1h,oos,freeze,155,107,0.4953271028037383,0.08277647465687969,0.0775600938118288
DOGE/USDT:USDT,1h,oos,band,144,99,0.47474747474747475,0.03664838649077355,0.07084988275133848
DOGE/USDT:USDT,2h,full,off,140,116,0.5948275862068966,0.48290232455052284,0.0708308549632522
DOGE/USDT:USDT,2h,full,freeze,221,155,0.6064516129032258,0.7405892060354788,0.05385237799386363
DOGE/USDT:USDT,2h,full,band,208,143,0.6153846153846154,0.7093419906175256,0.06710162777748668
DOGE/USDT:USDT,2h,is,off,78,66,0.6515151515151515,0.3776818127714689,0.031692113068049775
DOGE/USDT:USDT,2h,is,freeze,126,94,0.6595744680851063,0.5713136802297771,0.03777520333785411
DOGE/USDT:USDT,2h,is,band,120,87,0.6666666666666666,0.5533457032151651,0.03777520333785401
DOGE/USDT:USDT,2h,oos_warm,off,62,50,0.52,0.07637504596753224,0.07083085496325257
DOGE/USDT:USDT,2h,oos_warm,freeze,95,61,0.5245901639344263,0.10772866546986934,0.05385237799386289
DOGE/USDT:USDT,2h,oos_warm,band,88,56,0.5357142857142857,0.10042599472833026,0.06710162777748653
DOGE/USDT:USDT,2h,oos,off,56,45,0.4888888888888889,0.03622354040957853,0.07083085496325257
DOGE/USDT:USDT,2h,oos,freeze,76,53,0.4716981132075472,0.030061815320586903,0.06624688643293705
DOGE/USDT:USDT,2h,oos,band,70,49,0.4897959183673469,0.036825365584375686,0.06710162777748653
DOGE/USDT:USDT,4h,full,off,82,63,0.5873015873015873,0.25486366933716254,0.043010507965810615
DOGE/USDT:USDT,4h,full,freeze,134,86,0.627906976744186,0.4674852480785874,0.031019018951013274
DOGE/USDT:USDT,4h,full,band,126,74,0.6216216216216216,0.38127871240282546,0.04303535563754712
DOGE/USDT:USDT,4h,is,off,50,41,0.5853658536585366,0.17224664190285038,0.043010507965810615
DOGE/USDT:USDT,4h,is,freeze,80,52,0.6153846153846154,0.26076948840387687,0.031019018951013274
DOGE/USDT:USDT,4h,is,band,75,46,0.6086956521739131,0.22959019784518406,0.04303535563754712
DOGE/USDT:USDT,4h,oos_warm,off,32,22,0.5909090909090909,0.070477512565277,0.026872158241135955
DOGE/USDT:USDT,4h,oos_warm,freeze,54,34,0.6470588235294118,0.16395999552337798,0.0213986518624266
DOGE/USDT:USDT,4h,oos_warm,band,51,28,0.6428571428571429,0.12336509743121823,0.021828266228835515
DOGE/USDT:USDT,4h,oos,off,27,19,0.5789473684210527,0.061538799794255285,0.02132968063638109
DOGE/USDT:USDT,4h,oos,freeze,43,29,0.6206896551724138,0.11207663466498798,0.02132968063638089
DOGE/USDT:USDT,4h,oos,band,37,22,0.5909090909090909,0.07750091817697503,0.02132968063638099
LINK/USDT:USDT,1h,full,off,329,266,0.5488721804511278,0.891616080816185,0.06055816693638752
LINK/USDT:USDT,1h,full,freeze,490,335,0.5522388059701493,1.2929420227286261,0.08704229127003683
LINK/USDT:USDT,1h,full,band,465,312,0.5673076923076923,1.2846311193609137,0.06274227400483295
LINK/USDT:USDT,1h,is,off,220,174,0.5804597701149425,0.7202269154666399,0.06055816693638752
LINK/USDT:USDT,1h,is,freeze,321,223,0.5874439461883408,1.08727662364117,0.06727595177690326
LINK/USDT:USDT,1h,is,band,296,202,0.5891089108910891,0.91981133373802,0.06055816693638762
LINK/USDT:USDT,1h,oos_warm,off,109,92,0.4891304347826087,0.09963171940200173,0.05745764199138006
LINK/USDT:USDT,1h,oos_warm,freeze,169,112,0.48214285714285715,0.09853289054168708,0.08704229127003708
