lens,symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
baseline,XMR/USDT:USDT,4h,full,102,81,0.654320987654321,0.5263142889784349,0.03913225239809209,0.5263142889784349,81.0
baseline,XMR/USDT:USDT,4h,oos_warm,38,32,0.78125,0.30416155745403284,0.020599040932061587,,
baseline,XRP/USDT:USDT,15m,full,1422,933,0.602357984994641,6.269027813732596,0.08125888886558749,6.269027813732596,933.0
baseline,XRP/USDT:USDT,15m,oos_warm,535,320,0.5625,0.5204465160153122,0.06062616203143356,,
baseline,XRP/USDT:USDT,1h,full,317,246,0.6219512195121951,1.510248694624167,0.09908367511846773,1.510248694624167,246.0
baseline,XRP/USDT:USDT,1h,oos_warm,127,93,0.5376344086021505,0.1621705067802708,0.09908367511846748,,
baseline,XRP/USDT:USDT,2h,full,132,101,0.594059405940594,0.4491155349680197,0.05855866721603162,0.4491155349680197,101.0
baseline,XRP/USDT:USDT,2h,oos_warm,47,37,0.5135135135135135,0.06205912942175564,0.052396273818335726,,
baseline,XRP/USDT:USDT,4h,full,69,58,0.5862068965517241,0.2354777687168118,0.04197993634679846,0.2354777687168118,58.0
baseline,XRP/USDT:USDT,4h,oos_warm,31,25,0.44,0.0005995117963564553,0.0419799363467986,,
pen_5bp,ADA/USDT:USDT,15m,full,1350,951,0.5562565720294427,2.7837184347028248,0.09196727133587622,,
pen_5bp,ADA/USDT:USDT,15m,oos_warm,474,326,0.5122699386503068,0.2624008970053106,0.09196727133587641,,
pen_5bp,ADA/USDT:USDT,1h,full,351,269,0.5315985130111525,0.588090905472239,0.05797395519523595,,
pen_5bp,ADA/USDT:USDT,1h,oos_warm,123,94,0.5,0.11598240798316274,0.05797395519523576,,
pen_5bp,ADA/USDT:USDT,2h,full,148,110,0.4818181818181818,0.12004035847654358,0.06486571652082736,,
pen_5bp,ADA/USDT:USDT,2h,oos_warm,56,42,0.5238095238095238,0.090557578274962,0.0501931307293783,,
pen_5bp,ADA/USDT:USDT,4h,full,80,60,0.5333333333333333,0.18541410415842166,0.06080749854518317,,
pen_5bp,ADA/USDT:USDT,4h,oos_warm,29,23,0.5652173913043478,0.08546378359044211,0.031048004776888457,,
pen_5bp,ALGO/USDT:USDT,15m,full,1473,1072,0.5326492537313433,2.4586113115271218,0.19250497312937578,,
pen_5bp,ALGO/USDT:USDT,15m,oos_warm,488,357,0.484593837535014,0.008278260131943353,0.15195481779074,,
pen_5bp,ALGO/USDT:USDT,1h,full,383,292,0.565068493150685,1.1309738148654735,0.07737365919364955,,
pen_5bp,ALGO/USDT:USDT,1h,oos_warm,133,95,0.5263157894736842,0.08358201050669978,0.0773736591936498,,
pen_5bp,ALGO/USDT:USDT,2h,full,173,128,0.53125,0.36003969261826607,0.06513368198271965,,
pen_5bp,ALGO/USDT:USDT,2h,oos_warm,53,42,0.42857142857142855,-0.011784266985269095,0.05837229351908693,,
pen_5bp,ALGO/USDT:USDT,4h,full,88,70,0.5428571428571428,0.23178389971930702,0.0536238869487017,,
pen_5bp,ALGO/USDT:USDT,4h,oos_warm,31,25,0.52,0.0604887075461691,0.053623886948701294,,
pen_5bp,ATOM/USDT:USDT,15m,full,1425,1043,0.5675934803451582,6.746606798396995,0.10146566556908233,,
pen_5bp,ATOM/USDT:USDT,15m,oos_warm,474,340,0.5235294117647059,0.40068495418531364,0.06529912525927406,,
pen_5bp,ATOM/USDT:USDT,1h,full,295,238,0.5714285714285714,0.9133598093948109,0.08907836281643547,,
pen_5bp,ATOM/USDT:USDT,1h,oos_warm,91,77,0.5064935064935064,0.07621701059453607,0.08907836281643507,,
pen_5bp,ATOM/USDT:USDT,2h,full,169,136,0.6029411764705882,0.7563773400862698,0.04806502454084914,,
pen_5bp,ATOM/USDT:USDT,2h,oos_warm,48,43,0.6046511627906976,0.17513548103766352,0.048065024540848975,,
pen_5bp,ATOM/USDT:USDT,4h,full,99,79,0.5822784810126582,0.3668489344116997,0.04486640049979246,,
pen_5bp,ATOM/USDT:USDT,4h,oos_warm,28,20,0.65,0.11851062372867964,0.020684140542324893,,
pen_5bp,BCH/USDT:USDT,15m,full,1180,803,0.5367372353673724,1.4687839866257277,0.11689735616786949,,
pen_5bp,BCH/USDT:USDT,15m,oos_warm,442,284,0.5316901408450704,0.20909056996789369,0.05916975370054531,,
pen_5bp,BCH/USDT:USDT,1h,full,294,230,0.6086956521739131,1.3481957850195763,0.05366657410636668,,
