symbol,timeframe,segment,arm,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
SOL/USDT:USDT,15m,oos,short_only,baseline,0.025880415230157997,292,0,292,792,-0.029185345203594042,-0.20039441232924846,0.14179571666477422,0.23,200,0,-0.5328090292369574
SOL/USDT:USDT,15m,oos,both,baseline,0.20772443808009594,614,331,283,1651,-0.025437747409510703,-0.27603951327661735,0.214253577169442,0.03,200,0,-0.5328090292369574
BNB/USDT:USDT,15m,is,long_only,baseline,-0.03491544190698951,534,534,0,1554,-0.19169659932535235,-0.33544495227060345,-0.03140334713899046,0.03,200,0,1.7524629103228069
BNB/USDT:USDT,15m,is,short_only,baseline,-0.22711302768084388,435,0,435,1600,-0.26771555827125443,-0.38105317025367647,-0.14954451236214808,0.26,200,0,1.7524629103228069
BNB/USDT:USDT,15m,is,both,baseline,-0.2254268458051585,897,488,409,3154,-0.37084694243861344,-0.5235823348960645,-0.17626923352925206,0.08,200,0,1.7524629103228069
BNB/USDT:USDT,15m,oos,long_only,baseline,-0.16118512439306124,262,262,0,804,-0.2501721898772673,-0.3382513365678089,-0.1458932080196113,0.06,200,0,-0.17551263169819864
BNB/USDT:USDT,15m,oos,short_only,baseline,-0.0013730536172059146,214,0,214,861,-0.04037310438027156,-0.1613435881467618,0.10140933339020684,0.26,200,0,-0.17551263169819864
BNB/USDT:USDT,15m,oos,both,baseline,-0.13147422906892298,446,244,202,1665,-0.24254504161707316,-0.37716514742356255,-0.07111868642735081,0.1,200,0,-0.17551263169819864
XRP/USDT:USDT,15m,is,long_only,baseline,0.3226094024543214,616,616,0,1613,-0.17152429234411493,-0.35154442729425783,0.03893962008039798,0.0,200,0,2.605949768349183
XRP/USDT:USDT,15m,is,short_only,baseline,0.13070835006313536,530,0,530,1484,-0.11466611863053046,-0.291962421567539,0.06329822164762718,0.005,200,0,2.605949768349183
XRP/USDT:USDT,15m,is,both,baseline,0.5203873963969523,1075,580,495,3097,-0.22745568730579568,-0.4694127529890122,0.051394805990157874,0.0,200,0,2.605949768349183
XRP/USDT:USDT,15m,oos,long_only,baseline,-0.014943858585805901,324,324,0,886,-0.08743457700045648,-0.2117371460574006,0.06564762106776016,0.15,200,0,-0.6218819125404118
XRP/USDT:USDT,15m,oos,short_only,baseline,-0.018705683732663056,293,0,293,833,-0.0646953487825452,-0.19323943519989054,0.0829943507422664,0.295,200,0,-0.6218819125404118
XRP/USDT:USDT,15m,oos,both,baseline,-0.03724833794536389,590,317,273,1719,-0.1325572251534084,-0.32157829008790706,0.057256042689642524,0.18,200,0,-0.6218819125404118
TRX/USDT:USDT,15m,is,long_only,baseline,-0.2592614408410882,366,366,0,1422,-0.17747728849565203,-0.28386930842143254,-0.05570132964003769,0.93,200,0,2.727719729563614
TRX/USDT:USDT,15m,is,short_only,baseline,-0.3255986345608735,246,0,246,1318,-0.16927213443049507,-0.2623668723651692,-0.07431564752793601,1.0,200,0,2.727719729563614
