symbol,timeframe,segment,arm,arm_label,lens,no_same_step_tp,combine_obs,max_zone_width_atr,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
DOGE/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.486555131422375,347,347,0,768,0.1712962902294894,-0.0361367166233363,0.3839566888357976,0.0,200,0,5780,-0.3124941419064579
LINK/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,4.434185441633874,1037,1037,0,2255,0.3467291138180943,-0.0471611450628271,0.9350742527976116,0.0,200,0,5905,-0.2914449447400737
LINK/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.6234297298893396,372,372,0,895,0.0188207692795098,-0.1810546313953594,0.2133747455294056,0.0,200,0,5905,-0.1905162738496072
LINK/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,2.4507774129491264,932,932,0,2164,0.0333236974653922,-0.3047712569265817,0.4437982409287659,0.0,200,0,5905,-0.2914449447400737
LINK/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.419095882593585,332,332,0,859,-0.0707110949627898,-0.2440524349029948,0.1133025115055404,0.0,200,0,5905,-0.1905162738496072
LTC/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,2.3979904151966736,960,960,0,2187,0.5546656994287339,0.1360997669158541,1.0722273914299978,0.0,200,0,5832,-0.0448704874566592
LTC/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.2186762804474925,342,342,0,816,0.0455343070606945,-0.1068347497158769,0.2260412507300367,0.04,200,0,5832,-0.2314130969965534
LTC/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,1.3543528633913429,878,878,0,2080,0.2345576687784742,-0.1817197850972408,0.66484156253576,0.0,200,0,5832,-0.0448704874566592
LTC/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.026039751089942,305,305,0,775,-0.0046747727357397,-0.1719294787683196,0.1960132356336098,0.33,200,0,5832,-0.2314130969965534
ADA/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,4.11539010143058,1066,1066,0,2284,0.7148796073689355,0.1899468323664114,1.2803527259699845,0.0,200,0,5854,0.7930179714934931
ADA/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.2807820395221521,369,369,0,846,0.0245800439163493,-0.1696278917566213,0.2082460468891304,0.0,200,0,5854,-0.5028636884306987
ADA/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,2.29786068320493,946,946,0,2169,0.2260292269424291,-0.164441556494729,0.7091835220689707,0.0,200,0,5854,0.7930179714934931
ADA/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.2002628123019905,324,324,0,801,-0.0454864418820048,-0.2269937618987506,0.1221736952777382,0.0,200,0,5854,-0.5028636884306987
DOT/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,5.233103438399258,1105,1105,0,2350,0.7716238919120642,0.199734333804038,1.4489776838338218,0.0,200,0,5752,-0.8438007380073801
DOT/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.6442379006008858,405,405,0,880,0.2620118381557984,0.0724123301395511,0.5172826672171499,0.0,200,0,5752,-0.8254792826221398
DOT/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,2.253995960720175,983,983,0,2199,0.1530785257828787,-0.1953408273977594,0.5837802933749905,0.0,200,0,5752,-0.8438007380073801
DOT/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.2147304681734607,348,348,0,820,-0.0140049480719907,-0.1890064070337358,0.1777101754516419,0.02,200,0,5752,-0.8254792826221398
BCH/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,2.0177485333755905,876,876,0,2018,0.4337604903518875,0.0860263348113039,0.8845914896953553,0.0,200,0,5918,-0.0114007954043305
BCH/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.2975866802245419,309,309,0,739,0.0879749233420672,-0.0880341929805432,0.2744236000995426,0.02,200,0,5918,-0.3629114933363709
BCH/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,1.2224533295768838,797,797,0,1918,0.1775062432503684,-0.1610384576665703,0.5178547571473878,0.0,200,0,5918,-0.0114007954043305
BCH/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.1458256248984484,280,280,0,713,0.0069049277850184,-0.1492880700161298,0.1710167727458905,0.045,200,0,5918,-0.3629114933363709
BTC/USDT:USDT,4h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.2580248461440513,52,52,0,98,0.1879959422826482,0.0743160470606379,0.2972790104284571,0.12,200,0,363,5.1638562691729035
BTC/USDT:USDT,4h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.0301715560438087,15,15,0,30,0.058568753799356,0.0100268974111631,0.1258966553610711,0.82,200,0,363,0.0802191530647187
BTC/USDT:USDT,4h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.2118474127799816,46,46,0,94,0.1531268790689108,0.0325169550414588,0.2655574502449008,0.145,200,0,363,5.1638562691729035
BTC/USDT:USDT,4h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.0308482356985578,13,13,0,29,0.0448138498510965,-0.0046795047294584,0.0988889536341988,0.68,200,0,363,0.0802191530647187
ETH/USDT:USDT,4h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.367972332430133,68,68,0,127,0.1910040805556608,0.0645457773935768,0.3226984924188407,0.015,200,0,366,4.105398867593503
ETH/USDT:USDT,4h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.1417028086555727,25,25,0,48,0.0523003842805501,-0.0097388103023027,0.1222162231567279,0.005,200,0,366,-0.2867911916521223
ETH/USDT:USDT,4h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.2529812944737063,66,66,0,125,0.1512890982614582,0.0120908617606051,0.2762982146723645,0.06,200,0,366,4.105398867593503
ETH/USDT:USDT,4h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.113666832693793,25,25,0,47,0.055731651595959,-0.0156550156125189,0.1222849796858281,0.055,200,0,366,-0.2867911916521223
SOL/USDT:USDT,4h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.3364607263108504,76,76,0,132,0.1607157093246159,0.0184851841843561,0.3032844678511788,0.0,200,0,349,22.947772657450077
