scope,arm,month,monthly_return,equity_end,num_exits,btc_buy_hold
4h,long_only,2026-03,0.004862276973342627,19460.975576005247,15,0.03789353612167301
4h,long_only,2026-04,0.0649999828586445,20725.938654858088,6,0.1207126229134996
4h,long_only,2026-05,0.019644038748546144,21133.07979689411,12,-0.05804685901370987
4h,long_only,2026-06,-0.041494202569298366,20256.17950288864,17,-0.17909835204471114
4h,long_only,2026-07,0.014189468919991732,20543.60393238265,1,0.10350569003793342
4h,long_short,2024-08,0.06325225914110422,10632.522591411042,5,-0.09776683825994315
4h,long_short,2024-09,0.012717946364395383,10767.74644344683,15,0.10548630040109597
4h,long_short,2024-10,-0.018166764413023007,10572.131330549564,18,0.15705170393966106
4h,long_short,2024-11,0.12287720704651761,11871.205300976479,24,0.388220820053097
4h,long_short,2024-12,0.07832868429868434,12801.061193241532,14,-0.03820692108474688
4h,long_short,2025-01,-0.019006660226663197,12557.755772600867,15,0.08245639447287978
4h,long_short,2025-02,0.009936224452803621,12682.53245258092,11,-0.16206179500534768
4h,long_short,2025-03,0.06720183213296482,13534.821869480142,15,-0.0405800875968082
4h,long_short,2025-04,0.14242843777514258,15462.565403915032,18,0.10578130635366878
4h,long_short,2025-05,0.025107429179245466,15850.79066972328,17,0.08422653030958283
4h,long_short,2025-06,0.08108398336950629,17136.035916780645,23,0.014245624071230978
4h,long_short,2025-07,-0.015344842094918931,16873.086151504787,11,0.09522529319496131
4h,long_short,2025-08,-0.025414523504738606,16444.26470690989,19,-0.044473565232134304
4h,long_short,2025-09,0.011002189240739257,16625.18761914012,12,0.043969157754659705
4h,long_short,2025-10,0.004027003826103881,16692.137313292093,12,-0.07587446563713596
4h,long_short,2025-11,0.022280859795961838,17064.052484464497,13,-0.17925581023415404
4h,long_short,2025-12,0.004672902823997127,17143.791143507988,7,0.01584618096139212
4h,long_short,2026-01,0.047349217393860776,17955.536237316894,21,-0.11366216216216218
4h,long_short,2026-02,0.061345112887588815,19057.02063475229,26,-0.12991297452928896
4h,long_short,2026-03,-0.001557825423163961,19027.333123517714,20,0.03789353612167301
4h,long_short,2026-04,0.09995109182846451,20929.135843797216,10,0.1207126229134996
4h,long_short,2026-05,-0.007570370161239404,20770.694538304808,18,-0.05804685901370987
4h,long_short,2026-06,-0.051296056953344604,19705.2398083074,18,-0.17909835204471114
4h,long_short,2026-07,0.015823971707190188,20017.054965517455,7,0.10350569003793342
