arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,lens,net_r_stderr,gross_r,cost_r,breakeven_win_rate,breakeven_win_rate_zero_cost,win_rate_margin,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share,exclude
기준,0.003,0.4,full,False,44,11,70921,0.769292593167045,0.005081178172634744,0.06282047591397188,6.260471842484229,0.6279000723116764,9.970490717473053,20,0.06447074677703848,0.06447074677703848,0.5684776018386656,0.0013834480383239612,0,15874,97253,0,4513,baseline,0.0023536612002287966,0.07701591770708444,0.07193473953447885,0.7656676710960564,0.7142857142857143,0.0036249220709886343,30514,0.43025338052198925,28.71429169854616,-BNB
기준,0.003,0.4,oos_warm,False,44,11,21293,0.7782369792889682,0.010507511638813513,0.07467567010860213,1.7270292784046148,1.0556753140587167,1.6359473934885982,15,158.2522502398453,158.2522502398453,0.6616258864415535,0.01598903615937821,457,15874,97253,0,940,baseline,0.004250354067830217,0.0895527121451533,0.07904520050630973,0.7707465717902213,0.7142857142857143,0.007490407498746854,8494,0.3989104400507209,12.545998373294973,-BNB
기준,0.003,0.4,full,False,44,11,70889,0.767820113134619,0.003441629907279996,0.06075815499912714,5.2424857865817405,0.7023200887220741,7.464524895081459,17,0.06828828787862724,0.06828828787862724,0.5658141601658931,0.0014827309594342278,0,15596,96843,0,4521,baseline,0.002358493029429051,0.07495444849983557,0.0715128185925744,0.7653662989946961,0.7142857142857143,0.0024538141399228497,30546,0.4308990111300766,42.502900154489666,-BTC
기준,0.003,0.4,oos_warm,False,44,11,21313,0.7758175761272463,0.007191226391976247,0.07115578874110147,1.2450776010050981,1.1594047934526182,1.0738937841522571,15,62.17256232711898,62.17256232711898,0.6596443485196828,0.010746838173319036,2371,15596,96843,0,944,baseline,0.004264251529360085,0.08616552806768663,0.07897430167568734,0.7706959297683482,0.7142857142857143,0.005121646358898113,8564,0.4018204851499085,18.48441064973268,-BTC
기준,0.003,0.4,full,False,44,11,69623,0.769329101015469,0.003909528715635616,0.06260607886587843,5.454294400015212,0.6353007801766114,8.585373369916116,20,0.0701754547207772,0.0701754547207772,0.5809861683639027,0.001500163652223923,0,16746,95723,0,4513,baseline,0.002377926551008124,0.07706074142163197,0.0731512127060222,0.7665365805043017,0.7142857142857143,0.0027925205111672957,29675,0.42622409261307326,36.8656692310644,-DOGE
기준,0.003,0.4,oos_warm,False,44,11,20641,0.7768034494452788,0.0066667956456005675,0.07214689891151024,1.2338956157417535,1.0594488316960071,1.1646580550440413,15,22.1993144108292,22.1993144108292,0.6736107746717698,0.01256390543664192,472,16746,95723,0,939,baseline,0.004335645979906152,0.08752482922341297,0.08085803357778934,0.7720414525555639,0.7142857142857143,0.004761996889714903,8092,0.39203526960903057,19.364605983927547,-DOGE
기준,0.003,0.4,full,False,44,11,69685,0.7690177226088828,0.003462434678377611,0.06214782046491344,5.361887225071078,0.6224404398446719,8.61429766100853,19,0.05975661043791649,0.05975661043791649,0.5804549042118103,0.0013882811373160718,0,16557,95695,0,4514,baseline,0.0023783154692730906,0.07663121044276489,0.07316877576441735,0.7665491255460124,0.7142857142857143,0.0024685970628703924,29898,0.4290449881610103,41.927576973788305,-DOT
기준,0.003,0.4,oos_warm,False,44,11,20821,0.7737860813601652,0.0027535898260348606,0.06789625310508245,0.5893387314926462,1.160026283500989,0.5080391193499572,15,145.6182730484015,145.6182730484015,0.6675952163680899,0.020818829017722577,2669,16557,95695,0,941,baseline,0.004333661069320373,0.08332192976833917,0.08056833994228155,0.7718345285302012,0.7142857142857143,0.001951552829964065,8193,0.39349695019451514,47.11362187068502,-DOT
기준,0.003,0.4,full,False,44,11,70051,0.7683544845897988,0.0034844790640918295,0.061414905819054434,5.1353240471792505,0.6709504504808325,7.653805200516748,18,0.0680857463187195,0.0680857463187195,0.5708269689226421,0.0013751030729173155,0,16244,96209,0,4518,baseline,0.002371667296391492,0.07570264378387292,0.07221816471981125,0.7658701176570081,0.7142857142857143,0.002484366932790749,29914,0.4270317340223551,41.533435895074696,-ETH
기준,0.003,0.4,oos_warm,False,44,11,20472,0.7720789370847988,0.0007638311678608988,0.06555579639611632,0.14639332937056915,1.3140068598577523,0.11140986690618719,18,4.897447739607878,4.897447739607878,0.664126611957796,0.010409786324376473,5373,16244,96209,0,944,baseline,0.00437768717729519,0.08093229287350924,0.08016846170563062,0.7715489012183077,0.7142857142857143,0.0005300358664911409,7931,0.38740719030871434,167.17508912452357,-ETH
기준,0.003,0.4,full,False,44,11,69959,0.7694506782544062,0.003972875838987391,0.06272239199509988,5.84654473433667,0.6357723798130861,9.195971577210582,19,0.07666809734335037,0.07666809734335037,0.5815834989065024,0.001438081144473724,0,16637,95965,0,4507,baseline,0.0023727796618537205,0.0772373232851263,0.0732644474461678,0.7666174624615485,0.7142857142857143,0.0028332157928576684,30142,0.4308523563801655,36.69440975251645,-LINK
기준,0.003,0.4,oos_warm,False,44,11,20920,0.776338432122371,0.0064133986817254815,0.07155866740921556,1.2461004519222136,1.1068913758278034,1.125765797018972,15,28.937461677958876,28.937461677958876,0.6698374760994263,0.018546364859378217,1153,16637,95965,0,939,baseline,0.0043082036902583045,0.08689511948884321,0.08048172080709481,0.7717726577193534,0.7142857142857143,0.004565774403017531,8332,0.3982791586998088,20.487806369205213,-LINK
