arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades
loss-2R_reentry,하루 -2R · 재진입 재무장만,loss,-2.0,,reentry,oos,12,12,781,0.3879641485275288,-0.08349726429565243,-65.21136341490455,-0.5349347562434034,0.758991401419415,-0.7047968596785209,8,0.22539354155553212,0,True,33,227,0.14537444933920704,151,0.18347509113001215,-0.030741993730848637,0.052755270564803954,0.019892901327649988,0.013090599810760077,0.005127290880953027,0.015887150463444636,1.921343814608346e-05,-0.001261885356149882,2.842170943040401e-14,0.0212287188481445,32,0,57
loss-3R_reentry,하루 -3R · 재진입 재무장만,loss,-3.0,,reentry,full,12,12,2461,0.4071515644047135,-0.025450338831176308,-62.633283863524895,-0.6501366504725571,0.9151759720902879,-0.7103952357792201,9,0.4738758206859626,0,True,82,671,0.12220566318926974,393,0.1510957324106113,0.01820166213437955,0.04365200096555587,0.01529441576061623,0.010911737901493667,0.004797611929673365,0.012227521885554486,1.8929566355982368e-06,0.0004188205315825925,2.842170943040401e-14,0.026086800158072083,148,0,182
loss-3R_reentry,하루 -3R · 재진입 재무장만,loss,-3.0,,reentry,is,12,12,1635,0.41590214067278286,0.00022178159957809529,0.3626129153101858,-0.12470211716462855,0.6254789938537115,-0.19937059180247094,9,0.15322392811169233,0,True,57,443,0.12866817155756208,254,0.14699074074074073,0.03975535168195716,0.03953357008237908,0.01317373808170497,0.0098840652015301,0.0046225210391839106,0.010533720970132457,0.0,0.0013195247898276422,2.842170943040401e-14,0.028987719670229988,111,0,111
loss-3R_reentry,하루 -3R · 재진입 재무장만,loss,-3.0,,reentry,oos_warm,12,12,826,0.3898305084745763,-0.07626621886057515,-62.995896778835075,-0.5254345333079289,0.7774423224727866,-0.6758501796463764,8,0.23874176731107538,0,True,25,228,0.10964912280701754,139,0.15922107674684993,-0.024462118023355853,0.05180410083721948,0.019492125209792804,0.012945932652632181,0.0051441901451095085,0.015580263407001237,5.639910750856247e-06,-0.0013640504880671129,2.842170943040401e-14,0.021710183306720063,37,0,60
loss-3R_reentry,하루 -3R · 재진입 재무장만,loss,-3.0,,reentry,oos,12,12,783,0.38697318007662834,-0.08611169824087009,-67.42545972260127,-0.5567936543925841,0.7697188673154837,-0.7233727507998993,8,0.23429958048906094,0,True,21,227,0.09251101321585903,118,0.1433778857837181,-0.03321774853613382,0.052893949704736404,0.01996616639370989,0.013107304459713554,0.005114194352521474,0.015945782286736515,1.9164361675723097e-05,-0.0012586621496207637,2.842170943040401e-14,0.021085369079962023,34,0,57
loss-5R_reentry,하루 -5R · 재진입 재무장만,loss,-5.0,,reentry,full,12,12,2483,0.40596053161498186,-0.028444336741096598,-70.62728812814285,-0.7257343949024152,0.9730779324917579,-0.7458132290021512,9,1.376657780498101,5,True,50,671,0.07451564828614009,261,0.10034602076124567,0.015221220504513916,0.04366555724561051,0.015326557058554565,0.010902058964251468,0.0047744803849298625,0.012253238839454438,1.8761845671394525e-06,0.0004073458138531189,2.842170943040401e-14,0.026073988280478747,171,0,186
loss-5R_reentry,하루 -5R · 재진입 재무장만,loss,-5.0,,reentry,is,12,12,1651,0.41308298001211385,-0.006968934054984478,-11.505710124779373,-0.23904304934920428,0.6485304372672576,-0.36859187420172745,9,0.15862176075272352,0,True,38,443,0.08577878103837472,175,0.10127314814814815,0.03270745003028465,0.039676384085269134,0.013275163971463,0.009891592976395336,0.004588068877815599,0.010614821111582991,0.0,0.001306737148012232,2.842170943040401e-14,0.02879298966354165,128,0,112
loss-5R_reentry,하루 -5R · 재진입 재무장만,loss,-5.0,,reentry,oos_warm,12,12,832,0.3918269230769231,-0.07105958894635028,-59.12157800336343,-0.48669134555321264,0.7445930844366406,-0.6536339857647798,8,0.20685321645469296,0,True,12,228,0.05263157894736842,86,0.09851088201603665,-0.019478016210687406,0.05158157273566304,0.01939729021575181,0.012907202408903461,0.005144390719359729,0.015504474018199347,5.5992383175568035e-06,-0.0013773838648688723,2.842170943040401e-14,0.021789645844241715,43,0,60
loss-5R_reentry,하루 -5R · 재진입 재무장만,loss,-5.0,,reentry,oos,12,12,785,0.3872611464968153,-0.08531562830635098,-66.97276822048552,-0.5522667393714266,0.7686787866067328,-0.7184623135098617,8,0.23055775901367487,0,True,12,227,0.05286343612334802,80,0.09720534629404617,-0.0324961746545131,0.05281945365183806,0.019939094112610724,0.013096193369513464,0.005114056489537376,0.01592418411716879,1.911553527654928e-05,-0.0012731899722688723,2.842170943040401e-14,0.021085369079962023,36,0,57
loss-8R_reentry,하루 -8R · 재진입 재무장만,loss,-8.0,,reentry,full,12,12,2512,0.4056528662420382,-0.02912062441570135,-73.15100853224179,-0.7481377784610381,1.011273217848331,-0.7397978758429282,9,10.33001216496141,13,False,22,671,0.03278688524590164,143,0.05497885428681276,0.0144483640576067,0.04356898847330806,0.015297848709858671,0.010876293285549595,0.00476004347441697,0.01223030530361127,1.8545247930761388e-06,0.0004026431750785407,2.842170943040401e-14,0.026120389767914944,200,0,188
