arm,symbol,timeframe,metric,quantile,value,sample
mid,SOL/USDT:USDT,15m,zone_width_atr,0.95,3.86610863900638,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.05,0.0018070172348546632,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.1,0.002217117884712037,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.25,0.0032507468183106277,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.33,0.003697006684227246,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.5,0.004874349805363564,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.67,0.006448710257948369,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.75,0.0076394297329469545,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.9,0.012003208789425,6622
mid,SOL/USDT:USDT,15m,stop_fraction,0.95,0.01569739028688411,6622
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.05,0.5272549144828684,1634
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.1,0.6393279375481232,1634
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.25,0.9562043866805966,1634
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.33,1.0911755211929302,1634
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.5,1.4079278748900004,1634
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.67,1.84875982208985,1634
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.75,2.1057805005340864,1634
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.9,3.0736235749926086,1634
proximal,SOL/USDT:USDT,1h,zone_width_atr,0.95,4.002097468856856,1634
proximal,SOL/USDT:USDT,1h,stop_fraction,0.05,0.007260892718202036,1634
