scope,fill,segment,exclude_symbol,seeds,num_cells,long_only_return,long_only_mdd,long_only_return_over_mdd,actual_trades,actual_return,actual_mdd,actual_return_over_mdd,null_mean_trades,null_mean_return,null_mean_mdd,null_mean_return_over_mdd,null_median_return_over_mdd,p_return,p_return_over_mdd
2h,baseline,is,ETH+DOGE+LINK,20,6,10.970301571388829,0.09368402406034838,117.09895770832918,1105,47.489001032402726,0.1006923902509934,471.62452807037437,1254.65,6.897909521817479,0.22794068234896034,32.44746966873894,26.48241655475867,0.047619047619047616,0.047619047619047616
2h,baseline,oos_warm,ETH+DOGE+LINK,20,6,1.3158573186336977,0.0739846323158622,17.785549207245026,536,2.0677408696411095,0.08301721888805598,24.907373402008815,594.8,0.7890974631279997,0.18617904588204684,4.713415203468749,4.251988702887024,0.047619047619047616,0.047619047619047616
2h,pen_5bp,is,,20,9,25.38850916931108,0.11179180285034639,227.1052843051311,1549,182.38950711795616,0.125410438262992,1454.3407203113045,1672.55,11.847772803836609,0.29069247776967116,41.07971495651687,37.33472735555635,0.047619047619047616,0.047619047619047616
2h,pen_5bp,oos_warm,,20,9,1.562554666884827,0.08977121768163787,17.40596493217043,778,2.9317867665715944,0.09626247554218834,30.456174641869655,820.55,0.8344472792807169,0.2832535443716216,3.563339392162714,3.238170181390892,0.047619047619047616,0.047619047619047616
2h,pen_5bp,is,ETH,20,8,20.11613240420733,0.11084539834476521,181.47918366118927,1403,128.34508361664217,0.12046337841758126,1065.4282264252902,1567.55,9.51218753929788,0.28662705930820054,33.97537105180409,27.851498624459467,0.047619047619047616,0.047619047619047616
2h,pen_5bp,oos_warm,ETH,20,8,1.1723352639171276,0.10482803781858217,11.183413219524324,686,2.1890185180029795,0.10415339219996116,21.01725610434603,746.3,0.6121812899163042,0.28612179372252305,2.7494724999153997,1.8247613165634933,0.047619047619047616,0.047619047619047616
2h,pen_5bp,is,DOGE,20,8,16.734456712063324,0.10192172786783331,164.18929566974845,1400,92.16861797326956,0.11220791589566256,821.4092315819616,1561.2,7.668845928843263,0.2962459089116712,26.409491189691767,24.253892576391923,0.047619047619047616,0.047619047619047616
2h,pen_5bp,oos_warm,DOGE,20,8,1.4988843920184463,0.08002013509204416,18.731340434433605,686,2.819130820803202,0.10408620531377291,27.084576791946596,743.0,0.7288378109489253,0.2543906745937621,3.5690946078799968,3.007132926580624,0.047619047619047616,0.047619047619047616
2h,pen_5bp,is,LINK,20,8,18.521593752196637,0.11739989062543764,157.76500006537032,1351,113.01618081153833,0.11459068379487118,986.2597644835477,1483.0,9.570271566313012,0.27276423608340006,35.90440917511592,32.757949275392065,0.047619047619047616,0.047619047619047616
2h,pen_5bp,oos_warm,LINK,20,8,1.5158069404059442,0.08004469954542497,18.93700581068121,677,2.2306576566741505,0.0927038056339681,24.062201561408212,718.95,0.8980785235326921,0.24508797237053742,4.232695813688143,3.7759358551429356,0.09523809523809523,0.047619047619047616
2h,pen_5bp,is,ETH+DOGE+LINK,20,6,9.464250470770894,0.09377868783884045,100.92112279322245,1056,39.78613822865397,0.10323895803180774,385.3791145043902,1204.0,5.010011454763307,0.25314871882218815,20.4094768312171,18.27088824993671,0.047619047619047616,0.047619047619047616
2h,pen_5bp,oos_warm,ETH+DOGE+LINK,20,6,1.075079909613066,0.07308231361409669,14.710534689554441,493,1.5383371208199963,0.07813197143517958,19.688958214707828,538.3,0.57043698931684,0.20358744809883844,3.244032744634386,3.5547650516753926,0.047619047619047616,0.047619047619047616
15m,baseline,is,,20,9,7646.759377701647,0.10310218696613913,74166.80094490139,12627,46183.65722926876,0.1422288145745341,324713.7886048155,12934.1,91.94499003414859,0.5771746113552243,172.14708533394455,175.36230035327617,0.047619047619047616,0.047619047619047616
15m,baseline,oos_warm,,20,9,28.094660355218167,0.1508353041230437,186.26050790006025,5790,128.75707671591303,0.17977076580194284,716.2292274916788,6178.25,0.0949177851476591,0.5697819423093993,0.3262690071368498,0.003453563896990821,0.047619047619047616,0.047619047619047616
15m,baseline,is,ETH,20,8,4652.670226406597,0.13023605214207554,35724.90220550422,11385,27463.003312337423,0.13051120566178515,210426.40111307192,12114.6,67.17185401719976,0.5242662903021108,136.63746709780867,144.14952513795112,0.047619047619047616,0.047619047619047616
15m,baseline,oos_warm,ETH,20,8,17.016806651097536,0.14705594330192095,115.71655159941604,5106,67.2655463438047,0.19926134953967792,337.5744794421883,5608.7,-0.011154716239048495,0.5663000117514194,0.17313860289304597,-0.23579441698623177,0.047619047619047616,0.047619047619047616
15m,baseline,is,DOGE,20,8,3688.659283887034,0.11502141078934792,32069.327428460292,11116,16520.246301729643,0.1826907761125124,90427.3694231582,11829.5,31.081450235226534,0.5677008971712615,59.85939472167003,51.1483530708591,0.047619047619047616,0.047619047619047616
15m,baseline,oos_warm,DOGE,20,8,13.171867213117745,0.12070356562817507,109.12575071471724,4887,33.77338838796758,0.15807497026215855,213.65424476725374,5336.25,-0.15795143721028776,0.5868465481699732,-0.2058540563611191,-0.45220242217281553,0.047619047619047616,0.047619047619047616
15m,baseline,is,LINK,20,8,5109.801788614369,0.10665839756454891,47908.10574030941,10968,32599.78674804045,0.1479410916182787,220356.53780462316,11660.9,63.14448983941922,0.5513668624498202,127.79360095244317,111.26594698571326,0.047619047619047616,0.047619047619047616
15m,baseline,oos_warm,LINK,20,8,16.440539506024717,0.12633316829333036,130.13636662583946,4923,52.423342716632746,0.19060380098687243,275.0382859376625,5387.35,0.23242448688570275,0.5409187021719273,0.7156201641612162,0.32123390235006855,0.047619047619047616,0.047619047619047616
15m,baseline,is,ETH+DOGE+LINK,20,6,1260.1803099668346,0.12753513724892035,9881.044056958528,8215,6170.69222443641,0.17144634832207362,35991.97232736824,9165.3,14.663403501150515,0.5134416307601145,31.133302845539315,31.04549565070389,0.047619047619047616,0.047619047619047616
15m,baseline,oos_warm,ETH+DOGE+LINK,20,6,4.226988032833683,0.12666946704651247,33.37022039637659,3336,6.186223456288072,0.18804738327170428,32.89715256154229,3689.9,-0.1873219595144173,0.5081077139276652,-0.29822209285573614,-0.379993842709759,0.047619047619047616,0.047619047619047616
15m,pen_5bp,is,,20,9,3123.6330965771467,0.1341709079522353,23281.00140523128,11238,10448.741565293249,0.18389211356895044,56819.95471423786,11705.4,12.132752813478277,0.6973831347470776,18.733357804952668,18.81576221755347,0.047619047619047616,0.047619047619047616
15m,pen_5bp,oos_warm,,20,9,8.690770032406132,0.16819016052851085,51.67228573358137,4997,16.861910792046718,0.2650548875876152,63.616675570537936,5362.45,-0.6927566642745584,0.7693533428405323,-0.8914509148721382,-0.930901537577277,0.047619047619047616,0.047619047619047616
15m,pen_5bp,is,ETH,20,8,2026.003909314402,0.13015415464377617,15566.186994640693,10114,7170.044886897603,0.17276719445337624,41501.19419131127,10869.3,7.582137977640035,0.675472561188636,12.383637695852286,10.405781393102526,0.047619047619047616,0.047619047619047616
15m,pen_5bp,oos_warm,ETH,20,8,5.127105243840994,0.18165990381529376,28.223648345944728,4398,8.82300703680051,0.2810107655428374,31.397398671744224,4824.45,-0.7473055815694465,0.7890684449432072,-0.9444925544570056,-0.9532520357633099,0.047619047619047616,0.047619047619047616
15m,pen_5bp,is,DOGE,20,8,1681.1543577198188,0.13967724240286528,12035.99332861208,9904,3816.5376480992695,0.21755483492362973,17542.876716295566,10625.55,3.2515323180402986,0.7262843803757153,4.994081411092261,3.993407698786278,0.047619047619047616,0.047619047619047616
15m,pen_5bp,oos_warm,DOGE,20,8,4.331190569752284,0.13367205806094745,32.40161506137272,4222,6.008772099277009,0.20448541664678793,29.384844150798738,4600.9,-0.753592558176742,0.7888676835569342,-0.9520625344639944,-0.9666119886741514,0.047619047619047616,0.047619047619047616
15m,pen_5bp,is,LINK,20,8,2187.9572767912036,0.14378472536332146,15216.896448927928,9757,8327.092347020834,0.1917778970793191,43420.50087021634,10449.85,7.897482700507416,0.6908576364231013,12.623141282483985,13.079356550691521,0.047619047619047616,0.047619047619047616
15m,pen_5bp,oos_warm,LINK,20,8,5.889743138873871,0.14601010637700942,40.33791416921577,4250,9.341787063867292,0.2626645039143051,35.56547201716708,4631.45,-0.6511913504290152,0.723594466611001,-0.8931048526934253,-0.9422173956304142,0.047619047619047616,0.047619047619047616
15m,pen_5bp,is,ETH+DOGE+LINK,20,6,492.7959554013007,0.18125639604974958,2718.7782949521,7299,1881.619704719292,0.1822379377475871,10325.071321458177,8114.5,1.6411472289416817,0.6768222949512752,2.8169852103511994,1.8397327787140878,0.047619047619047616,0.047619047619047616
15m,pen_5bp,oos_warm,ETH+DOGE+LINK,20,6,1.383661644906634,0.13869978988144022,9.975946222336601,2876,1.2154606741525105,0.2374531064491912,5.118739831742683,3146.25,-0.6999396761868966,0.7214939745780543,-0.9686090309411984,-0.9768783278544577,0.047619047619047616,0.047619047619047616
