arm,segment,zone_id,group,num_trades,num_classified,share_of_classified,stop_rate,mean_net_r,sum_net_r,share_of_net_total,same_minute_share,median_gap_minutes,invalidation_bar_share,duplicate_share,reentry_share
no_same_step_reopen,oos_warm,proxy,prev_stop_same_zone,23,13136,0.1750913520097442,52.17391304347826,0.07948864569705313,1.828238851032222,-0.14737091723076198,0.0,546.0,8.695652173913043,0.0,0.0
no_same_step_reopen,oos_warm,proxy,prev_stop_other_zone,7728,13136,58.830694275274055,58.99327122153209,-0.08864462212419351,-685.045639775768,55.220248832196916,0.0,1118.5,21.829710144927535,0.0,2.1350931677018634
no_same_step_reopen,oos_warm,proxy,prev_tp_same_zone,2532,13136,19.275274056029232,60.74249605055292,-0.15509699706047442,-392.70559655712105,31.65526426352948,0.0,190.0,24.328593996840443,0.0,26.895734597156398
no_same_step_reopen,oos_warm,proxy,prev_tp_other_zone,2853,13136,21.718940316686965,57.37819838766211,-0.057873105394434146,-165.11196969032045,13.309367321070809,0.0,1681.0,16.40378548895899,0.0,0.49071153172099546
no_same_step_reopen,oos,real,prev_stop_same_zone,16,12902,0.12401178111920631,43.75,0.2770387053908355,4.432619286253368,-0.3573878038500734,0.0,310.5,0.0,0.0,0.0
no_same_step_reopen,oos,real,prev_stop_other_zone,7599,12902,58.89784529530305,59.03408343203053,-0.08994289712726153,-683.476075270061,55.10647266332187,0.0,1138.0,21.43703118831425,0.0,2.0660613238584022
no_same_step_reopen,oos,real,prev_tp_same_zone,2486,12902,19.268330491396682,61.06194690265487,-0.16353086427144728,-406.53772857881825,32.777826521119415,0.0,192.0,24.05470635559131,0.0,26.50844730490748
no_same_step_reopen,oos,real,prev_tp_other_zone,2801,12902,21.709812432181057,57.15815780078543,-0.05344243264815888,-149.69225384749288,12.069203872715638,0.0,1642.0,16.422706176365583,0.0,0.42841842199214564
no_same_step_reopen,oos,proxy,prev_stop_same_zone,23,12902,0.1782669353588591,52.17391304347826,0.07948864569705313,1.8282388510322232,-0.1474050049617638,0.0,546.0,8.695652173913043,0.0,0.0
no_same_step_reopen,oos,proxy,prev_stop_other_zone,7592,12902,58.84359014106341,59.02265542676501,-0.08968278382966798,-680.87169483484,54.89648986443358,0.0,1138.0,21.4304531085353,0.0,2.0679662802950474
no_same_step_reopen,oos,proxy,prev_tp_same_zone,2487,12902,19.27608122771663,61.07760353839968,-0.1639124204687449,-407.65018970576887,32.8675206756033,0.0,192.0,24.045034177724165,0.0,26.497788500201047
no_same_step_reopen,oos,proxy,prev_tp_other_zone,2800,12902,21.702061695861108,57.142857142857146,-0.05306421168590801,-148.57979272054226,11.979509718231753,0.0,1642.5,16.428571428571427,0.0,0.42857142857142855
