timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,broke_rate,mean_r
15m,oos,volume_pctl,Q1,1,0.0,0.3345679012345679,584,0.5102739726027398,0.2243150684931507
15m,oos,volume_pctl,Q2,2,0.335030549898167,0.6675235646958012,583,0.5180102915951973,0.20497427101200685
15m,oos,volume_pctl,Q3,3,0.6680244399185336,1.0,583,0.49914236706689535,0.2521440823327616
15m,oos,vol_balance,Q1,1,0.011133734716268169,0.2212053386967528,584,0.4828767123287671,0.2928082191780822
15m,oos,vol_balance,Q2,2,0.22133724140501354,0.37411989487252356,583,0.5008576329331046,0.2478559176672384
15m,oos,vol_balance,Q3,3,0.37516145919246924,0.9948623184822831,583,0.5437392795883362,0.14065180102915953
15m,oos,rsi_slope_5_3,Q1,1,-22.66423307602713,-5.477243682653288,584,0.5342465753424658,0.1643835616438356
15m,oos,rsi_slope_5_3,Q2,2,-5.472145655564859,-1.516420754837256,583,0.48713550600343053,0.28216123499142365
15m,oos,rsi_slope_5_3,Q3,3,-1.5098892303931777,15.742168231249973,583,0.5060034305317325,0.23499142367066894
15m,oos,rsi_slope_10_5,Q1,1,-19.709955881878983,-5.0165856139586396,584,0.5273972602739726,0.1815068493150685
15m,oos,rsi_slope_10_5,Q2,2,-4.99855596266724,-1.1998698023394283,583,0.5265866209262435,0.1835334476843911
15m,oos,rsi_slope_10_5,Q3,3,-1.1991823303569191,10.650404068510497,583,0.4734133790737564,0.31646655231560894
15m,oos,rsi_slope_14_5,Q1,1,-15.360373715012429,-3.6887202558598773,584,0.5205479452054794,0.19863013698630136
15m,oos,rsi_slope_14_5,Q2,2,-3.6787755219616187,-0.6635592805927075,583,0.5351629502572899,0.1620926243567753
15m,oos,rsi_slope_14_5,Q3,3,-0.6623635374731123,9.796969384336222,583,0.4716981132075472,0.32075471698113206
15m,oos,zone_width_atr,Q1,1,0.2111026055465359,1.352207201336232,584,0.4315068493150685,0.4212328767123288
15m,oos,zone_width_atr,Q2,2,1.3532612617143376,2.130793201067811,583,0.5265866209262435,0.1835334476843911
15m,oos,zone_width_atr,Q3,3,2.131802975971711,12.36510379906551,583,0.5694682675814752,0.07632933104631218
