lens,seed,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_concurrent_risk_ratio,liquidations
pen_5bp_drop_50,3,BTC/USDT:USDT,15m,is,lev_3,3.0,0.19130815121755168,0.5138888888888888,0.16439814376263182,216,0.21217827997489014,0.2847222222222222,13.32130543705133,3,0.030000000000000002,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,15m,is,single,1.0,0.016590320003769192,0.4788732394366197,0.16160245472185678,213,0.22033898305084745,0.19718309859154928,2.4792843360490946,1,,
pen_5bp_drop_50,4,BTC/USDT:USDT,15m,is,lev_1,1.0,-0.009613067857888746,0.47533632286995514,0.19094186450147044,223,0.22033898305084745,0.18834080717488788,-0.15559765112279397,3,0.020087890385668335,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,15m,is,lev_2,2.0,0.005082328831700761,0.4782608695652174,0.22527402939810176,230,0.22033898305084745,0.1956521739130435,1.4288428453184518,4,0.0342737151468212,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,15m,is,lev_3,3.0,-0.016420367084406463,0.4782608695652174,0.24126310003028376,230,0.22033898305084745,0.1956521739130435,0.07209536427072247,4,0.04,0.0
baseline,0,BTC/USDT:USDT,15m,oos,single,1.0,0.04139974690400904,0.48372093023255813,0.11424428102960626,215,0.5153452685421995,0.20930232558139536,4.937619494064064,1,,
baseline,0,BTC/USDT:USDT,15m,oos,lev_1,1.0,0.056610517931913455,0.48672566371681414,0.12679821491339227,226,0.5153452685421995,0.2168141592920354,6.197353030532549,2,0.02,0.0
baseline,0,BTC/USDT:USDT,15m,oos,lev_2,2.0,0.021596065798669586,0.4870689655172414,0.16709387420880648,232,0.5153452685421995,0.21767241379310345,2.5821912728993524,3,0.02351269963474774,0.0
baseline,0,BTC/USDT:USDT,15m,oos,lev_3,3.0,0.013870274376756787,0.48497854077253216,0.17034599850527585,233,0.5153452685421995,0.21244635193133046,2.047240065069783,3,0.02774289195023613,0.0
pen_5bp,0,BTC/USDT:USDT,15m,oos,single,1.0,-0.03812247531639168,0.4504950495049505,0.13133678686956762,202,0.4475703324808184,0.12623762376237624,-3.408618874459331,1,,
pen_5bp,0,BTC/USDT:USDT,15m,oos,lev_1,1.0,-0.03539146873584305,0.45023696682464454,0.14496710502804605,211,0.4475703324808184,0.12559241706161137,-2.983306908239685,2,0.02,0.0
pen_5bp,0,BTC/USDT:USDT,15m,oos,lev_2,2.0,-0.12020088754743902,0.4537037037037037,0.1980183785887068,216,0.4475703324808184,0.13425925925925927,-8.827604042804543,2,0.02,0.0
pen_5bp,0,BTC/USDT:USDT,15m,oos,lev_3,3.0,-0.15016112441491022,0.45161290322580644,0.21026189933568668,217,0.4475703324808184,0.12903225806451613,-10.158699304440383,2,0.02,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,15m,oos,single,1.0,-0.05848586985523271,0.4336283185840708,0.09382032795895547,113,0.22634271099744246,0.084070796460177,-10.899944635420992,1,,
pen_5bp_drop_50,0,BTC/USDT:USDT,15m,oos,lev_1,1.0,-0.05612475952143214,0.4396551724137931,0.09382032795895547,116,0.22634271099744246,0.09913793103448276,-10.273482701537738,2,0.011883413918186599,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,15m,oos,lev_2,2.0,-0.1085303499864327,0.4406779661016949,0.13322517082213034,118,0.22634271099744246,0.1016949152542373,-15.196867149916393,2,0.02,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,15m,oos,lev_3,3.0,-0.12332150455587944,0.4406779661016949,0.14729259419862106,118,0.22634271099744246,0.1016949152542373,-15.648929929137287,2,0.02,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,15m,oos,single,1.0,-0.01495413102853272,0.44339622641509435,0.06879350812464707,106,0.21994884910485935,0.10849056603773585,-2.150857694145118,1,,
pen_5bp_drop_50,1,BTC/USDT:USDT,15m,oos,lev_1,1.0,-0.021033143069075957,0.44954128440366975,0.07454026130097696,109,0.21994884910485935,0.12385321100917432,-3.306863413574685,2,0.017649906942798485,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,15m,oos,lev_2,2.0,-0.0653367926740344,0.44954128440366975,0.10887711744893812,109,0.21994884910485935,0.12385321100917432,-8.992181241258145,2,0.02,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,15m,oos,lev_3,3.0,-0.08362046978676008,0.44545454545454544,0.12806142383029678,110,0.21994884910485935,0.11363636363636363,-10.78160515683767,2,0.02,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,15m,oos,single,1.0,-0.10984562690516977,0.36538461538461536,0.13553182110932863,104,0.23145780051150894,-0.08653846153846154,-22.64276838248975,1,,
pen_5bp_drop_50,2,BTC/USDT:USDT,15m,oos,lev_1,1.0,-0.11545774101828284,0.3644859813084112,0.14122040138581105,107,0.23145780051150894,-0.08878504672897196,-23.487859020603427,2,0.01764990694279848,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,15m,oos,lev_2,2.0,-0.22217627554488426,0.37168141592920356,0.2524210124781118,113,0.23145780051150894,-0.07079646017699115,-35.971027493114526,2,0.02,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,15m,oos,lev_3,3.0,-0.2605740418188248,0.3684210526315789,0.29082122043074193,114,0.23145780051150894,-0.07894736842105263,-39.73871296694178,2,0.02,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,15m,oos,single,1.0,-0.0624484349026292,0.4368932038834951,0.13812842459570465,103,0.23145780051150894,0.09223300970873786,-12.778668649265574,1,,
pen_5bp_drop_50,3,BTC/USDT:USDT,15m,oos,lev_1,1.0,-0.06053140765587595,0.4380952380952381,0.13812842459570465,105,0.23145780051150894,0.09523809523809523,-12.22509252944579,2,0.011490816929091183,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,15m,oos,lev_2,2.0,-0.10869277466167314,0.4351851851851852,0.18330734805909288,108,0.23145780051150894,0.08796296296296297,-16.762697515001673,2,0.02,0.0
