barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
atr,ETH/USDT:USDT,1h,oos,matched_random,11,81.0,66.0,0.1134035468783407,0.053180197943553,0.5
atr,ETH/USDT:USDT,1h,oos,matched_random,12,81.0,65.0,0.0060579353406274,0.1156330047307547,0.4461538461538462
atr,ETH/USDT:USDT,1h,oos,matched_random,13,81.0,65.0,0.0338974065232145,0.1626572329043887,0.4461538461538462
atr,ETH/USDT:USDT,1h,oos,matched_random,14,81.0,70.0,0.0015422427085657,0.0747423051766908,0.4428571428571428
atr,ETH/USDT:USDT,1h,oos,matched_random,15,81.0,63.0,-0.1249207411805893,0.1544158579653463,0.3492063492063492
atr,ETH/USDT:USDT,1h,oos,matched_random,16,81.0,65.0,0.0340657561861173,0.0883271819179376,0.4615384615384615
atr,ETH/USDT:USDT,1h,oos,matched_random,17,81.0,68.0,-0.02080911934674,0.0608901042775416,0.4264705882352941
atr,ETH/USDT:USDT,1h,oos,matched_random,18,81.0,66.0,0.0690667064100909,0.0491710694368794,0.4848484848484848
atr,ETH/USDT:USDT,1h,oos,matched_random,19,81.0,68.0,0.0357762209694607,0.0907962447140541,0.4558823529411764
atr,ETH/USDT:USDT,1h,oos,matched_random,-1,81.0,65.65,0.0418334248714422,0.0856007986649747,0.4602483595013836
zone,SOL/USDT:USDT,1h,is,default,-1,348.0,188.0,0.2372911144414807,0.0871176583606804,0.4840425531914893
zone,SOL/USDT:USDT,1h,is,filter_bot3,-1,116.0,88.0,0.1481452893112755,0.0801523778942626,0.5113636363636364
zone,SOL/USDT:USDT,1h,is,matched_random,0,116.0,88.0,0.1492241164386008,0.081157793331109,0.5113636363636364
zone,SOL/USDT:USDT,1h,is,matched_random,1,116.0,84.0,0.0742986282845362,0.1168948823961711,0.4761904761904761
zone,SOL/USDT:USDT,1h,is,matched_random,2,116.0,85.0,0.157846836451379,0.0520979877153889,0.5176470588235295
zone,SOL/USDT:USDT,1h,is,matched_random,3,116.0,92.0,0.0807640281576321,0.1210385577849721,0.4782608695652174
zone,SOL/USDT:USDT,1h,is,matched_random,4,116.0,93.0,0.056285577039243,0.0701508561640625,0.4623655913978494
zone,SOL/USDT:USDT,1h,is,matched_random,5,116.0,90.0,0.1540068281869224,0.0860277637362645,0.5111111111111111
zone,SOL/USDT:USDT,1h,is,matched_random,6,116.0,91.0,0.2806922199506063,0.084190920031272,0.5494505494505495
zone,SOL/USDT:USDT,1h,is,matched_random,7,116.0,88.0,0.0788041523505671,0.0909737844717944,0.4772727272727273
zone,SOL/USDT:USDT,1h,is,matched_random,8,116.0,95.0,0.1598484648597099,0.1180213205126432,0.5052631578947369
zone,SOL/USDT:USDT,1h,is,matched_random,9,116.0,85.0,0.0396384096936579,0.1231177184688689,0.4705882352941176
zone,SOL/USDT:USDT,1h,is,matched_random,10,116.0,88.0,0.0394669326545397,0.144580285834266,0.4431818181818182
zone,SOL/USDT:USDT,1h,is,matched_random,11,116.0,97.0,0.032614812545537,0.1002497745068967,0.4536082474226804
zone,SOL/USDT:USDT,1h,is,matched_random,12,116.0,89.0,0.2271868340242246,0.070475073857855,0.5280898876404494
zone,SOL/USDT:USDT,1h,is,matched_random,13,116.0,92.0,0.1154106927969556,0.1077802336634846,0.4782608695652174
zone,SOL/USDT:USDT,1h,is,matched_random,14,116.0,87.0,0.1349865507915212,0.084508466508728,0.4942528735632184
zone,SOL/USDT:USDT,1h,is,matched_random,15,116.0,88.0,0.1678669755185656,0.0590667013655073,0.5113636363636364
zone,SOL/USDT:USDT,1h,is,matched_random,16,116.0,88.0,0.1605198040016997,0.0657607893185525,0.5
zone,SOL/USDT:USDT,1h,is,matched_random,17,116.0,86.0,0.1073625253373478,0.0968086109993352,0.4883720930232558
zone,SOL/USDT:USDT,1h,is,matched_random,18,116.0,92.0,0.0764392792250011,0.0960762216069442,0.4782608695652174
zone,SOL/USDT:USDT,1h,is,matched_random,19,116.0,92.0,0.0878237656816927,0.0628664831830661,0.4673913043478261
zone,SOL/USDT:USDT,1h,is,matched_random,-1,116.0,89.5,0.119054371699497,0.0915922112728591,0.4901147506518635
atr,SOL/USDT:USDT,1h,is,default,-1,348.0,207.0,0.0673569645446063,0.1438934826739414,0.4396135265700483
atr,SOL/USDT:USDT,1h,is,filter_bot3,-1,116.0,85.0,0.1002870561083245,0.1438408332722963,0.4705882352941176
atr,SOL/USDT:USDT,1h,is,matched_random,0,116.0,93.0,0.0575861844622593,0.080059919347358,0.4516129032258064
atr,SOL/USDT:USDT,1h,is,matched_random,1,116.0,94.0,0.0455242410533001,0.1070152906441489,0.4468085106382978
atr,SOL/USDT:USDT,1h,is,matched_random,2,116.0,96.0,0.0511701784704453,0.0711249257576326,0.4479166666666667
atr,SOL/USDT:USDT,1h,is,matched_random,3,116.0,96.0,0.0270264870567096,0.1206748446934299,0.4375
atr,SOL/USDT:USDT,1h,is,matched_random,4,116.0,97.0,-0.0093228255790032,0.0972631057030375,0.422680412371134
atr,SOL/USDT:USDT,1h,is,matched_random,5,116.0,99.0,0.1250172605504594,0.0778972569990402,0.4747474747474747
atr,SOL/USDT:USDT,1h,is,matched_random,6,116.0,100.0,0.0080700502557676,0.1003091254502686,0.43
atr,SOL/USDT:USDT,1h,is,matched_random,7,116.0,95.0,0.0088304634517116,0.1054972661083708,0.431578947368421
atr,SOL/USDT:USDT,1h,is,matched_random,8,116.0,98.0,0.0845278462363494,0.1578527641937208,0.4591836734693877
atr,SOL/USDT:USDT,1h,is,matched_random,9,116.0,91.0,0.0270470285386943,0.1006489744454548,0.4395604395604395
atr,SOL/USDT:USDT,1h,is,matched_random,10,116.0,96.0,0.0267448743740595,0.142010592242102,0.4375
atr,SOL/USDT:USDT,1h,is,matched_random,11,116.0,100.0,0.0578902155731149,0.1589894550267581,0.45
atr,SOL/USDT:USDT,1h,is,matched_random,12,116.0,92.0,-0.0760679533938184,0.1431622018456337,0.391304347826087
