symbol,timeframe,segment,lens,unit,buffer,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data,would_be_stopped,rescued_tp,deeper_sl,unclosed_eod,rescue_net_r
ETH/USDT:USDT,4h,oos_warm,pen_5bp,atr,0.1,46,30,26,0.6521739130434783,0.1166619892065227,0.0214620513171696,0.6538461538461539,17.86313516344752,0.5064140583665578,17,9,0,11,0,11,0,-1.297971616458406
ETH/USDT:USDT,4h,oos_warm,pen_5bp,atr,0.25,46,30,26,0.6521739130434783,0.0868516293588445,0.021200166622902,0.6538461538461539,14.626956193822249,0.3803423932216079,17,9,0,11,0,11,0,-3.244929041146041
ETH/USDT:USDT,4h,oos_warm,pen_5bp,atr,0.5,46,30,26,0.6521739130434783,0.0722880973710815,0.0219163342492197,0.6923076923076923,13.976132374220937,0.3129697489444127,18,8,0,11,1,10,0,-3.1086642165010145
ETH/USDT:USDT,4h,oos,baseline,atr,0.0,40,28,22,0.7,0.0934849063160525,0.0215191183469708,0.5909090909090909,15.338473444274523,0.4772727272727269,13,9,0,0,0,0,0,0.0
ETH/USDT:USDT,4h,oos,baseline,atr,0.1,40,28,23,0.7,0.0760652881641864,0.0214579600672474,0.6086956521739131,13.12681826641511,0.4049117149790923,14,9,0,12,0,12,0,-1.4346393435114186
ETH/USDT:USDT,4h,oos,baseline,atr,0.25,40,28,23,0.7,0.0536470058921473,0.0211970258914535,0.6086956521739131,10.152472208357796,0.2898421233556225,14,9,0,12,0,12,0,-3.5865983587785784
ETH/USDT:USDT,4h,oos,baseline,atr,0.5,40,28,23,0.7,0.0460234696781797,0.0219163342492196,0.6521739130434783,9.903511730537552,0.2420232052762033,15,8,0,12,1,11,0,-3.792002851766082
ETH/USDT:USDT,4h,oos,pen_5bp,atr,0.0,40,27,22,0.675,0.0934840443460354,0.0215241034881544,0.5909090909090909,15.337813552237206,0.477272727272727,13,9,0,0,0,0,0,0.0
ETH/USDT:USDT,4h,oos,pen_5bp,atr,0.1,40,27,23,0.675,0.0760771146536646,0.0214620513171695,0.6086956521739131,13.127850013559936,0.4049627227312879,14,9,0,11,0,11,0,-1.297971616458406
ETH/USDT:USDT,4h,oos,pen_5bp,atr,0.25,40,27,23,0.675,0.0536706410867322,0.0212001666229022,0.6086956521739131,10.155638158197624,0.2899425528687424,14,9,0,11,0,11,0,-3.244929041146041
ETH/USDT:USDT,4h,oos,pen_5bp,atr,0.5,40,27,23,0.675,0.0460571534539029,0.0219163342492196,0.6521739130434783,9.908992398893709,0.2421656217489712,15,8,0,11,1,10,0,-3.1086642165010145
SOL/USDT:USDT,4h,full,baseline,atr,0.0,126,88,76,0.6984126984126984,0.3364607263108504,0.0412724490098484,0.5789473684210527,14.83467162665423,0.4473684210526316,44,32,0,0,0,0,0,0.0
