timeframe,segment,barrier,arm,bucket,n_trades,survival_rate,win_rate,mean_net_r,cost_r_median,breakeven_win_rate,win_rate_margin,cap_hit_rate,effective_risk_mean
1h,oos,zone,matched_random,1~2%,228,0.513157894736842,0.5131578947368421,0.2002177333953987,0.0853800710407475,0.434152028416299,0.0790058663205431,0.0,0.01
1h,oos,zone,matched_random,>2%,84,0.3928571428571429,0.3928571428571428,-0.0619779129164281,0.0453205067982138,0.4181282027192855,-0.0252710598621426,0.0,0.01
1h,oos,zone_height,default,0~0.2%,4,0.75,0.75,0.2528957442964062,0.5830404970838676,0.6332161988335471,0.1167838011664529,1.0,0.0017942905825235
1h,oos,zone_height,default,0.2~0.3%,27,0.5555555555555556,0.5555555555555556,-0.0454517011397883,0.4444296909614632,0.5777718763845853,-0.0222163208290296,1.0,0.0024776935784233
1h,oos,zone_height,default,0.3~0.5%,81,0.5679012345679013,0.5679012345679012,0.144803441821435,0.2773544151696142,0.5109417660678457,0.0569594685000555,1.0,0.0040009563529919
1h,oos,zone_height,default,0.5~1%,172,0.5348837209302326,0.5348837209302325,0.1862197194850998,0.1488453929581012,0.4595381571832405,0.0753455637469919,1.0,0.0074432802927921
1h,oos,zone_height,default,1~2%,214,0.4485981308411215,0.4485981308411215,0.0392031157683179,0.0825003839708715,0.4330001535883486,0.0155979772527728,0.0,0.01
1h,oos,zone_height,default,>2%,108,0.4259259259259259,0.4259259259259259,0.0213803020607095,0.0448259144101584,0.4179303657640633,0.0079955601618625,0.0,0.01
1h,oos,zone_height,filter_bot3,0~0.2%,4,0.75,0.75,0.2528957442964061,0.5830404970838677,0.6332161988335472,0.1167838011664528,1.0,0.0017942905825235
1h,oos,zone_height,filter_bot3,0.2~0.3%,30,0.6,0.6,0.0618721780855457,0.4452497149255594,0.5780998859702238,0.0219001140297762,1.0,0.0024644207052111
1h,oos,zone_height,filter_bot3,0.3~0.5%,71,0.5633802816901409,0.5633802816901409,0.1297979293398046,0.279648538761961,0.5118594155047844,0.0515208661853564,1.0,0.0039641724330572
1h,oos,zone_height,filter_bot3,0.5~1%,126,0.5396825396825398,0.5396825396825397,0.1936237225096957,0.1548544369376314,0.4619417747750526,0.077740764907487,1.0,0.0073181823384552
1h,oos,zone_height,filter_bot3,1~2%,79,0.5822784810126582,0.5822784810126582,0.3691541150275957,0.0877102834170419,0.4350841133668168,0.1471943676458414,0.0,0.01
1h,oos,zone_height,filter_bot3,>2%,6,0.8333333333333334,0.8333333333333334,1.0341462777955743,0.0478750534647856,0.4191500213859142,0.4141833119474191,0.0,0.01
1h,oos,zone_height,matched_random,0~0.2%,15,0.9333333333333332,0.9333333333333332,0.6135900534493016,0.7552483795859397,0.7020993518343759,0.2312339814989574,1.0,0.0015482764176787
1h,oos,zone_height,matched_random,0.2~0.3%,49,0.5510204081632653,0.5510204081632653,-0.0616540736981223,0.4444296909614632,0.5777718763845853,-0.02675146822132,1.0,0.0024752953876549
1h,oos,zone_height,matched_random,0.3~0.5%,136,0.75,0.75,0.5986958693528757,0.2797644989556979,0.5119057995822792,0.2380942004177207,1.0,0.0040188654720515
1h,oos,zone_height,matched_random,0.5~1%,250,0.6759999999999999,0.676,0.5346548714626865,0.1554003213547828,0.4621601285419132,0.2138398714580868,1.0,0.0072965486217477
1h,oos,zone_height,matched_random,1~2%,240,0.5083333333333333,0.5083333333333333,0.1879292591867966,0.0843897135206154,0.4337558854082462,0.074577447925087,0.0,0.01
1h,oos,zone_height,matched_random,>2%,108,0.4259259259259259,0.4259259259259259,0.0213803020607094,0.0448259144101584,0.4179303657640633,0.0079955601618625,0.0,0.01
15m,is,atr,default,0~0.2%,231,0.35064935064935066,0.33766233766233766,-0.8604435020313237,0.6621969964271534,0.6648787985708614,-0.32721646090852374,1.0,0.0015951146106711507
15m,is,atr,default,0.2~0.3%,597,0.41876046901172526,0.4187604690117253,-0.3947770588580365,0.435254220252034,0.5741016881008136,-0.15534121908908832,1.0,0.002531188419992308
15m,is,atr,default,0.3~0.5%,1421,0.4440534834623504,0.44405348346235046,-0.17078105024061524,0.27704211038699744,0.510816844154799,-0.06676336069244854,1.0,0.004014424691345872
15m,is,atr,default,0.5~1%,2123,0.4479510127178521,0.4479510127178521,-0.044783782796407136,0.16342963144134862,0.46537185257653946,-0.017420839858687365,1.0,0.0070350696215651706
15m,is,atr,default,1~2%,710,0.47042253521126765,0.4704225352112676,0.08742458053496444,0.08939963295592997,0.435759853182372,0.03466268202889561,0.0,0.01
15m,is,atr,default,>2%,83,0.6024096385542168,0.6024096385542169,0.45864277834546574,0.047392166173071265,0.4189568664692285,0.18345277208498845,0.0,0.01
15m,is,atr,filter_bot3,0~0.2%,57,0.368421052631579,0.3508771929824561,-0.8358683943334484,0.6621969964271535,0.6648787985708614,-0.3140016055884053,1.0,0.0015896519764529453
15m,is,atr,filter_bot3,0.2~0.3%,175,0.43999999999999995,0.44,-0.339142542570713,0.4284277327753259,0.5713710931101303,-0.13137109311013034,1.0,0.002541866424825003
15m,is,atr,filter_bot3,0.3~0.5%,492,0.5081300813008129,0.508130081300813,-0.009360918990687835,0.27522768956903443,0.5100910758276138,-0.0019609945268007634,1.0,0.004027544491231761
15m,is,atr,filter_bot3,0.5~1%,865,0.47398843930635837,0.47398843930635837,0.021747905748114228,0.15975362518239644,0.4639014500729585,0.010086989233399846,1.0,0.0071179480063180275
15m,is,atr,filter_bot3,1~2%,388,0.49742268041237114,0.49742268041237114,0.15564413904014485,0.08768674786698746,0.435074699146795,0.06234798126557617,0.0,0.01
15m,is,atr,filter_bot3,>2%,49,0.6122448979591837,0.6122448979591837,0.48526979719526275,0.04661103751337003,0.418644415005348,0.1936004829538357,0.0,0.01
15m,is,atr,matched_random,0~0.2%,374,0.34491978609625673,0.3235294117647059,-0.9395734415652574,0.7161147024273244,0.6864458809709297,-0.36291646920622384,1.0,0.001500643039297
15m,is,atr,matched_random,0.2~0.3%,780,0.46794871794871795,0.46794871794871795,-0.27340418327174043,0.43776686938127457,0.5751067477525098,-0.10715802980379185,1.0,0.0025223858570015602
