arm,lens,symbol,timeframe,window_start,window_end,window_days,adopted_entries,tp_entries,depth,is_n,is_wins,is_stops,is_gross_r_sum,is_net_pp_sum,oos_n,oos_wins,oos_stops,oos_gross_r_sum,oos_net_pp_sum,funding_coverage
zone,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,2,20,7,13,-2.4999999999999964,-0.47236656426213797,15,8,7,4.999999999999981,1.659088173116195,0.8647003745318352
zone,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,3,3,2,1,2.0,1.0905576015692504,5,2,3,-1.2434497875801753e-14,0.05022320818551318,0.8647003745318352
zone,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,4,2,2,0,3.0,4.530722220984599,2,0,2,-2.0,-3.1761554716138205,0.8647003745318352
zone,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,5,1,0,1,-1.0,-1.6767278851921807,0,0,0,0.0,0.0,0.8647003745318352
band,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,1,53,33,20,29.49999999999999,28.29564901860515,32,21,11,20.499999999999986,25.577196970723797,0.8647003745318352
band,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,2,17,8,9,3.0000000000000693,-3.888424707803739,12,5,7,0.4999999999999911,-2.264468323055368,0.8647003745318352
band,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,3,3,3,0,4.500000000000032,4.067829775745691,3,2,1,1.9999999999999876,2.4912430107575734,0.8647003745318352
band,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,4,2,2,0,3.000000000000014,1.5921836287416362,2,0,2,-2.0,-3.1761554716138205,0.8647003745318352
band,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,5,1,1,0,1.5000000000000178,0.7761086449395529,0,0,0,0.0,0.0,0.8647003745318352
band,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,6,1,1,0,1.5000000000000144,0.9889617376098093,0,0,0,0.0,0.0,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,1,46,24,22,13.999999999999998,6.8858955446520715,34,18,16,10.999999999999968,9.96588632228365,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,2,14,5,9,-1.5,-4.28282449861903,10,6,4,4.999999999999981,2.598984169606589,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,3,2,2,0,3.0,3.3898050344476216,4,2,2,0.9999999999999876,1.7757824503843047,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,4,2,1,1,0.5,-0.5120646785328298,2,0,2,-2.0,-3.1761554716138205,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,1,52,26,26,13.000000000000007,4.109960802218217,38,21,17,14.499999999999982,12.534350984797118,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,2,15,5,10,-2.4999999999999916,-3.4067128809610887,13,7,6,4.499999999999981,2.6173501205458782,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,3,2,2,0,3.0,4.5279012209845995,5,2,3,-1.2434497875801753e-14,0.05022320818551318,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,4,2,1,1,0.5,0.628852508004148,2,0,2,-2.0,-3.1761554716138205,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,1,40,25,15,22.500000000000018,23.525114314063106,28,17,11,14.499999999999968,17.553540828589462,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,2,14,6,8,1.0000000000000315,-5.621880293871461,9,4,5,0.9999999999999911,0.07789642698477217,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,236,142,3,3,3,0,4.500000000000032,2.4245302461382465,3,2,1,1.9999999999999876,2.4953030107575733,0.8647003745318352
