symbol,timeframe,segment,lens,tp_rule,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
BNB/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,71,46,40,0.647887323943662,0.1949773102857316,0.0363784624916279,0.6,17.30076052566296,0.5,24,16,0
BNB/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,71,46,40,0.647887323943662,0.1955460575287032,0.0364819372868982,0.6,17.313904322601935,0.5015251780637675,24,16,0
BNB/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,36,25,21,0.6944444444444444,0.1117307168197659,0.0365578064770353,0.6190476190476191,19.689081413787644,0.547619047619047,13,8,0
BNB/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,36,25,21,0.6944444444444444,0.1095728844230099,0.0365578064770352,0.6190476190476191,19.447865658813633,0.5382267533056755,13,8,0
BNB/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,36,24,20,0.6666666666666666,0.1240072462356158,0.0259187854890299,0.65,23.27932892309182,0.6249999999999993,13,7,0
BNB/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,36,24,20,0.6666666666666666,0.1218255855030116,0.0259187854890299,0.65,23.03425908888445,0.6151380909709593,13,7,0
BNB/USDT:USDT,4h,oos,baseline,entry_r,1.5,35,24,20,0.6857142857142857,0.0957420265370777,0.0365578064770352,0.6,17.70181623562617,0.4999999999999994,12,8,0
BNB/USDT:USDT,4h,oos,baseline,zone_height,1.5,35,24,20,0.6857142857142857,0.0937397998038612,0.0365578064770351,0.6,17.458160937734647,0.4907163989407671,12,8,0
BNB/USDT:USDT,4h,oos,pen_5bp,entry_r,1.5,35,23,19,0.6571428571428571,0.1078419973460579,0.0259187854890298,0.631578947368421,21.22916991150124,0.578947368421052,12,7,0
BNB/USDT:USDT,4h,oos,pen_5bp,zone_height,1.5,35,23,19,0.6571428571428571,0.105817660586541,0.0259187854890297,0.631578947368421,20.98228764213237,0.5691751567797548,12,7,0
XRP/USDT:USDT,4h,full,baseline,entry_r,1.5,102,69,58,0.6764705882352942,0.2354777687168118,0.0419799363467984,0.5862068965517241,14.274840616961573,0.4655172413793097,34,24,0
XRP/USDT:USDT,4h,full,baseline,zone_height,1.5,102,69,58,0.6764705882352942,0.2574731521425841,0.0419799363467983,0.5344827586206896,13.45337941393657,0.4728193261938267,31,27,0
XRP/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,102,69,58,0.6764705882352942,0.2355874884623424,0.0419799363467985,0.5862068965517241,14.28276181914121,0.4655172413793097,34,24,0
XRP/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,102,69,58,0.6764705882352942,0.2575848252440828,0.0419799363467984,0.5344827586206896,13.459935472927569,0.4728193261938267,31,27,0
XRP/USDT:USDT,4h,is,baseline,entry_r,1.5,56,38,33,0.6785714285714286,0.2347375290027705,0.0206351001902518,0.696969696969697,26.37770273314912,0.7424242424242414,23,10,0
XRP/USDT:USDT,4h,is,baseline,zone_height,1.5,56,38,33,0.6785714285714286,0.2640210392939834,0.0253620705995866,0.6363636363636364,23.621975858746406,0.8050383420514449,21,12,0
XRP/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,56,38,33,0.6785714285714286,0.2347234564779059,0.0206351001902518,0.696969696969697,26.375123262787785,0.7424242424242414,23,10,0
