scope,hold,floor,threshold,segment,num_trades,mean_net_r,se_net_r,fixed_return,fixed_mdd,compound_return,compound_mdd,compound_ruined
1d,4,0.04,15.0,full,43,-0.10313651860950297,0.20293926671844978,-0.04434870300208593,0.16034326170615487,-0.04691280191658298,0.151783421229312,False
1d,4,0.04,15.0,is,29,-0.32373472927292063,0.18871996051005527,-0.09388307148914654,0.1226494218756039,-0.09106145003749833,0.11803002633969228,False
1d,4,0.04,15.0,oos_warm,14,0.35381691776471946,0.4753531573628351,0.04953436848706061,0.05065974639371773,0.048571653301245465,0.04964353288507273,False
1w,4,0.04,15.0,full,5,-0.2715744575457885,0.40153984466392495,-0.01357872287728934,0.022061227655964855,-0.01366431720900474,0.021920898196653216,False
1w,4,0.04,15.0,is,4,-0.2942082839460799,0.48041723109238854,-0.011768331357843165,0.022061227655964855,-0.011853631430431388,0.021920898196653216,False
1w,4,0.04,15.0,oos_warm,1,-0.3431030269405106,,-0.0034310302694050554,0.0034310302694050554,-0.0034310302694050554,0.0034310302694050554,False
__all__,8,0.04,15.0,full,941,0.16004661499020026,0.04993746482355305,1.5060386470577884,0.29008429512221123,3.048844752976505,0.4316646150200778,False
__all__,8,0.04,15.0,is,694,0.1502327064616287,0.05896309076955754,1.0426149828437081,0.29008429512221123,1.6160136875517739,0.4316646150200778,False
__all__,8,0.04,15.0,oos_warm,247,0.18271837299327387,0.09309914933298338,0.4513143812933862,0.3121427175256427,0.5296219297540925,0.30950955614592246,False
__no15m__,8,0.04,15.0,full,861,0.15806525230330484,0.05378378814138769,1.3609418223314576,0.3192718679768394,2.513579112383813,0.4409501536822198,False
__no15m__,8,0.04,15.0,is,627,0.14473004127235908,0.06430928177802436,0.9074573587776962,0.3192718679768394,1.2911240469890535,0.4409501536822198,False
__no15m__,8,0.04,15.0,oos_warm,234,0.18862187206541403,0.09685030008267202,0.4413751806330686,0.31262096280281115,0.5156332409278024,0.30950955614592235,False
15m,8,0.04,15.0,full,80,0.18137103090791112,0.10051814536383304,0.14509682472632934,0.039346427389198135,0.15234199187550002,0.04242142947237848,False
15m,8,0.04,15.0,is,67,0.20172779711344976,0.10484026650838525,0.13515762406601173,0.039346427389198135,0.14180360115799417,0.04242142947237848,False
15m,8,0.04,15.0,oos_warm,13,0.07645538969475049,0.3109274993168386,0.009939200660317615,0.0377121100130029,0.009229600175387542,0.038121208803067685,False
1h,8,0.04,15.0,full,118,0.08180369648000517,0.1121270048831635,0.09652836184640612,0.17580526131360574,0.09188951790724253,0.1781499817656459,False
1h,8,0.04,15.0,is,81,0.0662734823715777,0.1442453418675698,0.05368152072097798,0.17580526131360574,0.04813380902444786,0.1781499817656459,False
1h,8,0.04,15.0,oos_warm,37,0.115802273311968,0.17042081245062465,0.04284684112542858,0.05188212451521834,0.041746300430401284,0.051199960246359644,False
2h,8,0.04,15.0,full,121,0.4813714801835157,0.15936717152396576,0.5824594910220531,0.06791730034038213,0.7563002544276778,0.09859141828928919,False
2h,8,0.04,15.0,is,83,0.5551467661917397,0.1988743347627368,0.4607718159391434,0.045439142454086645,0.562865670229284,0.05946175342119919,False
2h,8,0.04,15.0,oos_warm,38,0.32023072390239476,0.26421850571191646,0.12168767508290967,0.09746029526155064,0.12376916831887064,0.0985914182892893,False
3h,8,0.04,15.0,full,138,0.23611805670532265,0.12054123420444482,0.3258429182533442,0.1081334763821935,0.3661491095084821,0.13382592502777801,False
3h,8,0.04,15.0,is,95,0.287989271283541,0.13889105978411373,0.2735898077193639,0.055501129235428714,0.30311729332530146,0.061724111808958204,False
3h,8,0.04,15.0,oos_warm,43,0.12151886170693312,0.23721020822015906,0.05225311053398052,0.1363560638970328,0.04837002509753785,0.13382592502777801,False
4h,8,0.04,15.0,full,143,-0.01842042140969779,0.10464536447276088,-0.02634120261586792,0.14844424621659413,-0.03665242050811468,0.143762368013569,False
4h,8,0.04,15.0,is,102,-0.07403906064613698,0.11155618170599327,-0.07551984185905969,0.13952879439798238,-0.07864713064860696,0.13159440219773189,False
4h,8,0.04,15.0,oos_warm,41,0.11994790059315097,0.23820632737784186,0.04917863924319188,0.07292440435753444,0.045579399096087325,0.07067350580977882,False
6h,8,0.04,15.0,full,120,0.07562924116835393,0.12965988765483913,0.09075508940202548,0.1554989971481866,0.08212674449722912,0.1664596042151445,False
6h,8,0.04,15.0,is,100,0.022071930518906973,0.13423519858741859,0.02207193051890788,0.1554989971481866,0.013380296362467847,0.1664596042151445,False
6h,8,0.04,15.0,oos_warm,20,0.34341579441558884,0.39723012979196554,0.0686831588831176,0.03437886760042064,0.06783874561359338,0.036321273923392905,False
8h,8,0.04,15.0,full,110,0.09765184908331329,0.21835161717175813,0.1074170339916447,0.20665899350709238,0.08449742412247008,0.22664088592714582,False
8h,8,0.04,15.0,is,86,0.0793440899123325,0.270315430120707,0.06823591732460588,0.20665899350709238,0.044793100878367076,0.22664088592714582,False
8h,8,0.04,15.0,oos_warm,24,0.16325465277932763,0.2602096415101159,0.03918111666703905,0.04706462608821471,0.03800209171626734,0.048421813681734927,False
12h,8,0.04,15.0,full,63,0.43521337588943776,0.20923437441851447,0.2741844268103464,0.05508009177311579,0.30370321888523577,0.05628443999564858,False
12h,8,0.04,15.0,is,47,0.5416211151770846,0.24883251328635203,0.25456192413323,0.05508009177311579,0.28059464748441054,0.05628443999564858,False
12h,8,0.04,15.0,oos_warm,16,0.09206984726040737,0.3526831374565775,0.014731175561665477,0.030748830424287554,0.013332086801890686,0.030730699529551098,False
