scope,arm,sizing_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
15m,book,fixed_notional,5.0,is,TRX,5,1326,0.55052790346908,2.6341895014336996,0.09693435887473394,4.0,0.03004353414615783,3.3333333333333335,0.0,0.0,241.0,0.0
15m,isolated,risk_pct,1.0,is,XRP,5,1136,0.529836989129837,0.26940304055297776,0.06509642410865157,,,,,,,
15m,book,risk_pct,1.0,is,XRP,5,1001,0.5504495504495505,1.923561610580384,0.08745292924289423,2.0,0.015604342595183543,1.0000000000000002,0.0,944.0,175.0,227.0
15m,book,risk_pct,2.0,is,XRP,5,997,0.5486459378134403,7.1014038333009175,0.16816539700895705,2.0,0.03120868519036709,2.0000000000000004,0.0,940.0,173.0,228.0
15m,book,risk_pct,3.0,is,XRP,5,1004,0.548804780876494,20.285492593185534,0.2425761690498909,2.0,0.04681302778555063,3.000000000000001,0.0,947.0,173.0,220.0
15m,book,risk_pct,5.0,is,XRP,5,1001,0.5484515484515484,124.3865648879719,0.3802359178332523,2.0,0.07802171297591773,5.000000000000001,0.0,944.0,173.0,226.0
15m,book,fixed_notional,1.0,is,XRP,5,1136,0.5413732394366197,0.207101391085891,0.017822344611787597,3.0,0.006008706829231566,0.5001605690423279,0.0,0.0,205.0,0.0
15m,book,fixed_notional,2.0,is,XRP,5,1136,0.5413732394366197,0.4537228223609605,0.03536587033406486,3.0,0.012017413658463132,1.0006440771879586,0.0,0.0,205.0,0.0
15m,book,fixed_notional,3.0,is,XRP,5,1136,0.5413732394366197,0.7466847444188967,0.05263428748963391,3.0,0.0180261204876947,1.5014532488160142,0.0,0.0,205.0,0.0
15m,book,fixed_notional,5.0,is,XRP,5,1136,0.5413732394366197,1.5042005713285191,0.08636044077849017,3.0,0.03004353414615783,2.5040596346425583,0.0,0.0,205.0,0.0
15m,isolated,risk_pct,1.0,oos_warm,,6,676,0.5614596057752378,0.14033150363709007,0.043112341263012534,,,,,,,
15m,book,risk_pct,1.0,oos_warm,,6,580,0.5741379310344827,0.8183802363680163,0.08206929819103519,2.0,0.011391930759555054,1.0000000000000002,0.0,571.0,109.0,188.0
15m,book,risk_pct,2.0,oos_warm,,6,578,0.5726643598615917,2.2279644270802423,0.16061880394350442,2.0,0.022783861519110108,2.0000000000000004,0.0,569.0,106.0,192.0
15m,book,risk_pct,3.0,oos_warm,,6,582,0.5738831615120275,4.694240397652014,0.22178165079946685,2.0,0.03417579227866516,3.000000000000001,0.0,573.0,108.0,183.0
15m,book,risk_pct,5.0,oos_warm,,6,584,0.5702054794520548,14.648935911784525,0.3727675724589407,2.0,0.056959653797775275,5.000000000000001,0.0,575.0,106.0,181.0
15m,book,fixed_notional,1.0,oos_warm,,6,676,0.5784023668639053,0.13792385113143246,0.017934246815791255,4.0,0.0037406916086937217,0.6667885166774327,0.0,0.0,129.0,0.0
15m,book,fixed_notional,2.0,oos_warm,,6,676,0.5784023668639053,0.2936092080540906,0.03560433648648617,4.0,0.007481383217387443,1.3338210899753096,0.0,0.0,129.0,0.0
15m,book,fixed_notional,3.0,oos_warm,,6,676,0.5784023668639053,0.469163508322105,0.05301323467019,4.0,0.011222074826081166,2.0010982559669106,0.0,0.0,129.0,0.0
15m,book,fixed_notional,5.0,oos_warm,,6,676,0.5784023668639053,0.8894582466578973,0.08705921896219306,4.0,0.018703458043468606,3.3363885181858546,0.0,0.0,129.0,0.0
15m,isolated,risk_pct,1.0,oos_warm,BNB,5,578,0.5655882616241629,0.15719108450260916,0.04227478214814824,,,,,,,
15m,book,risk_pct,1.0,oos_warm,BNB,5,503,0.5785288270377733,0.7166412698950487,0.07839779574138973,2.0,0.011391930759555054,1.0000000000000002,0.0,495.0,93.0,143.0
15m,book,risk_pct,2.0,oos_warm,BNB,5,505,0.5801980198019802,1.8849904236231203,0.15366556621256286,2.0,0.022783861519110105,2.0000000000000004,0.0,497.0,93.0,139.0
15m,book,risk_pct,3.0,oos_warm,BNB,5,501,0.5788423153692615,3.7471849824881813,0.22554893969897813,2.0,0.03417579227866516,3.000000000000001,0.0,493.0,93.0,144.0
15m,book,risk_pct,5.0,oos_warm,BNB,5,504,0.5793650793650794,11.356722630156106,0.3584212128508506,2.0,0.05695965379777527,5.000000000000001,0.0,496.0,94.0,135.0
15m,book,fixed_notional,1.0,oos_warm,BNB,5,578,0.5847750865051903,0.12740335128139832,0.016910598995915346,3.0,0.0037406916086937213,0.5,0.0,0.0,107.0,0.0
15m,book,fixed_notional,2.0,oos_warm,BNB,5,578,0.5847750865051903,0.2699781284230103,0.03359177960833584,3.0,0.007481383217387442,1.0,0.0,0.0,107.0,0.0
15m,book,fixed_notional,3.0,oos_warm,BNB,5,578,0.5847750865051903,0.42939143218580084,0.05004579789289736,3.0,0.011222074826081166,1.5000000000000002,0.0,0.0,107.0,0.0
15m,book,fixed_notional,5.0,oos_warm,BNB,5,578,0.5847750865051903,0.8062450896461083,0.08228131815801885,3.0,0.01870345804346861,2.5,0.0,0.0,107.0,0.0
15m,isolated,risk_pct,1.0,oos_warm,BTC,5,602,0.5602380134167718,0.15947989792588962,0.04394174887021965,,,,,,,
