symbol,timeframe,segment,direction,n_obs,retrace_rate,disp_median,retrace_rate_lo_disp,retrace_rate_hi_disp,disp_retrace_delta,median_bars_to_retrace,bars_to_retrace_lo_disp,bars_to_retrace_hi_disp,bars_to_retrace_delta,n_never,never_frac_broke,never_mfe_r_median,never_mae_r_median,never_frac_reach_tp,never_gross_r_mean,never_net_r_mean
DOGE/USDT:USDT,4h,oos_warm,long,59,1.0,0.3867560890258919,1.0,1.0,0.0,15.0,16.0,15.0,-1.0,0,,,,,,
DOGE/USDT:USDT,4h,oos_warm,short,64,0.78125,0.34316515895828037,0.875,0.6875,-0.1875,15.5,9.0,17.0,8.0,14,0.0,5.087886232577736,0.22077812473626576,1.0,1.5,1.4791343068476712
LINK/USDT:USDT,4h,full,long,191,0.9685863874345549,0.4349184901588533,0.96875,0.968421052631579,-0.0003289473684210398,26.0,21.0,45.5,24.5,6,0.0,21.388916739319978,0.22164118019124168,0.6666666666666666,1.082337099250264,1.0596095695725953
LINK/USDT:USDT,4h,full,short,182,0.9120879120879121,0.37265447588662093,0.9560439560439561,0.8681318681318682,-0.08791208791208793,30.5,27.0,43.0,16.0,16,0.0,3.9444568599397134,0.30885198044601037,1.0,1.5,1.4818674425940062
LINK/USDT:USDT,4h,is,long,129,0.9767441860465116,0.3816727346317662,0.9846153846153847,0.96875,-0.01586538461538467,38.5,23.0,54.0,31.0,3,0.0,42.088235294117624,0.2024221453287196,1.0,1.5,1.4788411379693678
LINK/USDT:USDT,4h,is,short,119,0.9747899159663865,0.37406126558220987,0.9833333333333333,0.9661016949152542,-0.017231638418079065,35.5,32.5,54.5,22.0,3,0.0,3.924347727013789,0.4428974268593582,1.0,1.5,1.4883604203933187
LINK/USDT:USDT,4h,oos_warm,long,62,0.9516129032258065,0.5116540802041772,0.9354838709677419,0.967741935483871,0.032258064516129115,21.0,19.0,33.0,14.0,3,0.0,0.5905006418485256,0.24086021505376373,0.3333333333333333,0.6646741985005279,0.6403780011758224
LINK/USDT:USDT,4h,oos_warm,short,63,0.7936507936507936,0.371247686191032,0.90625,0.6774193548387096,-0.22883064516129037,23.5,17.0,32.0,15.0,13,0.0,3.9645659928656376,0.29161700437028193,1.0,1.5,1.4803690631018571
LTC/USDT:USDT,4h,full,long,183,0.9836065573770492,0.41921226509378756,0.967391304347826,1.0,0.03260869565217395,26.0,24.0,28.5,4.5,3,0.0,0.880184331797236,0.2614107883817412,0.3333333333333333,0.7256219026992988,0.692318647974028
LTC/USDT:USDT,4h,full,short,173,0.9190751445086706,0.3061338989948102,0.9425287356321839,0.8953488372093024,-0.047179898422881505,28.0,22.0,43.0,21.0,14,0.0,4.572705459646356,0.29022066991436823,0.9285714285714286,1.4837993301296053,1.465779682505744
LTC/USDT:USDT,4h,is,long,123,1.0,0.4190536855140948,1.0,1.0,0.0,32.0,35.0,28.0,-7.0,0,,,,,,
LTC/USDT:USDT,4h,is,short,115,0.9391304347826087,0.31230603742694496,0.9655172413793104,0.9122807017543859,-0.05323653962492447,31.0,25.0,45.5,20.5,7,0.0,4.399554565701559,0.3363549618320608,1.0,1.5,1.4869522931686048
LTC/USDT:USDT,4h,oos_warm,long,60,0.95,0.42790175326853386,0.9,1.0,0.09999999999999998,20.0,19.0,26.0,7.0,3,0.0,0.880184331797236,0.2614107883817412,0.3333333333333333,0.7256219026992988,0.692318647974028
LTC/USDT:USDT,4h,oos_warm,short,58,0.8793103448275862,0.28225404048936953,0.896551724137931,0.8620689655172413,-0.034482758620689724,18.0,18.5,18.0,-0.5,7,0.0,4.7458563535911535,0.26151012891344383,0.8571428571428571,1.4675986602592108,1.4446070718428832
