symbol,timeframe,side,entry_time,exit_time,window_start,window_end
BTC/USDT:USDT,1h,long,1712946900000,1712947440000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1713985320000,1714005060000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1714039800000,1714048200000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1714343520000,1714358400000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1714548960000,1714549200000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1715499120000,1715502660000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1715570340000,1715582460000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1715689800000,1715689800000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1715689800000,1715689800000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1715696280000,1715696640000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1719221580000,1719221580000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1720387380000,1720395900000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1722839040000,1722839040000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1723644660000,1723687080000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1724796840000,1724796840000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1724861940000,1724863800000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1725030120000,1725035220000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1726971000000,1726998180000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1727285220000,1727314620000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1727314620000,1727315400000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1727660820000,1727662200000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1727790060000,1727791320000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1728401640000,1728402360000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1728413280000,1728416100000,1689292800000,1784073600000
