axis,timeframe,segment,bucket,lo,hi,n,share,stop_rate,mean_net_r,net_r_se,mean_stop_width
B_접근변동성,2h,is,Q3,0.9418967628750966,1.1830033116496756,437,0.2,0.5675057208237986,0.030564635258411698,0.06048539846123257,0.028053795215424622
B_접근변동성,2h,is,Q4,1.1830033116496756,1.5724783733902148,436,0.19954233409610983,0.6009174311926605,-0.05537207117719167,0.05964839168119499,0.02477090267130484
B_접근변동성,2h,is,Q5,1.5724783733902148,6.077819012172352,438,0.20045766590389016,0.5799086757990868,0.0028258061247638305,0.06002737343109507,0.02737681576075427
B_접근변동성,2h,oos_warm,Q1,0.1996546926159299,0.7503896591637361,226,0.21544327931363202,0.584070796460177,-0.03126528185637712,0.08459799760573797,0.018121491434780413
B_접근변동성,2h,oos_warm,Q2,0.7503896591637361,0.9418967628750966,168,0.1601525262154433,0.5833333333333334,-0.024579898296826615,0.09779369501156521,0.0190437685200358
B_접근변동성,2h,oos_warm,Q3,0.9418967628750966,1.1830033116496756,204,0.19447092469018112,0.5931372549019608,-0.05664172158639319,0.08814569247681718,0.018070503879502393
B_접근변동성,2h,oos_warm,Q4,1.1830033116496756,1.5724783733902148,213,0.20305052430886558,0.568075117370892,0.015866962156080713,0.08666887783148716,0.018133786688357433
B_접근변동성,2h,oos_warm,Q5,1.5724783733902148,6.077819012172352,238,0.22688274547187798,0.5966386554621849,-0.05209140872539945,0.0811752299266851,0.020846221370588582
B_접근변동성,4h,is,Q1,0.260999598358529,0.7483286207285706,219,0.2,0.5753424657534246,0.02312039826902635,0.08460631111790527,0.03580941161956136
B_접근변동성,4h,is,Q2,0.7483286207285706,0.9339352619336141,219,0.2,0.5525114155251142,0.08334793405073303,0.08504931969797265,0.03703217171287121
B_접근변동성,4h,is,Q3,0.9339352619336141,1.154455757023486,219,0.2,0.5570776255707762,0.06835050413907816,0.0851270981949265,0.03280495024973838
B_접근변동성,4h,is,Q4,1.154455757023486,1.473935650891049,219,0.2,0.5753424657534246,0.02699609331523734,0.0845527142853478,0.037853882159676715
B_접근변동성,4h,is,Q5,1.473935650891049,5.514704028919873,219,0.2,0.5570776255707762,0.07330463618512546,0.08514083025990044,0.03856188171518479
B_접근변동성,4h,oos_warm,Q1,0.260999598358529,0.7483286207285706,115,0.21100917431192662,0.591304347826087,-0.03726649647607331,0.11770761963259539,0.02382311980825142
B_접근변동성,4h,oos_warm,Q2,0.7483286207285706,0.9339352619336141,114,0.20917431192660552,0.5526315789473685,0.062477285807760435,0.119578706745343,0.02551125164804673
