symbol,timeframe,segment,direction,entry_point,stop_variant,runway_atr,real_total_return,real_num_trades,real_mean_net_r,real_max_drawdown,real_win_rate,pool_size,fake_zones,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,retap_total_return,retap_num_trades,runway_density_corr,buy_hold
TRX/USDT:USDT,4h,is,both,B_open,ob,,-0.2363276872980483,118,-0.255495133469245,0.2763570347050211,0.3389830508474576,1430,1968,-0.1342419876192526,-0.3039921425649366,0.0514287382945965,0.875,200,,,,3.2390651085141897
TRX/USDT:USDT,4h,is,both,B_open,atr,,-0.2855032524447567,182,-0.1762260149824419,0.3061893041445823,0.3626373626373626,0,1968,,,,,0,,,,3.2390651085141897
TRX/USDT:USDT,4h,oos_warm,long,A_close,ob,,-0.0690424512115048,42,-0.172340735636306,0.1244439502072494,0.4047619047619047,326,3000,-0.0131307779682571,-0.1202596587145271,0.0962484351154147,0.88,200,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,long,A_close,atr,,0.0963862194643552,47,0.2194471553079962,0.0681072285980853,0.5531914893617021,0,3000,,,,,0,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,long,B_open,ob,,-0.0679201886494491,42,-0.1687116166465809,0.1238907891216895,0.4047619047619047,326,3000,-0.0112757566149008,-0.1258422115007599,0.1052215686317857,0.87,200,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,long,B_open,atr,,0.0976781950973054,49,0.2141480436946553,0.0678282686133239,0.5510204081632653,0,3000,,,,,0,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,short,A_close,ob,,-0.0498938391675963,36,-0.2579700004550642,0.0929443595277389,0.3611111111111111,324,3000,-0.0278182700780288,-0.1201764004161776,0.062743140646331,0.705,200,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,short,A_close,atr,,-0.1157400577145997,39,-0.3233100763098123,0.1250004605661823,0.3333333333333333,0,3000,,,,,0,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,short,B_open,ob,,-0.0733173607147309,38,-0.296660576088636,0.1084268472341169,0.3421052631578947,324,3000,-0.0328777940427226,-0.125536450797026,0.0566888215103585,0.785,200,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,short,B_open,atr,,-0.1312889875361972,43,-0.3335590077001408,0.1326027953802766,0.3255813953488372,0,3000,,,,,0,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,both,A_close,ob,,-0.1053164545115692,77,-0.1998435388411562,0.1750326364302171,0.3896103896103896,650,3000,-0.040106403345008,-0.1569711057098313,0.101152056353921,0.835,200,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,both,A_close,atr,,-0.0305095848539416,86,-0.0266869381000797,0.1213957970482905,0.4534883720930232,0,3000,,,,,0,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,both,B_open,ob,,-0.1263943330422265,79,-0.2181004419978383,0.188642765298112,0.379746835443038,650,3000,-0.0438381698694791,-0.1784247967935178,0.122836020522424,0.815,200,,,,1.5987361769352293
TRX/USDT:USDT,4h,oos_warm,both,B_open,atr,,-0.0464348637775787,92,-0.0418454694572602,0.1386792326971618,0.4456521739130434,0,3000,,,,,0,,,,1.5987361769352293
DOGE/USDT:USDT,1h,is,long,A_close,ob,,-0.4381082467531982,290,-0.2361528728953029,0.4616893325572312,0.3586206896551724,2755,7448,-0.2635867246563962,-0.4338025404224649,-0.0354562321602263,0.99,200,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,long,A_close,atr,,-0.4343550017982341,352,-0.1549995231137174,0.5165922570725524,0.375,0,7448,,,,,0,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,long,B_open,ob,,-0.4685042721763117,321,-0.2413200907241773,0.4927750351173043,0.3551401869158878,2753,7448,-0.2606979797408276,-0.4603358742763438,-0.0312728749751882,0.995,200,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,long,B_open,atr,,-0.4190326483657082,387,-0.133416181191819,0.5119355475324173,0.3824289405684754,0,7448,,,,,0,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,short,A_close,ob,,-0.4244151057169294,251,-0.2523616997296754,0.4555728877828971,0.3466135458167331,2467,7448,-0.260868331562823,-0.4310077333071124,-0.0363778106036354,0.96,200,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,short,A_close,atr,,-0.3122034065266861,338,-0.106721222304827,0.3717117809432145,0.393491124260355,0,7448,,,,,0,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,short,B_open,ob,,-0.3979114560461244,268,-0.2215462582747049,0.4320975584608592,0.3582089552238806,2470,7448,-0.2810125307181568,-0.4650937130375937,-0.0208158498408567,0.845,200,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,short,B_open,atr,,-0.3152688206711892,350,-0.104098058966437,0.3797433780838256,0.3942857142857143,0,7448,,,,,0,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,both,A_close,ob,,-0.6802306961205509,522,-0.2526364368803103,0.7004210575680249,0.3486590038314176,5222,7448,-0.4167303224374326,-0.6109356592160852,-0.2062443481061363,0.995,200,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,both,A_close,atr,,-0.5984074344952184,683,-0.1283923924371842,0.6628081449547623,0.3850658857979502,0,7448,,,,,0,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,both,B_open,ob,,-0.677217092150894,571,-0.2346001844439677,0.7026051279479812,0.3555166374781086,5223,7448,-0.4333553058047865,-0.6352141834653757,-0.1867944613333226,0.99,200,,,,37.553481694185216
DOGE/USDT:USDT,1h,is,both,B_open,atr,,-0.5893721854525524,730,-0.1166136790497702,0.6657883032137644,0.3890410958904109,0,7448,,,,,0,,,,37.553481694185216
DOGE/USDT:USDT,1h,oos_warm,long,A_close,ob,,-0.1239376155141973,171,-0.1026400360759703,0.1931809969346798,0.4152046783625731,1651,11368,-0.1699586006799939,-0.3251526693521268,-0.0051171926999941,0.31,200,,,,-0.313523631258774
DOGE/USDT:USDT,1h,oos_warm,long,A_close,atr,,-0.0604546405914463,187,-0.0308439317077888,0.2112170815891541,0.427807486631016,0,11368,,,,,0,,,,-0.313523631258774
DOGE/USDT:USDT,1h,oos_warm,long,B_open,ob,,-0.0936548297476774,180,-0.0728022617239957,0.1902728612805496,0.4277777777777777,1649,11368,-0.1757722024556611,-0.3430831490193788,0.0011221483828114,0.215,200,,,,-0.313523631258774
DOGE/USDT:USDT,1h,oos_warm,long,B_open,atr,,0.0034357627990986,197,0.0045512864555958,0.1947600084436467,0.4416243654822335,0,11368,,,,,0,,,,-0.313523631258774
