symbol,timeframe,segment,arm,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
SOL/USDT:USDT,1h,is,long_only,baseline,0.1811395767178653,97,97,0,181,0.1632354439317236,0.0282316772302121,0.300861317855348,0.405,200,0,4.691092883155781
SOL/USDT:USDT,1h,is,short_only,baseline,0.3333513302751203,132,0,132,234,0.1035318564680754,-0.048930251464542,0.2882294321748062,0.015,200,0,4.691092883155781
SOL/USDT:USDT,1h,is,both,baseline,0.5748740258573587,229,97,132,415,0.2947227734032968,0.0501228310248214,0.5332053791653145,0.025,200,0,4.691092883155781
SOL/USDT:USDT,1h,oos,long_only,baseline,-0.0068957917939555,32,32,0,85,0.0189663116378081,-0.0672423920964876,0.1151748721561936,0.7,200,0,-0.5352087439526967
SOL/USDT:USDT,1h,oos,short_only,baseline,-0.0362229836775279,37,0,37,90,-0.0244827660150324,-0.1055821169274708,0.0562678366644855,0.59,200,0,-0.5352087439526967
SOL/USDT:USDT,1h,oos,both,baseline,-0.0428689893178869,69,32,37,175,-0.0083781817711478,-0.108970076641522,0.110578866804746,0.69,200,0,-0.5352087439526967
BNB/USDT:USDT,1h,is,long_only,baseline,0.1543075661751507,64,64,0,156,0.012873190517083,-0.0877461331905722,0.1128984413849639,0.005,200,0,1.7387059279349089
BNB/USDT:USDT,1h,is,short_only,baseline,0.0556140463265322,80,0,80,174,0.0160373648381996,-0.0828660429237868,0.1203287011004187,0.21,200,0,1.7387059279349089
BNB/USDT:USDT,1h,is,both,baseline,0.2185032806354811,144,64,80,330,0.0307807673650228,-0.1107844557309483,0.1726806281318122,0.015,200,0,1.7387059279349089
BNB/USDT:USDT,1h,oos,long_only,baseline,0.0176907816738659,36,36,0,76,-0.0191090287447976,-0.0795296080942207,0.0429519441181955,0.125,200,0,-0.1740271531728354
BNB/USDT:USDT,1h,oos,short_only,baseline,0.0498047355889295,30,0,30,67,0.0217499825354001,-0.0358058435068842,0.077952280937008,0.175,200,0,-0.1740271531728354
BNB/USDT:USDT,1h,oos,both,baseline,0.0683766019664233,66,36,30,143,-0.0016208973642773,-0.0859556746624988,0.0857288668767008,0.07,200,0,-0.1740271531728354
