segment,axis,bucket,metric,conditional,num_bars,p25,p50,p75,p90,p99,share_above_5bp,percentile_of_5bp
full,timeframe,2h,bar_range_bp,True,2583,56.484371472283115,117.29315883948264,332.41714864568917,738.9760099933443,3026.315789473685,0.997289972899729,0.0027100271002710027
full,timeframe,2h,adverse_bp,True,2583,10.408325693907734,31.40117117881772,98.25596269603977,268.13729254354854,1238.5065229778888,0.8552071234998064,0.14479287650019357
full,timeframe,4h,bar_range_bp,True,1223,68.5549024859437,144.6036545287232,430.0515504255384,860.1601160040815,3026.315789473685,0.9983646770237122,0.001635322976287817
full,timeframe,4h,adverse_bp,True,1223,12.313585989875962,37.87480273540234,128.13241513215678,311.5519022281138,1352.3543270256853,0.8904333605887162,0.10956663941128372
is,overall,전체,bar_range_bp,True,20565,47.264464784938546,89.43401047655512,209.93701889433206,500.13251239171717,1355.3680399427726,0.999367858011184,0.0006321419888159494
is,overall,전체,adverse_bp,True,20565,8.591065292096037,24.574669187145368,69.55449903151893,174.6891565763747,602.7000322862672,0.8320933625091175,0.16790663749088255
is,symbol,ADA/USDT:USDT,bar_range_bp,True,1744,46.37170831279768,87.19342294589174,215.13638109873202,503.50179822070714,1299.212598425198,1.0,0.0
is,symbol,ADA/USDT:USDT,adverse_bp,True,1744,8.08034168301981,24.154589371980162,66.3079465511342,169.7730208525576,526.6773528738256,0.8279816513761468,0.1720183486238532
is,symbol,ADA/USDT:USDT,bar_range_bp,False,2048041,7.986157327299946,12.940197800167,21.306092666910132,34.595425715933565,83.76288659793786,0.9082415830542455,0.0917584169457545
is,symbol,BCH/USDT:USDT,bar_range_bp,True,1851,46.80870361502965,95.04051633952183,244.48901250565066,525.0215431177613,3574.0638149907477,0.9994597514856834,0.0005402485143165856
is,symbol,BCH/USDT:USDT,adverse_bp,True,1851,9.12821625508301,25.15395958018963,80.51209103840638,208.92932514186484,907.0711511581437,0.8427876823338736,0.15721231766612642
is,symbol,BCH/USDT:USDT,bar_range_bp,False,2048041,6.685609226140589,11.27486510429293,19.118265590945594,31.61188348763002,78.43763006896278,0.8484742248812401,0.15152577511875984
is,symbol,BNB/USDT:USDT,bar_range_bp,True,1612,36.637805896697515,68.89613754839642,139.60626412977172,289.0932982917211,1158.9282177517482,1.0,0.0
is,symbol,BNB/USDT:USDT,adverse_bp,True,1612,6.30528706809531,19.00918962737761,44.370601274054614,100.6333850668644,347.5792517366607,0.7996277915632755,0.20037220843672457
is,symbol,BNB/USDT:USDT,bar_range_bp,False,2048041,5.084941638737327,9.251834947264891,16.25869388492462,27.300811839930706,71.3795656151162,0.7549848855564903,0.24501511444350968
is,symbol,BTC/USDT:USDT,bar_range_bp,True,1502,42.485723567150885,73.9125009978192,152.49450112373506,351.4813937986876,766.7060281115004,0.9993342210386151,0.0006657789613848203
is,symbol,BTC/USDT:USDT,adverse_bp,True,1502,7.45373096530707,21.797976194740734,50.907646158552524,115.59956187448047,407.2934472934473,0.8209054593874834,0.17909454061251665
is,symbol,BTC/USDT:USDT,bar_range_bp,False,2048041,3.9493247429069855,7.456406804644033,13.092169415930913,21.414023858017405,52.99849659261095,0.6696755582529842,0.3303244417470158
is,symbol,DOGE/USDT:USDT,bar_range_bp,True,1700,57.75975305704826,116.60129727267892,277.7777777777765,545.8879716799391,1148.5758275596613,0.9994117647058823,0.000588235294117647
is,symbol,DOGE/USDT:USDT,adverse_bp,True,1700,9.007760532150169,29.15110206249412,87.81113738815655,189.54018954019034,543.2736411842677,0.8329411764705882,0.16705882352941176
is,symbol,DOGE/USDT:USDT,bar_range_bp,False,2048041,7.0219787936252205,12.426991425374549,22.402688322599257,40.34593644516392,128.42013581174365,0.847982047234406,0.15201795276559404
is,symbol,DOT/USDT:USDT,bar_range_bp,True,1869,49.67673594623195,91.6524395722889,248.46162777197307,528.8232491662706,1293.630153658595,1.0,0.0
is,symbol,DOT/USDT:USDT,adverse_bp,True,1869,9.257869188810247,25.877405790069567,76.47885125643886,214.19437340153505,609.2057761732858,0.8416265382557517,0.15837346174424827
is,symbol,DOT/USDT:USDT,bar_range_bp,False,2048041,7.617113114130033,13.247057624700565,22.24985275832779,35.43855208201553,82.93968202852011,0.8735459885812833,0.1264540114187167
is,symbol,ETH/USDT:USDT,bar_range_bp,True,1676,50.47947047310795,88.34904023136698,170.93529805076287,405.51931784992547,2551.185534369943,1.0,0.0
is,symbol,ETH/USDT:USDT,adverse_bp,True,1676,10.047536636067301,26.5733408706093,60.39446576375987,138.71349644830366,649.2890995260664,0.850835322195704,0.14916467780429593
is,symbol,ETH/USDT:USDT,bar_range_bp,False,2048041,5.192822480767084,9.521476475944853,16.46009805559311,26.847870538736235,66.29740665861436,0.7626741847453249,0.23732581525467508
is,symbol,LINK/USDT:USDT,bar_range_bp,True,1801,50.23322569070633,90.85837251932651,233.21756346370037,556.1246344961163,1287.2148541114066,0.9994447529150472,0.000555247084952804
is,symbol,LINK/USDT:USDT,adverse_bp,True,1801,9.06618313689971,25.922233300099503,75.0703784798249,197.33162898458087,545.8638154192453,0.8378678511937813,0.16213214880621876
is,symbol,LINK/USDT:USDT,bar_range_bp,False,2048041,8.764241893076582,14.355440712029553,23.17357610413007,36.080149474904424,80.96583171708986,0.9197608836932464,0.08023911630675362
is,symbol,LTC/USDT:USDT,bar_range_bp,True,1857,53.49636988918495,102.38361862102073,238.79716981132142,539.3305585673819,1355.3680399427726,0.9994614970382337,0.0005385029617662897
is,symbol,LTC/USDT:USDT,adverse_bp,True,1857,10.075566750631296,27.83361682387611,78.33273445921692,209.46678200346875,595.8333333333338,0.8508346795907378,0.14916532040926225
is,symbol,LTC/USDT:USDT,bar_range_bp,False,2048041,6.80272108843523,11.555228741005246,19.59503592423327,31.794845065282903,75.27939749824513,0.8507251563811467,0.14927484361885332
is,symbol,SOL/USDT:USDT,bar_range_bp,True,1599,50.9085390969057,85.05611340815106,163.23129969034252,381.64026650457066,943.9610984951865,1.0,0.0
is,symbol,SOL/USDT:USDT,adverse_bp,True,1599,9.118367740488676,24.348852652550175,60.67601547678963,128.37352638642506,423.69060721975836,0.8449030644152595,0.15509693558474047
is,symbol,SOL/USDT:USDT,bar_range_bp,False,2048041,10.154984404845763,16.49292707166028,26.83175994190657,42.786006244936125,104.67987378871884,0.9449268837879711,0.055073116212028955
is,symbol,TRX/USDT:USDT,bar_range_bp,True,1436,30.810215867587868,56.778301009755324,127.9411189756983,313.0590339892652,2233.6240807251584,0.9944289693593314,0.005571030640668524
is,symbol,TRX/USDT:USDT,adverse_bp,True,1436,4.803097545372767,14.853171441628955,40.20578033817846,109.56130143593302,328.7037037037027,0.7437325905292479,0.2562674094707521
is,symbol,TRX/USDT:USDT,bar_range_bp,False,2048041,3.7135606857711516,7.402472425791454,14.060303077645171,25.440668726149596,66.7588601473326,0.6411658750972271,0.35883412490277294
is,symbol,XRP/USDT:USDT,bar_range_bp,True,1918,59.64617825115115,133.45657460404567,383.4983183142697,721.9901490117832,2650.184341791368,1.0,0.0
is,symbol,XRP/USDT:USDT,adverse_bp,True,1918,11.927268401551368,35.01666744095263,112.07264789916476,295.06871463217624,1209.1128113702014,0.8670490093847758,0.1329509906152242
is,symbol,XRP/USDT:USDT,bar_range_bp,False,2048041,7.178750897343071,11.655011655010371,19.94017946161497,34.75238922675913,97.46833088356819,0.869657394554113,0.13034260544588708
is,timeframe,15m,bar_range_bp,True,14205,42.21838418729705,76.3623741756343,168.0474763499619,409.14494474779343,1240.4548414445228,0.9994368180218233,0.0005631819781766983
is,timeframe,15m,adverse_bp,True,14205,7.43156764790912,21.073206486882622,56.39655684179215,143.12248246277318,545.8638154192453,0.8116860260471664,0.1883139739528335
is,timeframe,1h,bar_range_bp,True,3774,58.816580475982875,114.11816715368562,272.4723062056498,583.1903945111484,1553.3256092531856,0.9992050874403816,0.000794912559618442
is,timeframe,1h,adverse_bp,True,3774,10.906727219371339,31.94273478423765,87.7741406082695,209.30400316349338,665.4470615138353,0.8672496025437202,0.1327503974562798
is,timeframe,2h,bar_range_bp,True,1766,71.20582090752784,143.1082614685185,368.68591727441503,728.9968427266311,1752.9437946317146,0.9988674971687429,0.0011325028312570782
is,timeframe,2h,adverse_bp,True,1766,12.743158933122274,36.94657031556072,110.66402121307647,269.3575800857259,735.3608715388103,0.8850509626274066,0.11494903737259343
is,timeframe,4h,bar_range_bp,True,820,86.52430359711312,187.5005229963566,489.59344333009835,830.0848429259347,2650.184341791368,1.0,0.0
is,timeframe,4h,adverse_bp,True,820,15.970709074549536,45.228815588357676,139.62528775870533,311.38140708705544,814.1362385217449,0.9097560975609756,0.09024390243902439
oos,overall,전체,bar_range_bp,True,8730,28.820359068209452,50.54092271201087,106.47960579475551,339.7773872290571,2602.1747281589815,0.9964490263459336,0.0035509736540664375
oos,overall,전체,adverse_bp,True,8730,4.974505658499985,14.388097972353489,37.00857971244811,111.49120835934905,1294.9179780082318,0.7483390607101947,0.25166093928980526
oos,symbol,ADA/USDT:USDT,bar_range_bp,True,763,31.488984226403893,53.84385282680299,109.58821557571838,491.3512158435699,2333.4016813614917,1.0,0.0
oos,symbol,ADA/USDT:USDT,adverse_bp,True,763,4.792724981140197,15.290519877675854,36.53238055389768,152.42511480404923,1396.8750000000005,0.7378768020969856,0.2621231979030144
oos,symbol,ADA/USDT:USDT,bar_range_bp,False,1022784,8.302200083022239,12.417952811779914,19.336126329357988,29.510316538882996,66.14888360100542,0.9400635911394781,0.05993640886052187
oos,symbol,BCH/USDT:USDT,bar_range_bp,True,798,32.38706279523792,60.11734655568465,130.79532455340564,367.20284781613293,1160.897530318653,0.9962406015037594,0.0037593984962406013
oos,symbol,BCH/USDT:USDT,adverse_bp,True,798,6.915095609106035,17.11918211461364,44.87793812178646,93.12508168866889,403.76523464271844,0.7994987468671679,0.20050125313283207
oos,symbol,BCH/USDT:USDT,bar_range_bp,False,1022784,5.475885372350002,9.044044496699266,14.754819552747758,23.168690279536296,55.66451394952749,0.7848284681809649,0.21517153181903512
oos,symbol,BNB/USDT:USDT,bar_range_bp,True,638,20.83331336529681,36.82315008577018,72.33550169119405,191.16221083252466,1346.25838014133,0.9921630094043887,0.007836990595611285
oos,symbol,BNB/USDT:USDT,adverse_bp,True,638,3.652857204146627,9.75352618443756,25.874193609418754,64.3215078158112,545.141225215351,0.6786833855799373,0.3213166144200627
oos,symbol,BNB/USDT:USDT,bar_range_bp,False,1022784,3.529107399153636,6.075508498950782,10.210503718703706,16.25689629382289,37.46423271905026,0.5984782710718979,0.4015217289281021
oos,symbol,BTC/USDT:USDT,bar_range_bp,True,597,18.918302802895916,32.012008484775464,61.47426806158522,117.01291411734067,696.4995575217052,0.9882747068676717,0.011725293132328308
oos,symbol,BTC/USDT:USDT,adverse_bp,True,597,3.933933933933497,10.080561730612539,24.137296431317655,56.28225422883956,268.2030282830201,0.7152428810720268,0.2847571189279732
oos,symbol,BTC/USDT:USDT,bar_range_bp,False,1022784,2.8280652288101837,5.200092462180374,8.981993490008671,14.503652513059098,33.074483692041156,0.5187498044552906,0.4812501955447093
oos,symbol,DOGE/USDT:USDT,bar_range_bp,True,884,36.01113207194734,64.5526466372258,156.55765259568673,601.357904946653,3392.3456534492875,1.0,0.0
oos,symbol,DOGE/USDT:USDT,adverse_bp,True,884,7.374327708061873,18.89692753904255,49.84243111269332,218.43659843385,1555.3461979391716,0.8190045248868778,0.18099547511312217
oos,symbol,DOGE/USDT:USDT,bar_range_bp,False,1022784,7.301046483329824,11.582930795357328,18.524768808807334,28.805612663126333,66.83357709379682,0.8900872520493086,0.10991274795069145
oos,symbol,DOT/USDT:USDT,bar_range_bp,True,774,32.95194034274179,57.30659025788045,128.3824435033238,312.3919491302839,851.8042924889563,1.0,0.0
oos,symbol,DOT/USDT:USDT,adverse_bp,True,774,4.42894318416959,15.128593040848221,38.96682398263939,98.63080542378043,424.8892770161381,0.7183462532299741,0.28165374677002586
oos,symbol,DOT/USDT:USDT,bar_range_bp,False,1022784,8.853474988933492,13.285505513484503,19.770717822930795,28.240609997175337,60.10543171830394,0.9428530364182467,0.057146963581753335
oos,symbol,ETH/USDT:USDT,bar_range_bp,True,796,38.14700603622845,58.33555799444329,114.89446700065565,260.6541340830332,1329.5214023428357,1.0,0.0
oos,symbol,ETH/USDT:USDT,adverse_bp,True,796,5.925507756321238,16.473876309648247,41.265972465218596,86.8893415072191,930.7387183185656,0.7864321608040201,0.2135678391959799
oos,symbol,ETH/USDT:USDT,bar_range_bp,False,1022784,5.095019035733395,8.398607617635326,13.661972629109044,21.369686920343238,49.251022582464294,0.7577220605719291,0.24227793942807083
oos,symbol,LINK/USDT:USDT,bar_range_bp,True,740,29.74259030256738,52.00865396660397,105.82340890266322,351.92410680131655,2496.3942802983474,1.0,0.0
oos,symbol,LINK/USDT:USDT,adverse_bp,True,740,4.359613631670547,13.837424943068559,33.12372410394437,110.66685380746449,1740.0345091246138,0.727027027027027,0.27297297297297296
oos,symbol,LINK/USDT:USDT,bar_range_bp,False,1022784,7.07754333424759,11.42505602671697,18.250666014007457,27.850971623867004,59.81333753215519,0.873690828170953,0.126309171829047
oos,symbol,LTC/USDT:USDT,bar_range_bp,True,797,29.01313880714623,50.02680007146706,115.22633744856014,790.490341753344,3248.112977842707,1.0,0.0
oos,symbol,LTC/USDT:USDT,adverse_bp,True,797,5.2562417871224065,14.450867052022618,41.40786749482418,267.87434958566206,1916.0407587000057,0.7553324968632371,0.24466750313676286
oos,symbol,LTC/USDT:USDT,bar_range_bp,False,1022784,5.679518945604116,9.3294460641414,15.48653531790352,24.54195404730726,56.26973700326592,0.8036574682435392,0.1963425317564608
oos,symbol,SOL/USDT:USDT,bar_range_bp,True,796,31.387343283138982,50.83454920631268,110.21176427860955,356.2525425003661,1318.4738588958928,1.0,0.0
oos,symbol,SOL/USDT:USDT,adverse_bp,True,796,5.5485244179217075,16.7149210667379,38.979086475503294,113.26249008612379,451.7639483173336,0.7763819095477387,0.2236180904522613
oos,symbol,SOL/USDT:USDT,bar_range_bp,False,1022784,7.026284692281539,10.830715910321366,16.82162260462259,25.376256557612255,55.49085473145397,0.8760725627307427,0.12392743726925724
oos,symbol,TRX/USDT:USDT,bar_range_bp,True,425,14.325092787533901,24.533426794007053,55.754998896933564,155.5105834658135,352.24352643547326,0.9623529411764706,0.03764705882352941
oos,symbol,TRX/USDT:USDT,adverse_bp,True,425,2.6086308414703168,8.583690987123518,20.913638973180625,66.28586524324422,211.5682615983041,0.6141176470588235,0.38588235294117645
oos,symbol,TRX/USDT:USDT,bar_range_bp,False,1022784,1.3980636818001642,3.2670517827707273,6.220156967490659,10.692447000078111,29.879236801609306,0.3330889024466554,0.6669110975533445
