symbol,timeframe,segment,arm,definition,num_trades,win_rate,total_return,max_drawdown,fill_rate,eligible_setups,mean_r,sharpe,n_from_15m,n_from_5m,n_from_1m
TRX/USDT:USDT,1h,full,A,none,209,0.4832535885167464,0.0303187827314048,0.1238082186154138,0.7852631578947369,475,0.208133971291866,1.883659989710479,0,0,0
TRX/USDT:USDT,1h,full,B,contained,207,0.4830917874396135,0.030164394320444,0.1238082186154142,0.7846481876332623,469,0.2077294685990338,1.8878975623076937,153,34,20
TRX/USDT:USDT,1h,full,C,contained,75,0.4,-0.0713623471344441,0.096951482238511,0.6975,400,0.0,-12.662199301136988,70,5,0
TRX/USDT:USDT,1h,full,B,proximal_in,207,0.4830917874396135,0.030164394320444,0.1238082186154142,0.7851063829787234,470,0.2077294685990338,1.8878975623076937,166,25,16
TRX/USDT:USDT,1h,full,C,proximal_in,83,0.4457831325301205,-0.0098893871969597,0.0845548945100411,0.656934306569343,411,0.1144578313253012,-1.1672135517966742,79,4,0
TRX/USDT:USDT,1h,full,B,touch,209,0.4832535885167464,0.0303187827314048,0.1238082186154138,0.7864693446088795,473,0.208133971291866,1.883659989710479,186,14,9
TRX/USDT:USDT,1h,full,C,touch,95,0.3894736842105263,-0.0850976001952909,0.1180378880827828,0.7112860892388452,381,-0.0263157894736842,-12.551641439427993,92,3,0
TRX/USDT:USDT,1h,is,A,none,138,0.4927536231884058,0.0728099501695429,0.0471428413614915,0.7648902821316614,319,0.2318840579710145,5.335431027790795,0,0,0
TRX/USDT:USDT,1h,is,B,contained,136,0.4926470588235294,0.0726491946575155,0.0471428413614915,0.7658227848101266,316,0.2316176470588235,5.378670979117939,94,28,14
TRX/USDT:USDT,1h,is,C,contained,59,0.3898305084745763,-0.0634209663810612,0.0943524814301937,0.6692015209125475,263,-0.0254237288135593,-13.764890550748618,55,4,0
TRX/USDT:USDT,1h,is,B,proximal_in,136,0.4926470588235294,0.0726491946575155,0.0471428413614915,0.7658227848101266,316,0.2316176470588235,5.378670979117939,104,20,12
TRX/USDT:USDT,1h,is,C,proximal_in,62,0.4354838709677419,-0.0086540936313491,0.0845548945100411,0.6282527881040892,269,0.0887096774193548,-1.3322080434831556,59,3,0
TRX/USDT:USDT,1h,is,B,touch,138,0.4927536231884058,0.0728099501695429,0.0471428413614915,0.7672955974842768,318,0.2318840579710145,5.335431027790795,120,11,7
TRX/USDT:USDT,1h,is,C,touch,73,0.3698630136986301,-0.0783944999809304,0.1180378880827828,0.6954732510288066,243,-0.0753424657534246,-14.35652793114513,71,2,0
TRX/USDT:USDT,1h,oos,A,none,69,0.4492753623188406,-0.0499149873361946,0.1332121436144332,0.8266666666666667,150,0.1231884057971014,-8.320219275383561,0,0,0
TRX/USDT:USDT,1h,oos,B,contained,69,0.4492753623188406,-0.0499149873361946,0.1332121436144332,0.8231292517006803,147,0.1231884057971014,-8.320219275383561,57,6,6
TRX/USDT:USDT,1h,oos,C,contained,16,0.4375,-0.0084791357383603,0.0271550087544729,0.7424242424242424,132,0.09375,-7.672450306683868,15,1,0
TRX/USDT:USDT,1h,oos,B,proximal_in,69,0.4492753623188406,-0.0499149873361946,0.1332121436144332,0.8243243243243243,148,0.1231884057971014,-8.320219275383561,60,5,4
TRX/USDT:USDT,1h,oos,C,proximal_in,21,0.4761904761904761,-0.0012460772372252,0.0225666670670986,0.7007299270072993,137,0.1904761904761904,-0.5705546003551762,20,1,0
TRX/USDT:USDT,1h,oos,B,touch,69,0.4492753623188406,-0.0499149873361946,0.1332121436144332,0.825503355704698,149,0.1231884057971014,-8.320219275383561,64,3,2
TRX/USDT:USDT,1h,oos,C,touch,22,0.4545454545454545,-0.0072732858227134,0.0319557627424095,0.7293233082706767,133,0.1363636363636363,-5.155193788137894,21,1,0
BTC/USDT:USDT,15m,full,A,none,811,0.5018495684340321,0.41443686399350954,0.1423022971810841,0.828099173553719,2420,0.25462392108508014,10.488570874910165,0,0,0
BTC/USDT:USDT,15m,full,B,contained,780,0.5064102564102564,0.4471995661374036,0.14437600630305925,0.8261056247316445,2329,0.266025641025641,11.534355727208611,0,609,171
BTC/USDT:USDT,15m,full,C,contained,274,0.5291970802919708,0.13873998337571355,0.0745635079279579,0.6744741873804971,2092,0.32299270072992703,14.590159064538994,0,267,7
BTC/USDT:USDT,15m,full,B,proximal_in,789,0.5057034220532319,0.4484969814906577,0.1381839824670625,0.8272074355724546,2367,0.26425855513307983,11.452358547008304,0,645,144
BTC/USDT:USDT,15m,full,C,proximal_in,299,0.5250836120401338,0.1418999255748784,0.06584573658399591,0.6618671620993962,2153,0.31270903010033446,13.591478733145587,0,294,5
BTC/USDT:USDT,15m,full,B,touch,806,0.5024813895781638,0.4049273801487305,0.13818398246706204,0.8288100208768268,2395,0.25620347394540943,10.378754437471331,0,717,89
BTC/USDT:USDT,15m,full,C,touch,311,0.4790996784565916,-0.061302057814279214,0.18315401569386663,0.704368932038835,2060,0.1977491961414791,-5.256401966406993,0,307,4
BTC/USDT:USDT,15m,is,A,none,533,0.5084427767354597,0.32123133736330345,0.12153758317555309,0.8206896551724138,1595,0.27110694183864914,12.79626994410604,0,0,0
BTC/USDT:USDT,15m,is,B,contained,507,0.514792899408284,0.34520415650178454,0.1112988034166475,0.817351598173516,1533,0.2869822485207101,14.253372055064252,0,391,116
BTC/USDT:USDT,15m,is,C,contained,179,0.5586592178770949,0.173053233819659,0.03690850838820505,0.6782861292665214,1377,0.39664804469273746,27.467189802679567,0,173,6
