lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,reentry
pen_5bp,12,2h,oos_warm,,12,563,0.5541740674955595,2.6484537210319496,0.08428537555685153,6,0.05948415681179409,3.6839145057413965,0,182,266,0,band
pen_5bp,12,4h,full,,12,846,0.5839243498817966,22.27658806941971,0.142417591344669,7,0.07000000000000002,3.4278398192736965,0,78,351,0,band
pen_5bp,12,4h,oos_warm,,12,319,0.554858934169279,1.5375270391685183,0.08252037334849305,6,0.06,3.4278398192736974,0,45,144,0,band
pen_5bp,12,all,full,,48,16892,0.5676059673218091,91326800830855.83,0.25837919894703776,13,0.12819436927633862,5.000000000000001,0,11409,6868,407,band
pen_5bp,12,all,oos_warm,,48,5588,0.5338224767358626,381.173468191492,0.23033138289119282,13,0.11542233793000843,5.000000000000001,0,4234,2323,217,band
pen_5bp,15,15m,full,,15,14589,0.5652889163068064,6705768424.596878,0.30632768134674504,8,0.07939043859795354,5.0,0,12071,5842,35,band
pen_5bp,15,15m,oos_warm,,15,4771,0.5357367428212115,50.73659234280852,0.22287404195440244,6,0.04814361048702272,5.000000000000001,0,4371,1882,8,band
pen_5bp,15,1h,full,,15,4059,0.5801921655580192,88816.26083142812,0.14749059238262754,6,0.06053099934620802,5.0,0,1786,1746,1,band
pen_5bp,15,1h,oos_warm,,15,1366,0.5366032210834554,10.018182203256394,0.14749059238262704,6,0.05959440130827126,5.0,0,753,605,0,band
pen_5bp,15,2h,full,,15,2040,0.5887254901960784,1125.2217824738996,0.13522819783951243,7,0.06999999999999999,5.0,0,445,875,0,band
pen_5bp,15,2h,oos_warm,,15,706,0.556657223796034,4.67416907387917,0.12882119566253092,7,0.06606961815057982,5.0,0,212,332,0,band
pen_5bp,15,4h,full,,15,1059,0.5750708215297451,40.40487513894048,0.18514805372511728,7,0.06999999999999999,3.920625589798354,0,90,442,0,band
pen_5bp,15,4h,oos_warm,,15,391,0.5575447570332481,2.2556207489439295,0.0834295187847906,6,0.060000000000000005,3.920625589798353,0,47,183,0,band
pen_5bp,15,all,full,,60,21170,0.5678790741615494,4.161172175346184e+17,0.30572089322845414,15,0.14813465687437208,5.000000000000001,0,14284,8716,840,band
pen_5bp,15,all,oos_warm,,60,6948,0.5318077144502015,1370.672451937713,0.2913931438052214,13,0.11536461606620786,5.000000000000001,0,5294,2894,431,band
pen_5bp,19,15m,full,,19,19438,0.5611688445313304,4004617858612.1855,0.3082989419452039,8,0.08072595774171301,5.000000000000001,0,15865,7999,108,band
pen_5bp,19,15m,oos_warm,,19,6462,0.5301764159702879,131.13512816991923,0.27501410681541044,7,0.058143610487022726,5.000000000000001,0,5841,2603,36,band
pen_5bp,19,1h,full,,19,5365,0.57856477166822,3234141.9115038905,0.15956504928475201,8,0.07187605468583882,5.0,0,2230,2397,2,band
