scope,unit,offset_ms,segment,bin,bins,lo,hi,n,stops,stop_rate,mean_net_r,net_r_stderr
self,usdt,-300000,oos_warm,2,5,0.001548955217,0.003900501551,1897,1088,0.5735371639,-0.06299742835,0.02973440584
self,usdt,-300000,oos_warm,3,5,0.003900501551,0.009262904711,2666,1561,0.5855213803,-0.08070198537,0.02484108224
self,usdt,-300000,oos_warm,4,5,0.009262904711,0.2707220614,2886,1803,0.6247401247,-0.1671483833,0.02337167663
btc,coin,-86400000,is,0,5,-0.2003807276,-0.02845938317,2995,1764,0.5889816361,-0.08082068938,0.02334087194
btc,coin,-86400000,is,1,5,-0.02845938317,-0.008661337197,2996,1689,0.5637516689,-0.01720224803,0.02352004095
btc,coin,-86400000,is,2,5,-0.008661337197,0.006792579778,2997,1791,0.5975975976,-0.108881415,0.02328061447
btc,coin,-86400000,is,3,5,0.006792579778,0.02982152998,2990,1708,0.5712374582,-0.0355712992,0.02349243234
btc,coin,-86400000,is,4,5,0.02982152998,0.3085553646,3004,1695,0.5642476698,-0.009365275762,0.02346189663
btc,coin,-86400000,oos_warm,0,5,-0.2003807276,-0.02845938317,1227,645,0.5256723716,0.07158982418,0.03720003494
btc,coin,-86400000,oos_warm,1,5,-0.02845938317,-0.008661337197,1896,1145,0.6039029536,-0.1289579828,0.02924737314
btc,coin,-86400000,oos_warm,2,5,-0.008661337197,0.006792579778,2354,1360,0.577740017,-0.06421000332,0.02659346031
btc,coin,-86400000,oos_warm,3,5,0.006792579778,0.02982152998,3047,1705,0.559566787,-0.013182001,0.0234167406
btc,coin,-86400000,oos_warm,4,5,0.02982152998,0.3085553646,1551,961,0.6196002579,-0.1599646645,0.03196334539
btc,coin,-43200000,is,0,5,-0.1531453133,-0.02353909425,2995,1755,0.5859766277,-0.07012321892,0.02331131374
btc,coin,-43200000,is,1,5,-0.02353909425,-0.007760044187,2998,1710,0.5703802535,-0.03889523689,0.02354684606
btc,coin,-43200000,is,2,5,-0.007760044187,0.005483972374,2996,1735,0.579105474,-0.05906121867,0.0234283258
btc,coin,-43200000,is,3,5,0.005483972374,0.02216112427,2994,1758,0.5871743487,-0.07815913785,0.02335942948
btc,coin,-43200000,is,4,5,0.02216112427,0.2105577588,2999,1689,0.5631877292,-0.005609250705,0.02347805144
btc,coin,-43200000,oos_warm,0,5,-0.1531453133,-0.02353909425,1080,616,0.5703703704,-0.03635431237,0.03916932943
