symbol,timeframe,segment,side,trigger_time,broke,r_multiple,trend_dev,volume_pctl,vol_balance,rsi_slope_5_3,rsi_slope_10_5,rsi_slope_14_5,zone_width_atr,freshness_bars,prior_taps,approach_mom,tap_rsi
ETH/USDT:USDT,15m,is,long,1745961300000,True,-1.0,-0.0032337700893009247,0.6710794297352343,0.07401833562853868,-8.277266468053462,-7.490250525531252,-4.4122527470679245,1.1622770532076723,60.0,0.0,-2.4001392879139414,31.10474409207262
ETH/USDT:USDT,15m,is,long,1746126000000,True,-1.0,0.022227391131603325,0.8360488798370672,0.20516322103219914,-1.0216420355272575,-3.828037116595098,-2.600008036337421,2.9347141241860997,16.0,2.0,-0.09742687981437721,54.23990623145607
ETH/USDT:USDT,15m,is,long,1746265500000,False,1.5,-0.0035945085075276273,0.8492871690427699,0.11270234100189216,1.1487158476629418,1.7920012866193744,-1.4473812264764732,2.087122269240321,71.0,0.0,0.41487918278804053,41.53643220851015
ETH/USDT:USDT,15m,is,long,1746401400000,False,1.5,-0.011975110882013085,0.4154786150712831,0.30452293451308726,-9.230766901627547,-10.172589455952256,-4.0997141569639055,0.8753137852959625,347.0,0.0,-4.225765802421392,31.82346100883491
ETH/USDT:USDT,15m,is,long,1746490500000,True,-1.0,-0.0014957413359837357,0.7057026476578412,0.3907119941060687,-5.857979876674662,3.4871592721375606,1.8993617203324717,2.9635532572570793,25.0,1.0,-2.1967257459427434,48.478634174281005
ETH/USDT:USDT,15m,is,long,1746531900000,True,-1.0,-0.020709977863771156,0.45519348268839105,0.5759375580114016,-5.605761244366562,-4.126679672455332,-4.972621536017172,1.447305492887609,553.0,0.0,-2.9314850110717545,27.14186946793353
ETH/USDT:USDT,15m,is,long,1746945900000,True,-1.0,0.057665874963477304,0.6659877800407332,0.4920364651256919,-4.319910480938638,-0.828975670339247,-1.149603602805378,2.8031117609040956,37.0,1.0,-1.0832986499563744,43.03068788594565
ETH/USDT:USDT,15m,is,long,1747059300000,False,1.5,0.02892019627164233,0.9490835030549898,0.055916773237133455,1.176215675018092,0.17040139542914545,0.2090504512035949,0.8315667725155413,29.0,0.0,0.03274666287950521,53.23816784003425
ETH/USDT:USDT,15m,is,long,1747062000000,True,-1.0,0.008322706764493315,0.6262729124236253,0.792412018764606,-9.350913654376193,-1.9148296472710342,-3.566097217316184,1.8715349785720112,56.0,0.0,-2.0166121781228306,37.70271563777486
ETH/USDT:USDT,15m,is,long,1747273500000,True,-1.0,0.0026659940951279104,0.5784114052953157,0.8859292747867227,-6.336171597464968,3.4483154907022,2.921278922850682,1.8946666901497464,28.0,0.0,-1.642990937711594,42.9011068266096
ETH/USDT:USDT,15m,is,long,1747405800000,False,1.5,0.007680786906284487,0.609979633401222,0.8123078589157339,-1.1396560664212814,-7.524875298402378,-5.427210101791182,1.0379903578883665,16.0,0.0,-0.0875862600013713,47.47429240700489
ETH/USDT:USDT,15m,is,long,1747413000000,False,1.5,0.0012674844998408208,0.6109979633401222,0.8123078589157339,1.5131022495439055,-1.9311987085992683,-2.220895243450407,1.0897917699878683,24.0,1.0,-0.21195830355838205,43.32986080613793
ETH/USDT:USDT,15m,is,long,1747417500000,False,1.5,0.003131030318262784,0.6120162932790224,0.8123078589157339,0.5555280135340865,0.7932194956446708,-1.0899734549618216,1.1335277740770033,29.0,2.0,-0.11260658916622719,46.942427123402645
ETH/USDT:USDT,15m,is,long,1747427400000,True,-1.0,0.001722158326042278,0.6130346232179226,0.8123078589157339,1.509501829496223,1.3127373202950992,1.2587441886854265,1.4282401402338092,40.0,3.0,-0.2649637603066828,46.796934389624724
ETH/USDT:USDT,15m,is,long,1747435500000,False,1.5,-0.010976039740267396,0.6293279022403259,0.11549667837699557,-4.663592581845904,-4.79890435318179,-2.44586993891852,1.2987827001682022,62.0,0.0,-2.4343024115328156,35.594245349915795
ETH/USDT:USDT,15m,is,long,1747440000000,True,-1.0,-0.015327050289233646,0.630346232179226,0.11549667837699557,0.5008509884295265,-3.096462130758937,-4.2619417847141605,1.2769087165008763,67.0,1.0,-0.866628012777389,32.59563858205213
ETH/USDT:USDT,15m,is,long,1747440900000,True,-1.0,-0.018415077511395372,0.8329938900203666,0.2948005074931749,-0.7843828392331673,-3.4784328987496167,-3.850561359799265,1.8013344872995214,126.0,0.0,-1.4379253302106405,29.730773092542393
ETH/USDT:USDT,15m,is,long,1747489500000,False,1.5,-0.030643274643243013,0.7657841140529531,0.09557811903226764,-3.401754057231372,-2.317500752867865,-0.2631462744372044,2.713125818278591,393.0,0.0,-1.6838020807084924,35.782991460043974
ETH/USDT:USDT,15m,is,long,1747519200000,False,1.5,-0.013937715550429997,0.3024439918533605,0.3885320914354299,4.09829000123149,3.6042393310401764,2.2269643816093705,1.7977333891641079,5.0,0.0,1.059697713493349,55.957578673675535
ETH/USDT:USDT,15m,is,long,1747591200000,True,-1.0,-0.01054495849625825,0.6995926680244399,0.22888661250929038,-16.262531552589685,-8.935003103828066,-3.746174474073541,0.9988759523202158,85.0,2.0,-3.7001105728839043,32.228069746568295
ETH/USDT:USDT,15m,is,long,1747596600000,False,1.5,-0.018474866440936877,0.7668024439918534,0.09557811903226764,-4.006204804858719,-20.91692412391518,-16.089732259737026,1.571366307255516,512.0,1.0,-1.1237529519481726,29.980533369316078
ETH/USDT:USDT,15m,is,long,1747738800000,True,-1.0,0.007872298185924498,0.46334012219959264,0.3889992310416855,-4.986512078004765,-1.604966561236722,-3.118502310430898,0.9920193903520003,44.0,0.0,-1.007604926728294,36.39868331256014
ETH/USDT:USDT,15m,is,long,1747848600000,False,1.5,-0.018031941168505816,0.8065173116089613,0.9271797864671794,-5.316008546031227,-0.2824111369179292,2.3900316159711608,1.2278175978833439,47.0,0.0,-3.308512718496733,33.30122442651093
ETH/USDT:USDT,15m,is,long,1747998900000,True,-1.0,0.01387896281229306,0.6741344195519349,0.37476502391489,-4.040352679533527,0.7664452634806338,1.024597957320836,0.9509593667605232,39.0,0.0,-1.2890451557263165,43.793482657045786
ETH/USDT:USDT,15m,is,long,1748002500000,False,1.5,-0.031009814199226993,0.9470468431771895,0.4965742784020223,-14.267495996880026,-9.962389348454629,-5.0525729222452185,2.718072098644075,218.0,2.0,-5.531546727902784,16.585066751018616
ETH/USDT:USDT,15m,is,long,1748092500000,True,-1.0,-0.00972160193481153,0.43584521384928715,0.17019357110782402,-4.865471377363015,-2.9599299408186184,-1.758296610557288,1.7544908067008138,11.0,1.0,-1.146635724064298,47.31227259739815
ETH/USDT:USDT,15m,is,long,1748133000000,False,1.5,-0.012775209055580272,0.9480651731160896,0.4965742784020223,6.127784667001926,0.07977796937444026,-3.633349953199911,5.928192125893346,363.0,3.0,0.9530255884507369,43.753168585324694
ETH/USDT:USDT,15m,is,long,1748251800000,False,1.5,0.010527546928183362,0.34012219959266804,0.2375374542860136,-7.137794010679691,-5.067047527455557,-2.9180975903120228,0.8809128875323372,11.0,0.0,-1.0718877365838355,52.58808038487016
ETH/USDT:USDT,15m,is,long,1748256300000,False,1.5,0.008397657535838654,0.3411405295315682,0.2375374542860136,-2.4976897218446723,-9.627447886168,-6.59463410312577,0.9031732510717302,16.0,1.0,-0.7107679218960694,49.13284783829729
ETH/USDT:USDT,15m,is,long,1748307600000,True,-1.0,0.0006264365938764005,0.3655804480651731,0.24294603401981746,-2.7926989324607874,-4.074710401626724,-2.0389664838284887,1.6848130840145716,12.0,0.0,-0.619075543737283,45.01655093986912
ETH/USDT:USDT,15m,is,long,1748380500000,True,-1.0,0.030381450197019877,0.6904276985743381,0.23381611443001582,-5.496262614737951,-5.505917854915083,-4.401647396008848,1.9652700789561939,17.0,0.0,-0.30250826250411805,52.11148291881319
ETH/USDT:USDT,15m,is,long,1748443500000,False,1.5,0.005816078219024412,0.4175152749490835,0.2507081036764484,-14.268303988443286,-5.007870100538192,0.0018823255260542737,1.4052787474712172,12.0,1.0,-2.201812801552007,43.02227968088932
ETH/USDT:USDT,15m,is,long,1748460600000,False,1.5,0.00548376347835533,0.4185336048879837,0.2507081036764484,-3.527240741880476,1.3384835968681585,3.05864184570175,1.4077701951330623,31.0,2.0,-0.8909583847985499,47.514055735942016
ETH/USDT:USDT,15m,is,long,1748528100000,False,1.5,-0.006855660133529118,0.7169042769857433,0.23248428994256473,-6.501676793525686,-11.569703716973855,-9.31457750018319,1.4921926859004442,106.0,3.0,-2.312898663145676,21.73702360273286
ETH/USDT:USDT,15m,is,long,1748545200000,False,1.5,-0.005785212903139825,0.7179226069246436,0.23248428994256473,2.6743262119057007,4.788796199390966,4.425911248177698,1.5279183344578713,125.0,5.0,0.050930611148606066,42.375022020544066
ETH/USDT:USDT,15m,is,long,1748560500000,True,-1.0,-0.007090138849880745,0.7189409368635438,0.23248428994256473,-2.748706713049593,1.8609362417446391,2.891615084971825,2.09818899055996,142.0,6.0,-0.926273676320387,42.83853739975776
ETH/USDT:USDT,15m,is,long,1748622600000,False,1.5,-0.024986108612686686,0.7871690427698574,0.10146456741811725,-2.3299422033565875,2.227053729127711,0.7043756618393147,1.7316027123294078,330.0,0.0,-1.3944056017405058,36.52742470806791
ETH/USDT:USDT,15m,is,long,1748644200000,True,-1.0,-0.028474811417369517,0.7881873727087576,0.10146456741811725,-6.262107756321541,-2.579928868340737,0.37474430249764623,2.102159575777743,354.0,1.0,-2.1537968170481867,35.12852900455657
ETH/USDT:USDT,15m,is,long,1748655000000,False,1.5,-0.039419851544254536,0.9623217922606925,0.4497332797790785,1.9133702183903551,-0.18460139241074103,-4.660452397536787,3.3135671444965262,943.0,8.0,-1.1938265224632798,33.100895305016735
ETH/USDT:USDT,15m,is,long,1749068100000,False,1.5,0.003255688150994196,0.9154786150712831,0.31015551022315396,-2.9680357387346987,-6.732838750631167,-7.883428109672337,1.9331503979652136,19.0,0.0,-1.952733687090769,38.46171975798068
ETH/USDT:USDT,15m,is,long,1749101400000,True,-1.0,0.004005561158581639,0.9439918533604889,0.32733930983511766,-1.5693553628245667,2.8646571331215327,4.387627688474346,2.5224482490636957,56.0,2.0,-0.4149323940813713,50.34801277665108
ETH/USDT:USDT,15m,is,long,1749153600000,True,-1.0,-0.028187951764479413,0.9959266802443992,0.3878191639658749,-6.827191174625241,0.021049589280053738,-2.2056867830089004,3.4648008382660813,1497.0,20.0,-2.787902661253824,28.64638067284986
ETH/USDT:USDT,15m,is,long,1749155400000,False,1.5,-0.04877713472837042,0.8238289205702648,0.2112678499472813,-12.048695591125782,-5.427688950653902,-3.2380048557626395,0.9057623364799023,1660.0,0.0,-4.468398551511424,18.353855518060215
ETH/USDT:USDT,15m,is,long,1749679200000,True,-1.0,0.01278351296322211,0.9613034623217923,0.3056796153272045,-2.8979843893191273,-1.3529114792598023,-2.7210394867680563,0.7750796074226448,38.0,0.0,-1.8593904591236783,35.82923544286429
ETH/USDT:USDT,15m,is,long,1749713400000,True,-1.0,0.001931242125525534,0.8553971486761711,0.4488366753949284,1.28772774806405,3.3328801045388445,3.079031248215564,3.5700012486194828,134.0,0.0,-0.5628232949244386,44.24668911985088
ETH/USDT:USDT,15m,is,long,1749836700000,False,1.5,-0.03558177244898508,0.7484725050916496,0.36909568231343237,-7.116630042899949,1.4290461771050502,-1.4375862270466016,1.619419680251497,7.0,0.0,-2.2756015412441055,46.56067177289944
ETH/USDT:USDT,15m,is,long,1749885300000,True,-1.0,-0.023080695258508532,0.7494908350305499,0.36909568231343237,-4.431844464307645,-2.771086927996599,-2.2745216379074193,3.9153882034378364,61.0,1.0,-2.1281006733260566,35.426786836438126
ETH/USDT:USDT,15m,is,long,1749919500000,True,-1.0,-0.02604700692030293,0.7556008146639511,0.3007112182980601,-3.9567161707648495,-7.660929118304821,-4.943050111951038,1.281912030571651,136.0,0.0,-2.040102735832852,31.873737051485293
ETH/USDT:USDT,15m,is,long,1750018500000,True,-1.0,-0.009010878230665709,0.19959266802443992,0.17204356446487984,-8.774507539365992,-7.168270318750729,-4.532372925265108,0.8877790793202791,10.0,0.0,-2.46605299811187,35.802510817533275
ETH/USDT:USDT,15m,is,long,1750019400000,False,1.5,-0.013014634186059637,0.3513238289205703,0.41149060172675095,-12.229076402470326,-10.046926932573221,-6.8451069017302615,1.8309450834541476,91.0,0.0,-3.7742050852220776,30.55662411832448
ETH/USDT:USDT,15m,is,long,1750172400000,True,-1.0,-0.018553961876387248,0.890020366598778,0.35215709756000396,-0.003629080415535668,4.568952645082852,4.2546394018175775,2.3022789554955523,261.0,1.0,-1.7904965845896395,35.81233780230532
