floor,hold,threshold,segment,num_trades,mean_net_r,se_net_r,mean_cost_r,mean_gross_r,median_stop_width
0.02,8,15.0,oos_warm,119,0.18352100212880235,0.3747318834032557,0.041404524166796325,0.22492552629559867,0.0249060844877191
0.02,12,15.0,full,521,0.22962646769030462,0.10671863350875133,0.04050110951898606,0.2701275772092907,0.026587644347963176
0.02,12,15.0,is,402,0.24254832216681202,0.07079549608323107,0.04033247142382146,0.28288079359063345,0.026931418259190334
0.02,12,15.0,oos_warm,119,0.1859744887024391,0.4027070757718304,0.04107079451273534,0.22704528321517445,0.0249060844877191
0.02,16,15.0,full,521,0.213640696132578,0.11026833237633646,0.04062025864056581,0.2542609547731438,0.026587644347963176
0.02,16,15.0,is,402,0.22841749342398873,0.07742619253197698,0.040405053168777454,0.26882254659276617,0.026931418259190334
0.02,16,15.0,oos_warm,119,0.16372243973638406,0.4071173024133516,0.041347255276355126,0.2050696950127392,0.0249060844877191
0.02,24,15.0,full,521,0.167407226599332,0.11329544721271664,0.04083695739395252,0.2082441839932845,0.026587644347963176
0.02,24,15.0,is,402,0.17425059134964313,0.08250182244971763,0.04097467626934196,0.21522526761898508,0.026931418259190334
0.02,24,15.0,oos_warm,119,0.14428930534197848,0.4117089433391759,0.04037172220146062,0.1846610275434391,0.0249060844877191
0.02,4,20.0,full,1020,0.0858556522839185,0.05455065310509234,0.04120665735847765,0.12706230964239615,0.026005467247765243
0.02,4,20.0,is,818,0.09607287683131985,0.04272207301560913,0.040901537163651955,0.1369744139949718,0.02626301154901898
0.02,4,20.0,oos_warm,202,0.04448095089889704,0.2147664863826748,0.042442243097920385,0.08692319399681742,0.02483586033623922
0.02,8,20.0,full,1020,0.12915630493466962,0.05878141109978336,0.04128000808777748,0.1704363130224471,0.026005467247765243
0.02,8,20.0,is,818,0.15675036493460662,0.048033693499415955,0.04113954499017085,0.19788990992477745,0.02626301154901898
0.02,8,20.0,oos_warm,202,0.01741402236066747,0.2244937846252896,0.04184881409689737,0.05926283645756484,0.02483586033623922
0.02,12,20.0,full,1020,0.16833094204658156,0.06645004417036203,0.04148851015138588,0.20981945219796744,0.026005467247765243
0.02,12,20.0,is,818,0.19994731310808242,0.05732278168167102,0.04145034217100837,0.2413976552790908,0.02626301154901898
0.02,12,20.0,oos_warm,202,0.04030029091634474,0.24258769956515444,0.04164307157687497,0.0819433624932197,0.02483586033623922
0.02,16,20.0,full,1020,0.1636524617105372,0.06949353098327778,0.041653688664058545,0.20530615037459576,0.026005467247765243
0.02,16,20.0,is,818,0.1918862953751048,0.06138973514610238,0.041581122896196226,0.23346741827130102,0.02626301154901898
0.02,16,20.0,oos_warm,202,0.04931941251441631,0.24802026439486755,0.04194754410025356,0.09126695661466987,0.02483586033623922
0.02,24,20.0,full,1020,0.12395825544774645,0.07017552823657247,0.04206595468596624,0.16602421013371269,0.026005467247765243
0.02,24,20.0,is,818,0.14460050008932118,0.061209186123992246,0.04225172211261251,0.1868522222019337,0.02626301154901898
0.02,24,20.0,oos_warm,202,0.04036738358236009,0.253682021613167,0.041313688572121594,0.08168107215448168,0.02483586033623922
0.02,4,25.0,full,1612,0.1268364629693127,0.042712473004675997,0.04142330977501933,0.16825977274433201,0.02582062860232526
0.02,4,25.0,is,1319,0.1502824875466428,0.04024561992971674,0.04104166442760432,0.19132415197424713,0.026153632941672517
0.02,4,25.0,oos_warm,293,0.021289342090478433,0.1497253035407068,0.0431413651103109,0.06443070720078933,0.024719593918694625
0.02,8,25.0,full,1612,0.18919992362014784,0.049102632078231866,0.041452983131050225,0.23065290675119807,0.02582062860232526
0.02,8,25.0,is,1319,0.23079315548104856,0.04872635443513834,0.0411491555635114,0.27194231104455996,0.026153632941672517
0.02,8,25.0,oos_warm,293,0.0019594020347258575,0.15746266890451982,0.0428207256620525,0.04478012769677836,0.024719593918694625
0.02,12,25.0,full,1612,0.21045510563014855,0.054663326795610694,0.04167888426514611,0.2521339898952947,0.02582062860232526
