segment,axis,bucket,arm,category,num_trades,trade_share,net_r_sum,gain_share,loss_share,win_rate
full,timeframe,4h,2_교차,트리거 안 옴,879,0.42732134175984443,-560.2104418408126,0.17518784069450963,0.6045673256023949,0.16837315130830488
full,timeframe,4h,C_고정오프셋,트리거 전에 이미 익절,29,0.014098201263976665,41.12557279401219,0.03317950170114645,0.0,1.0
full,timeframe,4h,C_고정오프셋,트리거 전에 이미 손절,75,0.036460865337870685,-81.87265698479753,0.0,0.06367441552148678,0.0
full,timeframe,4h,C_고정오프셋,아직 들고 있음,1575,0.7656781720952844,380.47263494949385,0.9565968698491597,0.626237493495335,0.5085714285714286
full,timeframe,4h,C_고정오프셋,트리거 안 옴,378,0.18376276130286825,-386.03966457469687,0.010223628449693361,0.3100880909831769,0.023809523809523808
is,overall,전체,1_봉마감,트리거 전에 이미 익절,4715,0.13631501344358032,6804.656495779054,0.3349291635124447,0.0,1.0
is,overall,전체,1_봉마감,트리거 전에 이미 손절,118,0.003411489201769349,-137.8291463228928,0.0,0.00588949051115526,0.0
is,overall,전체,1_봉마감,아직 들고 있음,11877,0.34337506143571656,3778.9018249777023,0.4730153020397396,0.24916975616975404,0.5567062389492295
is,overall,전체,1_봉마감,트리거 안 옴,17879,0.5168984359189338,-13531.584229714612,0.19205553444781334,0.7449407533190798,0.15140667822585155
is,overall,전체,2_교차,트리거 전에 이미 익절,2584,0.07470583133366099,3731.937720477906,0.18368815233737992,0.0,1.0
is,overall,전체,2_교차,트리거 전에 이미 손절,705,0.02038220243429992,-817.9405574999194,0.0,0.03495090320591135,0.0
is,overall,전체,2_교차,아직 들고 있음,18246,0.5275087455549452,4502.649627231673,0.6932369038985169,0.4094269851327313,0.532829113230297
is,overall,전체,2_교차,트리거 안 옴,13054,0.37740322067709386,-10502.501845490424,0.1230749437640997,0.5556221116613486,0.13237321893672438
is,overall,전체,C_고정오프셋,트리거 전에 이미 익절,2656,0.07678741796524907,3746.0223218653414,0.18438140463659974,0.0,1.0
is,overall,전체,C_고정오프셋,트리거 전에 이미 손절,828,0.023938246263262887,-948.1330351942054,0.0,0.040514076035901764,0.0
is,overall,전체,C_고정오프셋,아직 들고 있음,17408,0.5032813900372951,7413.347087911145,0.7438372001765277,0.328979958592853,0.5936925551470589
is,overall,전체,C_고정오프셋,트리거 안 옴,13697,0.39599294573419297,-13297.091429863027,0.0717813951868699,0.6305059653712354,0.0761480616193327
is,timeframe,15m,1_봉마감,트리거 전에 이미 익절,3171,0.1324229516411927,4544.633183119765,0.32475884481367706,0.0,1.0
is,timeframe,15m,1_봉마감,트리거 전에 이미 손절,89,0.0037166958991063227,-106.50750462687589,0.0,0.006445269860604836,0.0
is,timeframe,15m,1_봉마감,아직 들고 있음,8570,0.35788858264428297,2761.1084901744007,0.49893254797727304,0.25542583352616066,0.5632438739789964
is,timeframe,15m,1_봉마감,트리거 안 옴,12116,0.505971769815418,-9730.27381574396,0.17630860720905256,0.7381288966132311,0.14212611422911853
is,timeframe,15m,2_교차,트리거 전에 이미 익절,1618,0.06756869623319135,2320.2298193579973,0.16580329489203846,0.0,1.0
is,timeframe,15m,2_교차,트리거 전에 이미 손절,443,0.01849995823937192,-527.5176423788968,0.0,0.03192257271704097,0.0
is,timeframe,15m,2_교차,아직 들고 있음,13181,0.5504468387204543,3096.0391933873675,0.724241566800584,0.4259571403659093,0.5334951824596009
is,timeframe,15m,2_교차,트리거 안 옴,8704,0.36348450680698235,-7419.7910174431245,0.10995513830737871,0.5421202869170505,0.12293198529411764
is,timeframe,15m,C_고정오프셋,트리거 전에 이미 익절,2317,0.09675937526100392,3267.8370535332624,0.23351917388770804,0.0,1.0
is,timeframe,15m,C_고정오프셋,트리거 전에 이미 손절,450,0.018792282635930843,-525.6430749578567,0.0,0.031809133828928554,0.0
is,timeframe,15m,C_고정오프셋,아직 들고 있음,10249,0.42800467719034496,5219.850815581415,0.6735620462141161,0.25451812750243036,0.6315738120792272
is,timeframe,15m,C_고정오프셋,트리거 안 옴,10930,0.4564436649127203,-10493.08444123347,0.09291877989817608,0.7136727386686417,0.08508691674290943
is,timeframe,1h,1_봉마감,트리거 전에 이미 익절,912,0.14545454545454545,1329.2736447614454,0.3634081090730305,0.0,1.0
is,timeframe,1h,1_봉마감,트리거 전에 이미 손절,15,0.0023923444976076554,-16.607663663534247,0.0,0.004005554043437393,0.0
is,timeframe,1h,1_봉마감,아직 들고 있음,1989,0.31722488038277513,555.3715545490802,0.42409832745022197,0.24019693851274243,0.5314228255404726
is,timeframe,1h,1_봉마감,트리거 안 옴,3354,0.5349282296650718,-2356.3979414258342,0.21249356347675188,0.7557975074438219,0.15980918306499703
is,timeframe,1h,2_교차,트리거 전에 이미 익절,546,0.08708133971291866,794.8873570418496,0.21731305099370898,0.0,1.0
is,timeframe,1h,2_교차,트리거 전에 이미 손절,161,0.025677830940988834,-180.94110833542442,0.0,0.04364065908369713,0.0
is,timeframe,1h,2_교차,아직 들고 있음,3035,0.4840510366826156,808.4702145784214,0.6434712734974409,0.37268664464310697,0.5301482701812191
is,timeframe,1h,2_교차,트리거 안 옴,2528,0.4031897926634769,-1910.7768690636897,0.13921567550885358,0.5836726962731981,0.13844936708860758
is,timeframe,1h,C_고정오프셋,트리거 전에 이미 익절,252,0.04019138755980861,355.530728889098,0.09719800765788174,0.0,1.0
is,timeframe,1h,C_고정오프셋,트리거 전에 이미 손절,210,0.03349282296650718,-237.68797208723498,0.0,0.057327269925446546,0.0
is,timeframe,1h,C_고정오프셋,아직 들고 있음,3902,0.6223285486443381,1321.4144546793275,0.8690957164339247,0.4480201085675155,0.5548436699128652
is,timeframe,1h,C_고정오프셋,트리거 안 옴,1906,0.3039872408293461,-1927.6176172600358,0.03370627590819551,0.4946526215070404,0.046169989506820566
is,timeframe,2h,1_봉마감,트리거 전에 이미 익절,433,0.1457912457912458,636.4427053397865,0.3553182890368543,0.0,1.0
is,timeframe,2h,1_봉마감,트리거 전에 이미 손절,10,0.003367003367003367,-10.588653672988874,0.0,0.005638933814765067,0.0
is,timeframe,2h,1_봉마감,아직 들고 있음,901,0.30336700336700334,301.5512082229577,0.40637915088126836,0.22705118123102003,0.5471698113207547
is,timeframe,2h,1_봉마감,트리거 안 옴,1626,0.5474747474747474,-1013.9907067568206,0.23830256008187664,0.7673098849542155,0.1795817958179582
