scope,segment,multiple,reason,count,priced,hypo_total_r,hypo_mean_r,hypo_win_rate,hypo_return_sum,actual_trades,actual_total_r,actual_mean_r,actual_win_rate,actual_return_sum
15m,oos,3.0,cell_busy,382,322,7.333378718576854,0.02277446807011445,0.5031055900621118,0.34418020527568716,1954,269.5177530897207,0.13793129636116722,0.54503582395087,5.247314450912407
15m,oos,3.0,notional,926,675,115.28301168126323,0.1707896469352048,0.5555555555555556,2.159477298833063,1954,269.5177530897207,0.13793129636116722,0.54503582395087,5.247314450912407
15m,oos,5.0,cell_busy,377,322,19.724407386818097,0.06125592356154688,0.5186335403726708,0.8026054432652133,1954,269.9424683711318,0.13814865320938166,0.54503582395087,8.622692242384478
15m,oos,5.0,notional,925,675,102.46726773161089,0.1518033596023865,0.5481481481481482,3.4043828970424674,1954,269.9424683711318,0.13814865320938166,0.54503582395087,8.622692242384478
1h,full,1.0,cell_busy,403,393,84.06793915243702,0.21391333117668454,0.539440203562341,0.6913074890755743,1945,709.2269458473605,0.3646411032634244,0.596401028277635,5.480860719286941
1h,full,1.0,notional,340,323,90.35393437861156,0.27973354296783765,0.56656346749226,0.7386323941573849,1945,709.2269458473605,0.3646411032634244,0.596401028277635,5.480860719286941
1h,full,2.0,cell_busy,403,393,91.455430553987,0.23271101922134096,0.5470737913486005,1.4907416456556393,1947,716.3795858194512,0.3679402084332056,0.5978428351309707,10.943995191979317
1h,full,2.0,notional,339,321,75.81380300497077,0.2361800716665756,0.5482866043613707,1.2728778046155773,1947,716.3795858194512,0.3679402084332056,0.5978428351309707,10.943995191979317
1h,full,3.0,cell_busy,402,392,87.62984617739795,0.22354552596274987,0.5433673469387755,2.1383664604416603,1948,715.4291114720166,0.3672634042464151,0.5975359342915811,16.43446840912218
1h,full,3.0,notional,339,321,80.58986172899476,0.25105875928035754,0.5545171339563862,2.0652693243451075,1948,715.4291114720166,0.3672634042464151,0.5975359342915811,16.43446840912218
1h,full,5.0,cell_busy,401,391,86.37169031336495,0.2208994637170459,0.5421994884910486,3.5351758713652255,1941,711.1446465455649,0.3663805494825167,0.5971148892323545,27.376837759872817
1h,full,5.0,notional,346,329,86.13248251947918,0.26180085872182124,0.5592705167173252,3.541156915605437,1941,711.1446465455649,0.3663805494825167,0.5971148892323545,27.376837759872817
1h,is,1.0,cell_busy,257,253,80.19299889361837,0.3169683750735904,0.5770750988142292,0.6574682017316243,1289,557.4354694173506,0.4324557559482938,0.6190845616757176,4.324262723582127
1h,is,1.0,notional,197,194,62.80598433898525,0.32374218731435694,0.5824742268041238,0.5173847292970765,1289,557.4354694173506,0.4324557559482938,0.6190845616757176,4.324262723582127
1h,is,2.0,cell_busy,259,255,82.88970987099695,0.3250576857686155,0.5803921568627451,1.3577638750128251,1293,560.0005935411646,0.43310177381373904,0.6194895591647331,8.631543455114862
