symbol,timeframe,segment,arm,lens,num_candidates,num_trades,win_rate,total_return,max_drawdown
TRX/USDT:USDT,2h,oos_warm,off,baseline,55,42,0.5714285714285714,0.0946160645558857,0.0216291330677984
TRX/USDT:USDT,2h,oos_warm,freeze,baseline,84,61,0.6229508196721312,0.2232496251793514,0.0258700277304531
TRX/USDT:USDT,2h,oos_warm,band,baseline,78,55,0.6,0.1831915571165538,0.0409726781886672
TRX/USDT:USDT,2h,oos,off,baseline,55,42,0.5714285714285714,0.0946160645558857,0.0216291330677984
TRX/USDT:USDT,2h,oos,freeze,baseline,84,61,0.6229508196721312,0.2232496251793514,0.0258700277304531
TRX/USDT:USDT,2h,oos,band,baseline,78,55,0.6,0.1831915571165538,0.0409726781886672
TRX/USDT:USDT,4h,full,off,baseline,86,69,0.6666666666666666,0.4472588997146611,0.0317474922235551
TRX/USDT:USDT,4h,full,freeze,baseline,132,96,0.6666666666666666,0.6384068763498635,0.0435526871350639
TRX/USDT:USDT,4h,full,band,baseline,121,85,0.6470588235294118,0.5206296454139483,0.0433244680677808
TRX/USDT:USDT,4h,is,off,baseline,50,44,0.75,0.3838351448718414,0.0317474922235551
TRX/USDT:USDT,4h,is,freeze,baseline,79,60,0.7333333333333333,0.5146095882636555,0.0317474922235551
TRX/USDT:USDT,4h,is,band,baseline,72,53,0.7547169811320755,0.4847450239032591,0.031747492223555
TRX/USDT:USDT,4h,oos_warm,off,baseline,36,25,0.52,0.0458318717210302,0.0226441336220705
TRX/USDT:USDT,4h,oos_warm,freeze,baseline,53,36,0.5555555555555556,0.0817354445960751,0.043552687135064
TRX/USDT:USDT,4h,oos_warm,band,baseline,49,32,0.46875,0.0241688781123861,0.0433244680677807
TRX/USDT:USDT,4h,oos,off,baseline,36,25,0.52,0.0458318717210302,0.0226441336220705
TRX/USDT:USDT,4h,oos,freeze,baseline,53,36,0.5555555555555556,0.0817354445960751,0.043552687135064
TRX/USDT:USDT,4h,oos,band,baseline,49,32,0.46875,0.0241688781123861,0.0433244680677807
DOGE/USDT:USDT,1h,full,off,baseline,292,232,0.6077586206896551,1.385969872403974,0.0587096883519335
DOGE/USDT:USDT,1h,full,freeze,baseline,431,288,0.5763888888888888,1.3744854241259017,0.077560093811829
DOGE/USDT:USDT,1h,full,band,baseline,413,268,0.5708955223880597,1.170829517978415,0.0708498827513385
DOGE/USDT:USDT,1h,is,off,baseline,185,143,0.6713286713286714,1.1806061751480854,0.0488365475585399
DOGE/USDT:USDT,1h,is,freeze,baseline,276,181,0.6243093922651933,1.192959931899475,0.0495491022592393
DOGE/USDT:USDT,1h,is,band,baseline,269,169,0.6272189349112426,1.0940846928118315,0.0495491022592393
DOGE/USDT:USDT,1h,oos_warm,off,baseline,107,89,0.5056179775280899,0.0941773437112928,0.0587096883519338
DOGE/USDT:USDT,1h,oos_warm,freeze,baseline,155,107,0.4953271028037383,0.0827764746568796,0.0775600938118288
DOGE/USDT:USDT,1h,oos_warm,band,baseline,144,99,0.4747474747474747,0.0366483864907735,0.0708498827513384
DOGE/USDT:USDT,1h,oos,off,baseline,107,89,0.5056179775280899,0.0941773437112928,0.0587096883519338
DOGE/USDT:USDT,1h,oos,freeze,baseline,155,107,0.4953271028037383,0.0827764746568796,0.0775600938118288
DOGE/USDT:USDT,1h,oos,band,baseline,144,99,0.4747474747474747,0.0366483864907735,0.0708498827513384
