lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
baseline,12,1h,oos_warm,,12,1059,0.5495750708215298,6.688676508962242,0.10764330255290586,6,0.05592886450718982,4.817277512557705,0,615,229,0
baseline,12,1h,full,,12,2995,0.5906510851419031,6097.982332433021,0.10764330255290609,6,0.05592886450718981,5.0,0,1448,634,0
baseline,12,4h,oos_warm,,12,284,0.5528169014084507,1.2479136513898055,0.08404427659855242,6,0.055353752947280635,3.427839819273697,0,39,67,0
baseline,12,4h,full,,12,747,0.5957161981258366,18.182318031939953,0.14512646492750564,7,0.07,3.4278398192736965,0,72,152,0
baseline,15,all,oos_warm,,30,1634,0.5514075887392901,31.51095373208134,0.14430028224717656,9,0.0825205829180841,5.0,0,799,356,3
baseline,15,all,oos_warm,BTC,28,1534,0.5534550195567145,29.207369829465133,0.1343241996857626,9,0.08252058291808412,5.000000000000001,0,721,336,3
baseline,15,all,oos_warm,ETH,28,1518,0.5395256916996047,17.31320002849913,0.1353044249077886,9,0.07909073974628192,5.0,0,738,329,3
baseline,15,all,oos_warm,SOL,28,1505,0.5495016611295681,20.647300770903513,0.15926172181955742,9,0.08252058291808412,5.0,0,748,324,1
baseline,15,all,oos_warm,BNB,28,1535,0.552442996742671,25.738620686400715,0.13725357264386265,9,0.08252058291808409,5.0,0,744,344,3
baseline,15,all,oos_warm,XRP,28,1517,0.5550428477257745,28.072217166061005,0.14149637039849644,8,0.07942532254018704,5.0,0,740,320,2
baseline,15,all,oos_warm,TRX,28,1544,0.552461139896373,28.04806508127476,0.16508121019769048,9,0.0825205829180841,5.0,0,725,343,3
baseline,15,all,oos_warm,DOGE,28,1524,0.5538057742782152,26.76575861805057,0.146463853273714,9,0.08252058291808412,5.0,0,756,330,2
baseline,15,all,oos_warm,LINK,28,1524,0.55249343832021,24.935253473213308,0.12512084823094122,9,0.07952276667748889,5.000000000000001,0,759,339,2
baseline,15,all,oos_warm,LTC,28,1527,0.5540275049115914,27.201511483305918,0.13485070702941093,9,0.08252058291808412,5.0,0,750,323,1
baseline,15,all,oos_warm,ADA,28,1510,0.552317880794702,24.85948176280989,0.12943801358592333,8,0.08032588431677772,5.0,0,755,326,1
baseline,15,all,oos_warm,DOT,28,1520,0.555921052631579,29.027244349381007,0.12888276364016238,8,0.07909057595825854,5.000000000000001,0,742,327,1
baseline,15,all,oos_warm,BCH,28,1518,0.5487483530961792,21.861686114901833,0.14437802181974346,9,0.08252058291808409,5.0,0,742,335,3
baseline,15,all,oos_warm,ETC,28,1530,0.550326797385621,23.251224204411223,0.14280209992310589,9,0.08252058291808412,5.0,0,752,330,2
baseline,15,all,oos_warm,ATOM,28,1532,0.5509138381201044,24.8598736428794,0.14430028224717628,9,0.0825205829180841,5.0,0,748,335,3
baseline,15,all,oos_warm,XLM,28,1548,0.5523255813953488,26.851834761152865,0.14197599455368998,8,0.08005150248192262,5.0,0,754,343,2
baseline,15,all,full,,30,4648,0.5910068846815835,1945766.3619738761,0.14430028224717634,12,0.12043388010398917,5.0,0,1840,977,9
baseline,15,all,full,BTC,28,4345,0.5894131185270426,815894.7074823597,0.13432419968576237,10,0.1002169400519946,5.000000000000001,0,1650,928,5
baseline,15,all,full,ETH,28,4332,0.5881809787626963,637869.8837976683,0.1353044249077881,11,0.11021642276798167,5.0,0,1700,910,7
baseline,15,all,full,SOL,28,4295,0.5939464493597206,745562.7158851435,0.15926172181955803,12,0.1204338801039892,5.0,0,1750,898,7
baseline,15,all,full,BNB,28,4369,0.5898374914168002,739785.3018791662,0.1372535726438625,11,0.1102128018631295,5.0,0,1712,932,7
baseline,15,all,full,XRP,28,4347,0.5893719806763285,646028.9926133929,0.1414963703984974,12,0.12043388010398919,5.000000000000001,0,1703,906,6
baseline,15,all,full,TRX,28,4354,0.5875057418465779,652989.1562155369,0.16508121019769023,10,0.10021694005199461,5.0,0,1655,919,7
baseline,15,all,full,DOGE,28,4355,0.5901262916188289,657763.5300545138,0.14646385327371356,11,0.11043388010398916,5.0,0,1753,908,7
