segment,indicator,convention,bucket,order,num_trades,share_of_trades,win_rate,mean_net_r,sum_net_r,share_of_total_net_r,total_trades,zero_duration_trades,negative_raw_trades,negative_raw_min
oos_warm,realized_net_r_today_before,settled,[-10R ~ -5R),3,2081,0.14020076803880618,0.4103796251802018,-0.0905363058621186,-188.4060524990688,0.10513016017832384,14843,2711,0,0
oos_warm,realized_net_r_today_before,settled,[-20R ~ -10R),4,2009,0.13534999663140873,0.3758088601294176,-0.17979721876774185,-361.2126125043934,0.20155583808118577,14843,2711,0,0
oos_warm,realized_net_r_today_before,settled,< -20R,5,2336,0.15738058344000538,0.3120719178082192,-0.3252586006745928,-759.8040911758487,0.4239690007297273,14843,2711,0,0
oos,open_cells_before,wan408,0–1,0,4459,0.3067978533094812,0.36891679748822603,-0.20460663737134552,-912.3409960388296,0.5036345134543856,14534,2582,2311,-131
oos,open_cells_before,wan408,2–3,1,3271,0.2250584835558002,0.4212778966676857,-0.0725066980130366,-237.1694092006427,0.13092330666673896,14534,2582,2311,-131
oos,open_cells_before,wan408,4–6,2,4406,0.30315123159488094,0.42056286881525196,-0.06959160319079012,-306.6206036586213,0.16926206233105343,14534,2582,2311,-131
oos,open_cells_before,wan408,7–10,3,2196,0.15109398651438008,0.38979963570127507,-0.13749770601987762,-301.9449624196513,0.16668099416608007,14534,2582,2311,-131
oos,open_cells_before,wan408,11+,4,202,0.013898445025457548,0.33663366336633666,-0.2645449326803221,-53.43807640142506,0.029499123381741092,14534,2582,2311,-131
oos,open_cells_before,interval,0–1,0,2975,0.2046924453006743,0.3684033613445378,-0.20615181351698297,-613.3016452130244,0.33855748785675494,14534,2582,2311,-131
oos,open_cells_before,interval,2–3,1,4002,0.2753543415439659,0.4065467266366817,-0.10840845566917433,-433.8506395880357,0.23949614971757208,14534,2582,2311,-131
oos,open_cells_before,interval,4–6,2,4881,0.3358332186596945,0.414259373079287,-0.08619863442452498,-420.7355346261064,0.2322562914462867,14534,2582,2311,-131
oos,open_cells_before,interval,7–10,3,2461,0.1693270950873813,0.39821210889882164,-0.11919357198736547,-293.3353806609064,0.16192829474893508,14534,2582,2311,-131
oos,open_cells_before,interval,11+,4,215,0.014792899408284023,0.3488372093023256,-0.23391091921440915,-50.29084763109797,0.027761776230450886,14534,2582,2311,-131
oos,open_cells_before,open_end,0–1,0,2186,0.15040594468143664,0.358188472095151,-0.23560145471937938,-515.0247800165633,0.2843062578868859,14534,2582,2311,-131
oos,open_cells_before,open_end,2–3,1,2961,0.20372918673455345,0.4316109422492401,-0.04707762784611781,-139.39685605235485,0.07695046926512421,14534,2582,2311,-131
oos,open_cells_before,open_end,4–6,2,5011,0.34477776248795927,0.41688285771303135,-0.08156279577650799,-408.71116963608154,0.2256185482804722,14534,2582,2311,-131
oos,open_cells_before,open_end,7–10,3,3766,0.2591165542865006,0.3871481678173128,-0.1468575353251518,-553.0654780345217,0.3053056523248448,14534,2582,2311,-131
oos,open_cells_before,open_end,11+,4,610,0.04197055180955002,0.31475409836065577,-0.3201897770158155,-195.31576397964747,0.10781907224267143,14534,2582,2311,-131
oos,realized_net_r_today_before,strict,≥ 0R,0,5479,0.3769781202697124,0.42416499361197296,-0.07271608214183918,-398.41141405513685,0.21993283163151062,14534,2582,0,0
oos,realized_net_r_today_before,strict,[-3R ~ 0R),1,2247,0.15460299986239162,0.3951935914552737,-0.1406079735044239,-315.9461164644405,0.17440997317257337,14534,2582,0,0
oos,realized_net_r_today_before,strict,[-5R ~ -3R),2,1163,0.08001926517132242,0.4075666380051591,-0.09641679709734799,-112.1327350242157,0.061900008540038104,14534,2582,0,0
oos,realized_net_r_today_before,strict,[-10R ~ -5R),3,2032,0.1398101004541076,0.42273622047244097,-0.05799462060255671,-117.84506906439523,0.06505335645217368,14534,2582,0,0
oos,realized_net_r_today_before,strict,[-20R ~ -10R),4,1679,0.11552222375120408,0.38594401429422276,-0.15100899682607363,-253.54410567097761,0.13996253906515832,14534,2582,0,0
oos,realized_net_r_today_before,strict,< -20R,5,1934,0.13306729049126187,0.3138572905894519,-0.317287801158224,-613.6346074400053,0.33874129113854573,14534,2582,0,0
oos,realized_net_r_today_before,settled,≥ 0R,0,4924,0.33879179854135133,0.43826157595450854,-0.03604935583433021,-177.50702812824196,0.09798821507994171,14534,2582,0,0
