symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,arm
BNB/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,560,0.4607142857142857,-0.11313410260916626,0.32055867495324125,-4.171972697387739,0.948226630231753,0.15178571428571427,0.7970204841713222,1611,1284,1.0,Cadopt
BNB/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,333,0.38738738738738737,-0.40047922338566805,0.4187791900320793,-35.56832563920618,0.659561168266013,-0.03153153153153153,0.6022727272727273,880,530,1.0,A
BNB/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,313,0.38977635782747605,-0.3756216243463783,0.39426552692889966,-34.314876212030924,0.6687300347456616,-0.025559105431309903,0.5707547169811321,848,484,1.0,B
BNB/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,231,0.4675324675324675,-0.05198478667350628,0.09712322829284373,-4.394153954181496,0.9430927707962791,0.16883116883116883,0.46226415094339623,848,392,1.0,C
BNB/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,275,0.4618181818181818,-0.1297496248694055,0.16341114431802214,-10.898492423752462,0.8732641039474986,0.15454545454545454,0.7724056603773585,848,655,1.0,Cadopt
XRP/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,735,0.47210884353741495,0.08758408451771683,0.1444189819760612,3.17170975148525,1.0266431630131334,0.18027210884353742,0.5638716938660664,1777,1002,1.0,A
XRP/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,700,0.4614285714285714,0.012287046695925893,0.13731227349397188,1.2218210812890908,1.0040023283970556,0.15357142857142858,0.5437893531768746,1747,950,1.0,B
XRP/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,536,0.5018656716417911,0.491004411526126,0.11618309664101051,15.695424998383817,1.1905926267124447,0.25466417910447764,0.45163136805953064,1747,789,1.0,C
XRP/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,664,0.4879518072289157,0.3333129904481464,0.14118043604021674,9.590164981883278,1.10900258914894,0.21987951807228914,0.7578706353749285,1747,1324,1.0,Cadopt
XRP/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,404,0.4603960396039604,-0.20006053493290366,0.3006490511779861,-11.485114423088481,0.8703711072490671,0.15099009900990099,0.5585054080629301,1017,568,1.0,A
XRP/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,376,0.4654255319148936,-0.16508821130211473,0.26313335851019837,-9.730795071275978,0.886700788691638,0.16356382978723405,0.5306748466257669,978,519,1.0,B
XRP/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,279,0.4838709677419355,-0.03021216698788412,0.14149704245334108,-1.6335813655665798,0.9725554762063368,0.20967741935483872,0.42024539877300615,978,411,1.0,C
XRP/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,355,0.49014084507042255,-0.003648002761549287,0.1898492360537294,0.5523458741808377,0.9974470869122212,0.22535211267605634,0.7638036809815951,978,747,1.0,Cadopt
TRX/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,471,0.4033970276008493,-0.39615762176484143,0.46908629361733695,-27.410168783067736,0.7185246449248064,0.008492569002123142,0.6283697047496791,1558,979,1.0,A
TRX/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,444,0.40765765765765766,-0.3593969855786607,0.43516832096474983,-25.385329300130397,0.7350027637135592,0.019144144144144143,0.6051040967092008,1489,901,1.0,B
TRX/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,328,0.4115853658536585,-0.24321877063556385,0.32422940691770996,-21.40421759096226,0.771311325241905,0.028963414634146343,0.4882471457353929,1489,727,1.0,C
TRX/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752479100000,70208,376,0.4122340425531915,-0.2633916458751035,0.34102779723590243,-20.587871465543543,0.7796657824717693,0.030585106382978722,0.7743451981195433,1489,1153,1.0,Cadopt
TRX/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,145,0.4,-0.16692225261529603,0.18014676651559403,-40.796877464074,0.6285671424969453,0.0,0.6119221411192214,822,503,1.0,A
TRX/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784072700000,35104,137,0.39416058394160586,-0.16190868322470486,0.1742632065466272,-41.37560804437107,0.6270016942821739,-0.014598540145985401,0.5764854614412137,791,456,1.0,B
