symbol,timeframe,segment,arm,lens,cost,num_candidates,num_trades,win_rate,total_return,max_drawdown
LINK/USDT:USDT,1h,oos,off,baseline,base,105,88,0.4659090909090909,0.0488561780015094,0.0626651099044172
LINK/USDT:USDT,1h,oos,on,baseline,base,157,106,0.4622641509433962,0.0327535229353274,0.0878411671381343
LINK/USDT:USDT,2h,full,off,baseline,base,145,119,0.5294117647058824,0.2941403274832184,0.0776689259860142
LINK/USDT:USDT,2h,full,on,baseline,base,208,153,0.5359477124183006,0.4337029904799678,0.1052935284152602
LINK/USDT:USDT,2h,is,off,baseline,base,93,75,0.5733333333333334,0.2663370052892196,0.0776689259860142
LINK/USDT:USDT,2h,is,on,baseline,base,137,101,0.5841584158415841,0.4074493112340886,0.061760883109599
LINK/USDT:USDT,2h,oos_warm,off,baseline,base,52,44,0.4545454545454545,0.0219557053753229,0.0713273468642891
LINK/USDT:USDT,2h,oos_warm,on,baseline,base,71,52,0.4423076923076923,0.0186533746091783,0.1052935284152601
LINK/USDT:USDT,2h,oos,off,baseline,base,51,43,0.4418604651162791,0.0070827723730149,0.0778529407927208
LINK/USDT:USDT,2h,oos,on,baseline,base,68,49,0.4081632653061224,-0.0249815753353686,0.1052935284152601
LINK/USDT:USDT,4h,full,off,baseline,base,66,59,0.6101694915254238,0.3141448705692433,0.0410837164176741
LINK/USDT:USDT,4h,full,on,baseline,base,103,75,0.5733333333333334,0.3262249230621148,0.0437073519486424
LINK/USDT:USDT,4h,is,off,baseline,base,46,40,0.55,0.1358598116848801,0.0410837164176741
LINK/USDT:USDT,4h,is,on,baseline,base,72,52,0.5384615384615384,0.1698046332570926,0.0437073519486424
LINK/USDT:USDT,4h,oos_warm,off,baseline,base,20,19,0.7368421052631579,0.1569604426975043,0.0105782285570358
LINK/USDT:USDT,4h,oos_warm,on,baseline,base,31,23,0.6521739130434783,0.1337148831164237,0.0209313234894357
LINK/USDT:USDT,4h,oos,off,baseline,base,20,19,0.7368421052631579,0.1569604426975043,0.0105782285570358
LINK/USDT:USDT,4h,oos,on,baseline,base,31,23,0.6521739130434783,0.1337148831164237,0.0209313234894357
LTC/USDT:USDT,1h,full,off,baseline,base,303,242,0.5454545454545454,0.549485978278709,0.0858089221218954
LTC/USDT:USDT,1h,full,on,baseline,base,427,294,0.5510204081632653,0.8482196791439579,0.0959280778798603
LTC/USDT:USDT,1h,is,off,baseline,base,193,158,0.5632911392405063,0.3963446677840053,0.0858089221218954
LTC/USDT:USDT,1h,is,on,baseline,base,267,189,0.5608465608465608,0.5323042282636766,0.0959280778798603
LTC/USDT:USDT,1h,oos_warm,off,baseline,base,110,84,0.5119047619047619,0.1096730012495687,0.0795865087595633
LTC/USDT:USDT,1h,oos_warm,on,baseline,base,160,105,0.5333333333333333,0.206170188043048,0.0827348437293331
LTC/USDT:USDT,1h,oos,off,baseline,base,110,84,0.5119047619047619,0.1096730012495687,0.0795865087595633
LTC/USDT:USDT,1h,oos,on,baseline,base,160,105,0.5333333333333333,0.206170188043048,0.0827348437293331
LTC/USDT:USDT,2h,full,off,baseline,base,131,120,0.6,0.5179563438310377,0.0325522250927827
LTC/USDT:USDT,2h,full,on,baseline,base,203,150,0.5933333333333334,0.6900720956315461,0.0488561236570715
LTC/USDT:USDT,2h,is,off,baseline,base,79,73,0.6301369863013698,0.3802519613848371,0.031390568071097
LTC/USDT:USDT,2h,is,on,baseline,base,118,92,0.6195652173913043,0.4914728416977428,0.0313905680710971
LTC/USDT:USDT,2h,oos_warm,off,baseline,base,52,47,0.5531914893617021,0.0997675687474047,0.0325522250927826
LTC/USDT:USDT,2h,oos_warm,on,baseline,base,85,58,0.5517241379310345,0.1331564668034701,0.048856123657072
LTC/USDT:USDT,2h,oos,off,baseline,base,52,47,0.5531914893617021,0.0997675687474047,0.0325522250927826
LTC/USDT:USDT,2h,oos,on,baseline,base,85,58,0.5517241379310345,0.1331564668034701,0.048856123657072
LTC/USDT:USDT,4h,full,off,baseline,base,67,53,0.5849056603773585,0.2328380798014868,0.0410833160983269
LTC/USDT:USDT,4h,full,on,baseline,base,100,66,0.5606060606060606,0.2464102039135101,0.0410833160983271
LTC/USDT:USDT,4h,is,off,baseline,base,30,28,0.6071428571428571,0.1360661364822661,0.020858455133549
LTC/USDT:USDT,4h,is,on,baseline,base,45,34,0.5588235294117647,0.1222060329007587,0.0274694527995007
LTC/USDT:USDT,4h,oos_warm,off,baseline,base,37,25,0.56,0.0851816106576918,0.0410833160983271
LTC/USDT:USDT,4h,oos_warm,on,baseline,base,55,32,0.5625,0.1106785807341455,0.0410833160983269
LTC/USDT:USDT,4h,oos,off,baseline,base,37,25,0.56,0.0851816106576918,0.0410833160983271
LTC/USDT:USDT,4h,oos,on,baseline,base,55,32,0.5625,0.1106785807341455,0.0410833160983269
BTC/USDT:USDT,1h,full,off,baseline,taker5,344,254,0.610236220472441,0.9433574557351574,0.0516236081528426
BTC/USDT:USDT,1h,full,on,baseline,taker5,512,319,0.6081504702194357,1.3508450366206388,0.0725896473004988
BTC/USDT:USDT,1h,is,off,baseline,taker5,220,169,0.6568047337278107,0.8536409692954013,0.0429253524061523
BTC/USDT:USDT,1h,is,on,baseline,taker5,332,214,0.6401869158878505,1.1150771960141406,0.0429253524061523
BTC/USDT:USDT,1h,oos_warm,off,baseline,taker5,124,85,0.5176470588235295,0.0484001421666127,0.0516236081528424
BTC/USDT:USDT,1h,oos_warm,on,baseline,taker5,180,105,0.5428571428571428,0.1114700877352379,0.0725896473004987
BTC/USDT:USDT,1h,oos,off,baseline,taker5,124,85,0.5176470588235295,0.0484001421666127,0.0516236081528424
BTC/USDT:USDT,1h,oos,on,baseline,taker5,180,105,0.5428571428571428,0.1114700877352379,0.0725896473004987
BTC/USDT:USDT,2h,full,off,baseline,taker5,161,120,0.6083333333333333,0.471820533444666,0.0465683699738678
BTC/USDT:USDT,2h,full,on,baseline,taker5,237,153,0.6143790849673203,0.686153135889161,0.0632356277934614
BTC/USDT:USDT,2h,is,off,baseline,taker5,105,80,0.6125,0.353691469242534,0.0465683699738678
BTC/USDT:USDT,2h,is,on,baseline,taker5,151,99,0.6161616161616161,0.4558980063634016,0.0632356277934614
BTC/USDT:USDT,2h,oos_warm,off,baseline,taker5,56,40,0.6,0.0872643928739777,0.0344426699730045
BTC/USDT:USDT,2h,oos_warm,on,baseline,taker5,86,54,0.6111111111111112,0.1581533380218705,0.0344426699730046
BTC/USDT:USDT,2h,oos,off,baseline,taker5,56,40,0.6,0.0872643928739777,0.0344426699730045
BTC/USDT:USDT,2h,oos,on,baseline,taker5,86,54,0.6111111111111112,0.1581533380218705,0.0344426699730046
BTC/USDT:USDT,4h,full,off,baseline,taker5,60,52,0.6346153846153846,0.2539972392859463,0.0528778691953538
BTC/USDT:USDT,4h,full,on,baseline,taker5,96,78,0.6410256410256411,0.4266102057177972,0.0415016598129157
BTC/USDT:USDT,4h,is,off,baseline,taker5,40,37,0.6756756756756757,0.2185522872847002,0.0528778691953538
BTC/USDT:USDT,4h,is,on,baseline,taker5,67,56,0.6428571428571429,0.2958576576314805,0.0415016598129157
BTC/USDT:USDT,4h,oos_warm,off,baseline,taker5,20,15,0.5333333333333333,0.0290877563245378,0.0473675198826418
BTC/USDT:USDT,4h,oos_warm,on,baseline,taker5,29,22,0.6363636363636364,0.1009003938945739,0.0294353599115591
