scope,universe,symbol,timeframe,segment,scenario,leverage,num_trades,total_return,max_drawdown,win_rate,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,skipped_zone,liquidations
pooled,1h_3sym,ALL,ALL,is,lev_3,3.0,468,0.8101732685582832,0.16830941873674965,0.5021367521367521,10.205064202424975,5,3.0000000000000004,0.05033478627776872,21.0,1.0,76.0,0.0
pooled,1h_3sym,ALL,ALL,is,peak_N,5.0,469,0.8695595318699659,0.16467103699498017,0.5031982942430704,10.647959109100507,5,5.0,0.05031835257193804,2.0,0.0,76.0,0.0
pooled,1h_3sym,ALL,ALL,oos,single,1.0,144,0.3038703949372362,0.061166197563778175,0.5416666666666666,16.056167653759438,1,1.0000000000000002,0.010000000000000002,54.0,0.0,33.0,0.0
pooled,1h_3sym,ALL,ALL,oos,lev_1,1.0,211,0.20479191273454872,0.09386374429314503,0.4928909952606635,8.429403330076102,4,1.0,0.036933930930881154,103.0,30.0,47.0,0.0
pooled,1h_3sym,ALL,ALL,oos,lev_2,2.0,230,0.20654125825361225,0.12267956439284518,0.4782608695652174,6.9686367815514405,6,2.0,0.060000000000000005,38.0,6.0,51.0,0.0
pooled,1h_3sym,ALL,ALL,oos,lev_3,3.0,234,0.19488492506459915,0.13850524675133305,0.47435897435897434,6.352642796892283,6,3.0000000000000004,0.06,8.0,1.0,52.0,0.0
pooled,1h_3sym,ALL,ALL,oos,peak_N,5.0,235,0.1512944921690032,0.16113491755522644,0.4723404255319149,5.09102774763301,6,5.0,0.06,2.0,0.0,52.0,0.0
pooled,multi_tf,ALL,ALL,is,single,1.0,1076,1.7279323026681588,0.1588735936731733,0.5232342007434945,18.766071671017762,1,1.0000000000000002,0.010000000000000002,668.0,0.0,178.0,0.0
pooled,multi_tf,ALL,ALL,is,lev_1,1.0,1627,2.3861050940290633,0.2036766103965464,0.5144437615242778,16.654745963382922,4,1.0000000000000002,0.04012304291925016,1147.0,775.0,272.0,0.0
pooled,multi_tf,ALL,ALL,is,lev_2,2.0,1940,6.275948593508404,0.23069485823684616,0.5108247422680412,18.437354069537587,6,2.0000000000000004,0.05338863649747947,762.0,366.0,329.0,0.0
pooled,multi_tf,ALL,ALL,is,lev_3,3.0,2092,7.742253280942642,0.28350487155584503,0.5086042065009561,17.493513295013084,7,3.0000000000000004,0.06805729109548418,382.0,159.0,347.0,0.0
pooled,multi_tf,ALL,ALL,is,peak_N,11.0,2202,7.9547005349708195,0.3006277716033909,0.5068119891008175,16.142075748214683,11,10.741267810155966,0.11005125488760559,0.0,0.0,367.0,0.0
pooled,multi_tf,ALL,ALL,oos,single,1.0,497,0.3410922061884357,0.14888300429834064,0.49899396378269617,12.323829641035722,1,1.0000000000000002,0.010000000000000002,320.0,0.0,90.0,0.0
