segment,symbol,timeframe,reason,exit_ms,is_long,stop_price,exit_price,quantity,notional,bar_high,bar_low,bar_range_bp,adverse_bp,charged_slippage_bp
full,BTC/USDT:USDT,15m,stop_loss,1601188920000,True,10642.23,10636.908885,0.9367054352822591,9968.634684523917,10679.3,10620.0,55.682581117688635,20.88847920031757,4.999999999998898
full,DOGE/USDT:USDT,15m,stop_loss,1601188920000,True,0.002656,0.0026546720000000003,3727815.212498142,9901.077204395066,0.002679,0.002654,93.75585974123327,7.530120481927078,4.9999999999987175
full,LINK/USDT:USDT,15m,stop_loss,1601189340000,True,10.094,10.088953,982.604461908601,9918.409438505418,10.143,10.025,117.01705672352274,68.35744006340308,4.999999999999364
full,SOL/USDT:USDT,15m,stop_loss,1601194260000,True,3.0248,3.0232876,2044.378551852181,6183.836243642477,3.0418,3.0181,78.2191125266088,22.15022480825155,4.999999999999164
full,LTC/USDT:USDT,15m,stop_loss,1601207940000,True,45.08,45.05746,149.44377028699185,6736.9251645375925,45.16,45.05,24.387540184014952,6.654835847382683,4.9999999999998535
full,BNB/USDT:USDT,15m,stop_loss,1601188920000,True,26.052,26.038974,382.08431994191216,9954.060703126695,26.259,26.05,79.90976696170817,0.7676953784733961,4.999999999999994
full,DOT/USDT:USDT,15m,stop_loss,1601193960000,True,4.232,4.229884,2179.181352074587,9222.295481979652,4.243,4.232,25.958702064897036,0.0,5.000000000000015
full,XRP/USDT:USDT,15m,stop_loss,1601208120000,True,0.2374,0.2372813,35111.86640637075,8335.557084872415,0.238,0.2373,29.455081001471846,4.212299915753538,4.999999999999973
full,DOT/USDT:USDT,15m,stop_loss,1601195580000,True,4.16,4.157920000000001,1486.5538124258596,6184.063859691576,4.187,4.16,64.69390200071913,0.0,4.999999999998595
full,BNB/USDT:USDT,15m,stop_loss,1601241900000,True,25.612,25.599194,388.46511612758104,9949.368554259605,25.7,25.52,70.28504490433413,35.92066218959814,4.999999999999084
full,SOL/USDT:USDT,15m,stop_loss,1601274780000,True,3.084,3.0824580000000004,2414.0035379635815,7444.7869110796855,3.1,3.0506,160.63473482261853,108.30090791180245,4.99999999999906
full,LINK/USDT:USDT,15m,stop_loss,1601274960000,True,10.573,10.567713500000002,940.3777461334375,9942.613909868836,10.631,10.57,57.544455450214556,2.8374160597750056,4.999999999998713
full,LINK/USDT:USDT,15m,stop_loss,1601335200000,True,10.31,10.304845,455.6508184048034,4697.759937753523,10.424,10.309,110.93425939323805,0.9699321047538526,5.000000000000235
full,SOL/USDT:USDT,15m,stop_loss,1601409540000,True,2.8885,2.88705575,1189.1398238170482,3434.8303810955435,2.9106,2.874,126.5428897417279,50.199065258784685,5.0000000000001235
full,ADA/USDT:USDT,15m,stop_loss,1601333820000,True,0.1021,0.10204895,97284.48510106705,9932.745928818946,0.10229,0.10205,23.490261329157683,4.897159647403966,4.9999999999997
full,DOGE/USDT:USDT,15m,stop_loss,1601334900000,True,0.002662,0.002660669,3740727.3470268403,9957.816197785449,0.002676,0.002647,108.96111215479972,56.34861006761767,4.9999999999993054
full,BNB/USDT:USDT,15m,stop_loss,1601334900000,True,26.957,26.943521500000003,368.5859430137484,9935.971265821616,27.321,26.915,149.71605575632506,15.580368735393995,4.99999999999924
full,BCH/USDT:USDT,15m,stop_loss,1601334960000,True,227.16,227.04642,43.852802315540224,9961.602573998118,227.77,227.0,33.863271543857785,7.043493572811965,4.999999999999326
full,DOGE/USDT:USDT,1h,stop_loss,1601335020000,True,0.002642,0.002640679,3748781.5522759715,9904.280861113117,0.002653,0.002642,41.54863078375887,0.0,4.999999999999525
