symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
ETH/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784070000000,8776,97,0.5979381443298969,0.36847433470714475,0.042535851598996845,27.589232365625463,1.7498326478846447,0.4948453608247423,0.7586206896551724,232,176,1.0
ETH/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,99,0.6060606060606061,0.38182683011403806,0.039483048966301885,28.131145163585987,1.776783387812472,0.5151515151515151,0.7633587786259542,262,200,1.0
ETH/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784059200000,6582,58,0.5517241379310345,0.20565323652515036,0.04382494759900946,12.38403996753751,1.7016535931923045,0.3793103448275862,0.6923076923076923,130,90,1.0
ETH/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784059200000,6582,62,0.532258064516129,0.1837231668386603,0.051298947263019395,10.442783339605768,1.5584762057191954,0.33064516129032256,0.7094594594594594,148,105,1.0
ETH/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752465600000,4388,35,0.5428571428571428,0.10936370793182122,0.04382494759900946,11.351900463809308,1.6506621664173542,0.35714285714285715,0.6506024096385542,83,54,1.0
ETH/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752465600000,4388,37,0.5405405405405406,0.11320263218150795,0.04382494759900946,11.079852641282828,1.63582299407979,0.35135135135135137,0.6808510638297872,94,64,1.0
ETH/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784059200000,2194,19,0.47368421052631576,0.02573261337610529,0.030727741069496085,5.16586266574605,1.237451617507044,0.18421052631578946,0.775,40,31,1.0
ETH/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784059200000,2194,20,0.45,0.014262631971481459,0.041446047311302844,2.874110265844394,1.1191884772674372,0.125,0.7659574468085106,47,36,1.0
ETH/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1783987200000,1097,11,0.5454545454545454,0.027452596276789882,0.020408287751396147,3.883700076671824,1.5185792550357604,0.25,0.75,24,18,1.0
ETH/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1783987200000,1097,12,0.5833333333333334,0.04286285496512974,0.020408287751396092,5.500490332144716,1.7986742555139883,0.36363636363636365,0.7692307692307693,26,20,1.0
