scope,unit,offset_ms,dropped,n_stop,n_tp,delta,z,full_delta,sign_kept
self,usdt,-86400000,LTCUSDT,5286,3891,0.02581230879,8.373974037,0.02515943317,True
self,usdt,-43200000,LTCUSDT,5286,3891,0.02657018864,8.97828293,0.0287019601,True
self,usdt,-21600000,LTCUSDT,5286,3891,0.0277862058,9.842952516,0.0297971118,True
self,usdt,-7200000,LTCUSDT,5286,3891,0.02450875288,9.788350198,0.0262820967,True
self,usdt,-3600000,LTCUSDT,5286,3891,0.02460041386,9.795114138,0.02626371154,True
self,usdt,-1800000,LTCUSDT,5286,3891,0.02463473099,9.886349967,0.02629085619,True
self,usdt,-300000,LTCUSDT,5286,3891,0.01390252603,8.313477165,0.01458579518,True
btc,coin,-86400000,LTCUSDT,5286,3891,0.002002932331,3.035690422,0.002515522051,True
btc,coin,-43200000,LTCUSDT,5286,3891,0.001214751681,2.386234386,0.001569918634,True
btc,coin,-21600000,LTCUSDT,5286,3891,0.001828456978,4.249017423,0.001966887277,True
btc,coin,-7200000,LTCUSDT,5286,3891,0.001163593544,4.418769933,0.0011943967,True
btc,coin,-3600000,LTCUSDT,5286,3891,0.0008788320589,4.198690486,0.000919091142,True
btc,coin,-1800000,LTCUSDT,5286,3891,0.0007384940449,4.358729745,0.0007778655766,True
btc,coin,-300000,LTCUSDT,5286,3891,0.0002119330247,2.437200874,0.0001760584683,True
btc,usdt,-86400000,LTCUSDT,5286,3891,0.006888308993,6.005085747,0.007835372468,True
btc,usdt,-43200000,LTCUSDT,5286,3891,0.005357602745,5.586391791,0.006190313929,True
btc,usdt,-21600000,LTCUSDT,5286,3891,0.00627396178,7.625473911,0.006656553544,True
btc,usdt,-7200000,LTCUSDT,5286,3891,0.004318649407,7.866623831,0.004517508284,True
btc,usdt,-3600000,LTCUSDT,5286,3891,0.003953786127,7.964824026,0.004230507833,True
btc,usdt,-1800000,LTCUSDT,5286,3891,0.003915997177,8.718405066,0.004166911581,True
btc,usdt,-300000,LTCUSDT,5286,3891,0.002035488553,8.483419246,0.002007448594,True
self,coin,-86400000,SOLUSDT,5281,3854,-0.002483144756,2.473088554,-0.002057375843,True
self,coin,-43200000,SOLUSDT,5281,3854,0.0005388903267,0.7935134287,0.0004108647234,True
self,coin,-21600000,SOLUSDT,5281,3854,0.001336686929,2.491869404,0.001259874314,True
self,coin,-7200000,SOLUSDT,5281,3854,0.0007216644039,1.868400696,0.0006981595297,True
self,coin,-3600000,SOLUSDT,5281,3854,0.0008810182008,2.801183997,0.0008610310438,True
self,coin,-1800000,SOLUSDT,5281,3854,0.000784003843,2.929237778,0.000782389081,True
self,coin,-300000,SOLUSDT,5281,3854,-5.908262226e-05,0.3636111736,-3.166905846e-06,True
self,usdt,-86400000,SOLUSDT,5281,3854,0.02693411328,8.665276844,0.02515943317,True
self,usdt,-43200000,SOLUSDT,5281,3854,0.03118246835,9.91779384,0.0287019601,True
self,usdt,-21600000,SOLUSDT,5281,3854,0.03209872486,10.56584813,0.0297971118,True
self,usdt,-7200000,SOLUSDT,5281,3854,0.02843069769,10.50997779,0.0262820967,True
self,usdt,-3600000,SOLUSDT,5281,3854,0.02825804725,10.47229547,0.02626371154,True
self,usdt,-1800000,SOLUSDT,5281,3854,0.02815840782,10.4998889,0.02629085619,True
self,usdt,-300000,SOLUSDT,5281,3854,0.01526263238,8.404344098,0.01458579518,True
btc,coin,-86400000,SOLUSDT,5281,3854,0.002533603358,3.821625429,0.002515522051,True
btc,coin,-43200000,SOLUSDT,5281,3854,0.001774590477,3.46612292,0.001569918634,True
btc,coin,-21600000,SOLUSDT,5281,3854,0.002196736502,5.06214711,0.001966887277,True
btc,coin,-7200000,SOLUSDT,5281,3854,0.001290567042,4.8599324,0.0011943967,True
btc,coin,-3600000,SOLUSDT,5281,3854,0.000949164967,4.487906197,0.000919091142,True
btc,coin,-1800000,SOLUSDT,5281,3854,0.0008356197832,4.865199435,0.0007778655766,True
btc,coin,-300000,SOLUSDT,5281,3854,0.0001957402294,2.246755973,0.0001760584683,True
btc,usdt,-86400000,SOLUSDT,5281,3854,0.008071240711,6.920235697,0.007835372468,True
btc,usdt,-43200000,SOLUSDT,5281,3854,0.00668045679,6.81694322,0.006190313929,True
btc,usdt,-21600000,SOLUSDT,5281,3854,0.007143723149,8.450101725,0.006656553544,True
btc,usdt,-7200000,SOLUSDT,5281,3854,0.004879026709,8.617336826,0.004517508284,True
btc,usdt,-3600000,SOLUSDT,5281,3854,0.004474492926,8.719498797,0.004230507833,True
btc,usdt,-1800000,SOLUSDT,5281,3854,0.004361293298,9.347597896,0.004166911581,True
btc,usdt,-300000,SOLUSDT,5281,3854,0.002011687253,8.064556149,0.002007448594,True
self,coin,-86400000,TRXUSDT,5509,4073,-0.001723842826,1.866635333,-0.002057375843,True
self,coin,-43200000,TRXUSDT,5509,4073,0.0001082242825,0.1765043613,0.0004108647234,True
self,coin,-21600000,TRXUSDT,5509,4073,0.001134221801,2.342345072,0.001259874314,True
self,coin,-7200000,TRXUSDT,5509,4073,0.000746016813,2.201638314,0.0006981595297,True
self,coin,-3600000,TRXUSDT,5509,4073,0.0009332433498,3.281801568,0.0008610310438,True
self,coin,-1800000,TRXUSDT,5509,4073,0.000927203189,3.780525309,0.000782389081,True
self,coin,-300000,TRXUSDT,5509,4073,0.0001364725611,0.9027938091,-3.166905846e-06,False
self,usdt,-86400000,TRXUSDT,5509,4073,0.02718665337,9.09650427,0.02515943317,True
self,usdt,-43200000,TRXUSDT,5509,4073,0.03005367937,9.917187965,0.0287019601,True
