lens,scope,arm,month,monthly_return,equity_end,num_exits,btc_buy_hold,num_seeds
baseline,all,long_only,2026-02,0.3156618867149086,111632.20262133566,68.0,-0.12991297452928896,1
baseline,all,long_only,2026-03,0.022663349782585218,114162.16227634341,53.0,0.03789353612167301,1
baseline,all,long_only,2026-04,0.1292705345928018,128919.96602407652,46.0,0.1207126229134996,1
baseline,all,long_only,2026-05,0.1595199142871675,149485.26795414175,68.0,-0.05804685901370987,1
baseline,all,long_only,2026-06,0.16073340181480233,173512.54359360822,92.0,-0.17909835204471114,1
baseline,all,long_only,2026-07,0.03194698065947921,179055.74546797026,32.0,0.10350569003793342,1
baseline,all,long_short,2024-08,0.07564231722798387,10756.42317227984,73.0,-0.09776683825994315,1
baseline,all,long_short,2024-09,0.27328376123968456,13695.978954286173,131.0,0.10548630040109597,1
baseline,all,long_short,2024-10,0.3803189407135117,18904.81916221484,149.0,0.15705170393966106,1
baseline,all,long_short,2024-11,0.9395685699540037,36667.193067696084,183.0,0.388220820053097,1
baseline,all,long_short,2024-12,0.6030685105355758,58780.02257655195,123.0,-0.03820692108474688,1
baseline,all,long_short,2025-01,-0.11255367374542569,52164.115092721964,103.0,0.08245639447287978,1
baseline,all,long_short,2025-02,0.204206420108193,62816.36229391847,110.0,-0.16206179500534768,1
baseline,all,long_short,2025-03,0.29980732878397354,81649.16807718448,123.0,-0.0405800875968082,1
baseline,all,long_short,2025-04,0.6831530027095516,137428.04241784994,138.0,0.10578130635366878,1
baseline,all,long_short,2025-05,0.15970501876592613,159375.99051115714,139.0,0.08422653030958283,1
baseline,all,long_short,2025-06,0.16713768273272733,186013.72424842507,123.0,0.014245624071230978,1
baseline,all,long_short,2025-07,0.141039303893288,212248.97043102098,110.0,0.09522529319496131,1
baseline,all,long_short,2025-08,0.1448443387773486,242992.0322092752,116.0,-0.044473565232134304,1
baseline,all,long_short,2025-09,0.2767872856026441,310249.13722755073,108.0,0.043969157754659705,1
baseline,all,long_short,2025-10,0.15241226132531693,357534.9098066303,91.0,-0.07587446563713596,1
baseline,all,long_short,2025-11,0.06320950689485527,380134.515153204,83.0,-0.17925581023415404,1
baseline,all,long_short,2025-12,0.046002505283831985,397621.6551951061,57.0,0.01584618096139212,1
baseline,all,long_short,2026-01,0.013717802125860157,403076.15038202953,113.0,-0.11366216216216218,1
baseline,all,long_short,2026-02,0.07449165653136203,433101.9605322713,117.0,-0.12991297452928896,1
baseline,all,long_short,2026-03,0.2511412477678441,541871.7273110455,113.0,0.03789353612167301,1
baseline,all,long_short,2026-04,0.26257584125546285,684154.151962294,78.0,0.1207126229134996,1
baseline,all,long_short,2026-05,0.198644489567404,820057.604264264,116.0,-0.05804685901370987,1
baseline,all,long_short,2026-06,0.19339811884317726,978655.2022720153,119.0,-0.17909835204471114,1
baseline,all,long_short,2026-07,0.08922470537152005,1065975.4243550412,79.0,0.10350569003793342,1
pen_5bp,1h,long_only,2024-08,-0.007876806013285886,9921.23193986714,21.0,-0.09776683825994315,1
pen_5bp,1h,long_only,2024-09,0.0040683524160298745,9961.595007799691,20.0,0.10548630040109597,1
pen_5bp,1h,long_only,2024-10,0.16191639312550699,11574.540541239674,46.0,0.15705170393966106,1
pen_5bp,1h,long_only,2024-11,0.27028161036182685,14702.925997924185,41.0,0.388220820053097,1
pen_5bp,1h,long_only,2024-12,0.02768633716910429,15109.996164475102,40.0,-0.03820692108474688,1
pen_5bp,1h,long_only,2025-01,0.030365303647566178,15568.81578612295,28.0,0.08245639447287978,1
pen_5bp,1h,long_only,2025-02,0.12472134582762218,17510.579443910534,46.0,-0.16206179500534768,1
pen_5bp,1h,long_only,2025-03,0.031474257794813276,18061.711935464733,39.0,-0.0405800875968082,1
pen_5bp,1h,long_only,2025-04,0.07800926477396741,19470.69280410953,31.0,0.10578130635366878,1
pen_5bp,1h,long_only,2025-05,0.06912861241479162,20816.67478041229,21.0,0.08422653030958283,1
pen_5bp,1h,long_only,2025-06,0.04086660181886659,21667.38153985624,29.0,0.014245624071230978,1
pen_5bp,1h,long_only,2025-07,0.04791832540990826,22705.646179263713,25.0,0.09522529319496131,1
pen_5bp,1h,long_only,2025-08,0.01239427254670944,22987.06614635866,23.0,-0.044473565232134304,1
pen_5bp,1h,long_only,2025-09,0.059568278283798515,24356.366099493036,31.0,0.043969157754659705,1
pen_5bp,1h,long_only,2025-10,0.04002691904258748,25331.276393529068,37.0,-0.07587446563713596,1
pen_5bp,1h,long_only,2025-11,0.0004373880844203981,25342.35599198676,22.0,-0.17925581023415404,1
pen_5bp,1h,long_only,2025-12,-0.03242543131358533,24520.619168444166,20.0,0.01584618096139212,1
pen_5bp,1h,long_only,2026-01,0.01614186107130089,24916.427596443467,34.0,-0.11366216216216218,1
pen_5bp,1h,long_only,2026-02,0.0413338854307268,25946.320360057864,29.0,-0.12991297452928896,1
pen_5bp,1h,long_only,2026-03,0.040554758923186496,26998.567127203776,21.0,0.03789353612167301,1
pen_5bp,1h,long_only,2026-04,-0.012731148933629699,26654.844348112747,27.0,0.1207126229134996,1
pen_5bp,1h,long_only,2026-05,0.05013043890810631,27991.0633943109,31.0,-0.05804685901370987,1
pen_5bp,1h,long_only,2026-06,0.16232135552711968,32534.610747120983,43.0,-0.17909835204471114,1
pen_5bp,1h,long_only,2026-07,0.028326248078126115,33456.1942022692,20.0,0.10350569003793342,1
pen_5bp,1h,long_short,2024-08,-0.011801936908622745,9881.980630913773,50.0,-0.09776683825994315,1
pen_5bp,1h,long_short,2024-09,0.10915217916671627,10960.620351261294,69.0,0.10548630040109597,1
pen_5bp,1h,long_short,2024-10,0.24552537386095818,13651.73076075275,85.0,0.15705170393966106,1
pen_5bp,1h,long_short,2024-11,0.42574887853265775,19463.93982217302,105.0,0.388220820053097,1
pen_5bp,1h,long_short,2024-12,0.18037064678777548,22974.663236936707,76.0,-0.03820692108474688,1
pen_5bp,1h,long_short,2025-01,-0.03993605360498753,22057.145854349867,56.0,0.08245639447287978,1
pen_5bp,1h,long_short,2025-02,0.24877600295951274,27544.434436690015,75.0,-0.16206179500534768,1
pen_5bp,1h,long_short,2025-03,0.07332301926349771,29564.075533493586,68.0,-0.0405800875968082,1
pen_5bp,1h,long_short,2025-04,0.3566152478971283,40107.07565871983,79.0,0.10578130635366878,1
pen_5bp,1h,long_short,2025-05,-0.020166028005389025,39298.275247771824,68.0,0.08422653030958283,1
pen_5bp,1h,long_short,2025-06,0.0934575775214217,42970.99685319863,60.0,0.014245624071230978,1
pen_5bp,1h,long_short,2025-07,0.10384097101225986,47433.14689179954,70.0,0.09522529319496131,1
pen_5bp,1h,long_short,2025-08,-0.019067676462437566,46528.70699327143,58.0,-0.044473565232134304,1
pen_5bp,1h,long_short,2025-09,0.08637565984941631,50547.6547617554,53.0,0.043969157754659705,1
pen_5bp,1h,long_short,2025-10,0.04549532649771182,52847.33681883509,59.0,-0.07587446563713596,1
pen_5bp,1h,long_short,2025-11,0.052838366170764095,55639.703752818394,40.0,-0.17925581023415404,1
pen_5bp,1h,long_short,2025-12,0.019022527229866304,56698.11153251807,35.0,0.01584618096139212,1
pen_5bp,1h,long_short,2026-01,0.0026992726245567145,56851.155192841856,58.0,-0.11366216216216218,1
pen_5bp,1h,long_short,2026-02,-0.052435335767907376,53870.14578151178,53.0,-0.12991297452928896,1
pen_5bp,1h,long_short,2026-03,0.15938448627402768,62456.21129240502,58.0,0.03789353612167301,1
pen_5bp,1h,long_short,2026-04,0.02854640965442523,64239.11188542136,51.0,0.1207126229134996,1
pen_5bp,1h,long_short,2026-05,0.0927125330270473,70194.88266772668,54.0,-0.05804685901370987,1
pen_5bp,1h,long_short,2026-06,0.2513268744549557,87836.74313133876,62.0,-0.17909835204471114,1
pen_5bp,1h,long_short,2026-07,0.06018644075046353,93123.32406752677,49.0,0.10350569003793342,1
pen_5bp,2h,long_only,2024-08,-0.025104228966086328,9748.957710339137,7.0,-0.09776683825994315,1
pen_5bp,2h,long_only,2024-09,0.016359183658726906,9908.442700003736,8.0,0.10548630040109597,1
pen_5bp,2h,long_only,2024-10,0.10129530768511708,10912.121451980967,24.0,0.15705170393966106,1
pen_5bp,2h,long_only,2024-11,0.013484391092091208,11059.264765283877,8.0,0.388220820053097,1
pen_5bp,2h,long_only,2024-12,0.08526910224123996,12002.27834326781,13.0,-0.03820692108474688,1
pen_5bp,2h,long_only,2025-01,-0.012072920039778556,11857.375796534372,14.0,0.08245639447287978,1
pen_5bp,2h,long_only,2025-02,-0.014606451186204628,11684.181615765809,22.0,-0.16206179500534768,1
pen_5bp,2h,long_only,2025-03,0.06247428896264573,12414.142554321194,20.0,-0.0405800875968082,1
pen_5bp,2h,long_only,2025-04,0.07170106678428145,13304.249818678169,23.0,0.10578130635366878,1
pen_5bp,2h,long_only,2025-05,0.038326005527068,13814.148570762321,18.0,0.08422653030958283,1
pen_5bp,2h,long_only,2025-06,-0.0024472588923946104,13780.341772831664,23.0,0.014245624071230978,1
pen_5bp,2h,long_only,2025-07,-0.0018934233610075069,13754.249751796317,11.0,0.09522529319496131,1
pen_5bp,2h,long_only,2025-08,0.05512921776851876,14512.51078160569,17.0,-0.044473565232134304,1
pen_5bp,2h,long_only,2025-09,0.059970675490271796,15382.835856238435,15.0,0.043969157754659705,1
pen_5bp,2h,long_only,2025-10,0.05882890771123295,16287.79128716213,10.0,-0.07587446563713596,1
pen_5bp,2h,long_only,2025-11,-0.016161392167350352,16024.55790463035,17.0,-0.17925581023415404,1
pen_5bp,2h,long_only,2025-12,0.007795074896709275,16149.4705336836,4.0,0.01584618096139212,1
pen_5bp,2h,long_only,2026-01,0.012976546128324218,16359.034883011956,22.0,-0.11366216216216218,1
pen_5bp,2h,long_only,2026-02,0.19899252364001696,19614.360518697576,19.0,-0.12991297452928896,1
pen_5bp,2h,long_only,2026-03,-0.047836191010460216,18676.08422237713,14.0,0.03789353612167301,1
pen_5bp,2h,long_only,2026-04,0.04197427945763166,19459.999400701454,8.0,0.1207126229134996,1
pen_5bp,2h,long_only,2026-05,0.09803980891537623,21367.85402343956,21.0,-0.05804685901370987,1
pen_5bp,2h,long_only,2026-06,0.014716931038765146,21682.32325754892,28.0,-0.17909835204471114,1
pen_5bp,2h,long_only,2026-07,-0.0003759594183128101,21674.17158390934,7.0,0.10350569003793342,1
pen_5bp,2h,long_short,2024-08,0.008927476788155753,10089.274767881558,14.0,-0.09776683825994315,1
pen_5bp,2h,long_short,2024-09,0.02535652241308939,10345.103689665164,38.0,0.10548630040109597,1
pen_5bp,2h,long_short,2024-10,0.1405683339702668,11799.297680071057,36.0,0.15705170393966106,1
pen_5bp,2h,long_short,2024-11,0.1758260172845043,13873.921197912241,48.0,0.388220820053097,1
pen_5bp,2h,long_short,2024-12,0.23509327325929563,17135.586745270957,28.0,-0.03820692108474688,1
pen_5bp,2h,long_short,2025-01,-0.08415850302885397,15693.481416267881,29.0,0.08245639447287978,1
pen_5bp,2h,long_short,2025-02,-0.03482022316805089,15147.030891069775,24.0,-0.16206179500534768,1
pen_5bp,2h,long_short,2025-03,0.13979561711461752,17264.519421941048,32.0,-0.0405800875968082,1
pen_5bp,2h,long_short,2025-04,0.1177802973940345,19297.93965382235,37.0,0.10578130635366878,1
pen_5bp,2h,long_short,2025-05,0.05722774948355136,20402.317309879985,45.0,0.08422653030958283,1
pen_5bp,2h,long_short,2025-06,0.02079530670557772,20826.589755843455,34.0,0.014245624071230978,1
pen_5bp,2h,long_short,2025-07,0.024099460045631016,21328.499323551154,23.0,0.09522529319496131,1
