scope,leverage_mode,multiple,segment,month,monthly_return,equity_end,num_exits
1h,combined,2.0,is,2021-09,0.5876953206553981,247645.806655063,36
1h,combined,2.0,is,2021-10,0.1665096489479756,288881.2229846358,31
1h,combined,2.0,is,2021-11,0.15141249523281086,332621.4497826455,31
1h,combined,2.0,is,2021-12,0.11259347607947778,370072.455032269,38
1h,combined,2.0,is,2022-01,0.2032721791778045,445297.88942035835,44
1h,combined,2.0,is,2022-02,0.04265284373183653,464291.1107119215,35
1h,combined,2.0,is,2022-03,0.13083999335803775,525038.9565536652,17
1h,combined,2.0,is,2022-04,0.02959553903442158,540577.7674869412,22
1h,combined,2.0,is,2022-05,0.3645242392855754,737631.4669548131,40
1h,combined,2.0,is,2022-06,0.29325025588555964,953942.0833885528,59
1h,combined,2.0,is,2022-07,0.01095991065258084,964397.2033902281,30
1h,combined,2.0,is,2022-08,0.10679991293300284,1067394.7407451358,30
1h,combined,2.0,is,2022-09,-0.007396402703858995,1059499.8593986037,30
1h,combined,2.0,is,2022-10,0.11517413320234415,1181526.8373328433,22
1h,combined,2.0,is,2022-11,0.7588878084854005,2078173.149583051,37
1h,combined,2.0,is,2022-12,0.10515512691454121,2296703.7108778483,18
1h,combined,2.0,is,2023-01,0.42390177515915917,3270280.4909335966,20
1h,combined,2.0,is,2023-02,-0.027812891637722825,3179324.5340143014,13
1h,combined,2.0,is,2023-03,0.27813460705069626,4063604.713969007,31
1h,combined,2.0,is,2023-04,0.27809657856913694,5193679.281581204,22
1h,combined,2.0,is,2023-05,0.06481223055173313,5530293.220590805,7
1h,combined,2.0,is,2023-06,0.15414974743180077,6382786.523768677,25
1h,combined,2.0,is,2023-07,0.036462217164577426,6615517.072113469,13
1h,combined,2.0,is,2023-08,0.08177543729282144,7156503.873603674,16
1h,combined,2.0,is,2023-09,0.10947788415024196,7939982.775598815,34
1h,combined,2.0,is,2023-10,0.2509311571269539,9932371.84104791,21
1h,combined,2.0,is,2023-11,0.08117138937818535,10738596.263206532,24
1h,combined,2.0,is,2023-12,0.1695580761778408,12559411.986446382,8
1h,combined,2.0,is,2024-01,0.017500643348991263,12779209.776294226,15
1h,combined,2.0,is,2024-02,0.1180542915589784,14287850.333118211,14
1h,combined,2.0,is,2024-03,0.2137806800255566,17342316.6934356,19
1h,combined,2.0,is,2024-04,0.4232339291663594,24682173.52844569,37
1h,combined,2.0,is,2024-05,0.41514536719306316,34928863.52103518,33
1h,combined,2.0,is,2024-06,-0.02010433704568837,34226641.87618544,21
1h,combined,2.0,is,2024-07,0.15018246633592525,39366883.36754743,28
1h,combined,2.0,is,2024-08,0.023587863471619785,40295464.037724316,18
1h,combined,3.0,is,2020-09,0.06056326850315985,10605.632685031598,3
1h,combined,3.0,is,2020-10,0.15597640948180946,12259.861191525748,26
1h,combined,3.0,is,2020-11,0.08730446089563704,13330.201763507246,13
1h,combined,3.0,is,2020-12,0.6610692477644762,22142.388215857674,30
1h,combined,3.0,is,2021-01,0.82370487147771,40381.18125541028,39
1h,combined,3.0,is,2021-02,0.4799296689868031,59761.30820861543,22
1h,combined,3.0,is,2021-03,0.3005052567118036,77719.89547327862,31
1h,combined,3.0,is,2021-04,0.27476850314223644,99074.87481684246,27
1h,combined,3.0,is,2021-05,0.940543951439905,192259.14906548942,50
1h,combined,3.0,is,2021-06,0.3733644475650417,264041.8800456509,39
1h,combined,3.0,is,2021-07,0.2734252646539477,336237.60097685887,24
1h,combined,3.0,is,2021-08,0.6808097597928953,565151.4413312535,48
1h,combined,3.0,is,2021-09,0.9834071990722721,1120925.437302479,36
