arm,symbol,timeframe,width_label,width_threshold,guard,total_taps,surviving_taps,survival_share,adopted_point,below_sample_gate
mid,BTC/USDT:USDT,1h,1.55,1.55,0.005,1741,344,0.19758759333716255,False,False
mid,BTC/USDT:USDT,1h,1.28,1.28,0.0,1741,744,0.4273406088454911,False,False
mid,BTC/USDT:USDT,1h,1.28,1.28,0.002,1741,639,0.36703044227455484,False,False
mid,BTC/USDT:USDT,1h,1.28,1.28,0.0025,1741,550,0.31591039632395174,False,False
mid,BTC/USDT:USDT,1h,1.28,1.28,0.003,1741,467,0.2682366456059736,True,False
mid,BTC/USDT:USDT,1h,1.28,1.28,0.004,1741,333,0.19126938541068353,False,False
mid,BTC/USDT:USDT,1h,1.28,1.28,0.005,1741,219,0.12578977599080987,False,False
mid,BTC/USDT:USDT,1h,1.15,1.15,0.0,1741,616,0.35381964388282594,False,False
mid,BTC/USDT:USDT,1h,1.15,1.15,0.002,1741,516,0.2963813900057438,False,False
mid,BTC/USDT:USDT,1h,1.15,1.15,0.0025,1741,432,0.24813325674899483,False,False
mid,BTC/USDT:USDT,1h,1.15,1.15,0.003,1741,354,0.20333141872487076,False,False
mid,BTC/USDT:USDT,1h,1.15,1.15,0.004,1741,246,0.14129810453762207,False,False
mid,BTC/USDT:USDT,1h,1.15,1.15,0.005,1741,154,0.08845491097070649,False,False
mid,BTC/USDT:USDT,1h,1.00,1.0,0.0,1741,469,0.26938541068351524,False,False
mid,BTC/USDT:USDT,1h,1.00,1.0,0.002,1741,380,0.2182653647329121,False,False
mid,BTC/USDT:USDT,1h,1.00,1.0,0.0025,1741,312,0.17920735209649627,False,False
mid,BTC/USDT:USDT,1h,1.00,1.0,0.003,1741,245,0.14072372199885125,False,False
mid,BTC/USDT:USDT,1h,1.00,1.0,0.004,1741,165,0.09477311889718552,False,False
mid,BTC/USDT:USDT,1h,1.00,1.0,0.005,1741,107,0.061458931648477884,False,False
mid,BTC/USDT:USDT,1h,0.90,0.9,0.0,1741,376,0.21596783457782884,False,False
mid,BTC/USDT:USDT,1h,0.90,0.9,0.002,1741,294,0.1688684663986215,False,False
mid,BTC/USDT:USDT,1h,0.90,0.9,0.0025,1741,236,0.13555427914991383,False,False
mid,BTC/USDT:USDT,1h,0.90,0.9,0.003,1741,178,0.1022400919012062,False,False
mid,BTC/USDT:USDT,1h,0.90,0.9,0.004,1741,114,0.06547960941987363,False,False
mid,BTC/USDT:USDT,1h,0.90,0.9,0.005,1741,69,0.03963239517518667,False,False
mid,BTC/USDT:USDT,1h,0.80,0.8,0.0,1741,284,0.16312464101091326,False,False
mid,BTC/USDT:USDT,1h,0.80,0.8,0.002,1741,219,0.12578977599080987,False,False
mid,BTC/USDT:USDT,1h,0.80,0.8,0.0025,1741,169,0.09707064905226881,False,False
mid,BTC/USDT:USDT,1h,0.80,0.8,0.003,1741,117,0.0672027570361861,False,False
mid,BTC/USDT:USDT,1h,0.80,0.8,0.004,1741,76,0.043653072946582425,False,False
mid,BTC/USDT:USDT,1h,0.80,0.8,0.005,1741,47,0.026995979322228605,False,False
mid,BTC/USDT:USDT,1h,0.60,0.6,0.0,1741,121,0.06950028719126938,False,False
mid,BTC/USDT:USDT,1h,0.60,0.6,0.002,1741,80,0.04595060310166571,False,False
mid,BTC/USDT:USDT,1h,0.60,0.6,0.0025,1741,59,0.03388856978747846,False,False
mid,BTC/USDT:USDT,1h,0.60,0.6,0.003,1741,38,0.021826536473291212,False,False
mid,BTC/USDT:USDT,1h,0.60,0.6,0.004,1741,24,0.013785180930499713,False,False
mid,BTC/USDT:USDT,1h,0.60,0.6,0.005,1741,15,0.00861573808156232,False,True
proximal,BTC/USDT:USDT,2h,off,,0.0,947,947,1.0,False,False
proximal,BTC/USDT:USDT,2h,off,,0.002,947,946,0.9989440337909187,False,False
proximal,BTC/USDT:USDT,2h,off,,0.0025,947,946,0.9989440337909187,False,False
proximal,BTC/USDT:USDT,2h,off,,0.003,947,941,0.9936642027455121,False,False
proximal,BTC/USDT:USDT,2h,off,,0.004,947,934,0.986272439281943,False,False
proximal,BTC/USDT:USDT,2h,off,,0.005,947,920,0.9714889123548046,False,False
proximal,BTC/USDT:USDT,2h,2.60,2.6,0.0,947,735,0.7761351636747624,False,False
proximal,BTC/USDT:USDT,2h,2.60,2.6,0.002,947,734,0.7750791974656811,False,False
proximal,BTC/USDT:USDT,2h,2.60,2.6,0.0025,947,734,0.7750791974656811,False,False
proximal,BTC/USDT:USDT,2h,2.60,2.6,0.003,947,729,0.7697993664202746,False,False
proximal,BTC/USDT:USDT,2h,2.60,2.6,0.004,947,722,0.7624076029567054,False,False
proximal,BTC/USDT:USDT,2h,2.60,2.6,0.005,947,708,0.747624076029567,False,False
proximal,BTC/USDT:USDT,2h,1.80,1.8,0.0,947,531,0.5607180570221753,False,False
proximal,BTC/USDT:USDT,2h,1.80,1.8,0.002,947,530,0.5596620908130939,False,False
proximal,BTC/USDT:USDT,2h,1.80,1.8,0.0025,947,530,0.5596620908130939,False,False
proximal,BTC/USDT:USDT,2h,1.80,1.8,0.003,947,525,0.5543822597676874,False,False
proximal,BTC/USDT:USDT,2h,1.80,1.8,0.004,947,518,0.5469904963041182,False,False
proximal,BTC/USDT:USDT,2h,1.80,1.8,0.005,947,504,0.53220696937698,False,False
proximal,BTC/USDT:USDT,2h,1.55,1.55,0.0,947,446,0.470960929250264,False,False
proximal,BTC/USDT:USDT,2h,1.55,1.55,0.002,947,445,0.4699049630411827,False,False
proximal,BTC/USDT:USDT,2h,1.55,1.55,0.0025,947,445,0.4699049630411827,False,False
proximal,BTC/USDT:USDT,2h,1.55,1.55,0.003,947,440,0.46462513199577615,False,False
proximal,BTC/USDT:USDT,2h,1.55,1.55,0.004,947,433,0.457233368532207,False,False
proximal,BTC/USDT:USDT,2h,1.55,1.55,0.005,947,419,0.4424498416050686,False,False
proximal,BTC/USDT:USDT,2h,1.28,1.28,0.0,947,332,0.3505807814149947,False,False
proximal,BTC/USDT:USDT,2h,1.28,1.28,0.002,947,331,0.3495248152059134,False,False
proximal,BTC/USDT:USDT,2h,1.28,1.28,0.0025,947,331,0.3495248152059134,False,False
proximal,BTC/USDT:USDT,2h,1.28,1.28,0.003,947,326,0.34424498416050686,True,False
proximal,BTC/USDT:USDT,2h,1.28,1.28,0.004,947,319,0.3368532206969377,False,False
proximal,BTC/USDT:USDT,2h,1.28,1.28,0.005,947,306,0.32312565997888065,False,False
proximal,BTC/USDT:USDT,2h,1.15,1.15,0.0,947,272,0.28722280887011614,False,False
proximal,BTC/USDT:USDT,2h,1.15,1.15,0.002,947,271,0.28616684266103487,False,False
proximal,BTC/USDT:USDT,2h,1.15,1.15,0.0025,947,271,0.28616684266103487,False,False
proximal,BTC/USDT:USDT,2h,1.15,1.15,0.003,947,266,0.2808870116156283,False,False
proximal,BTC/USDT:USDT,2h,1.15,1.15,0.004,947,259,0.2734952481520591,False,False
proximal,BTC/USDT:USDT,2h,1.15,1.15,0.005,947,246,0.25976768743400214,False,False
proximal,BTC/USDT:USDT,2h,1.00,1.0,0.0,947,193,0.20380147835269272,False,False
proximal,BTC/USDT:USDT,2h,1.00,1.0,0.002,947,192,0.20274551214361142,False,False
proximal,BTC/USDT:USDT,2h,1.00,1.0,0.0025,947,192,0.20274551214361142,False,False
proximal,BTC/USDT:USDT,2h,1.00,1.0,0.003,947,187,0.19746568109820486,False,False
proximal,BTC/USDT:USDT,2h,1.00,1.0,0.004,947,180,0.1900739176346357,False,False
proximal,BTC/USDT:USDT,2h,1.00,1.0,0.005,947,167,0.17634635691657866,False,False
proximal,BTC/USDT:USDT,2h,0.90,0.9,0.0,947,155,0.16367476240760295,False,False
proximal,BTC/USDT:USDT,2h,0.90,0.9,0.002,947,154,0.16261879619852165,False,False
