symbol,timeframe,segment,direction,entry_point,stop_variant,rsi_gate,real_total_return,real_num_trades,real_mean_net_r,real_max_drawdown,returned_n,returned_mean_net_r,never_n,never_mean_net_r,pool_size,fake_zones,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,retap_total_return,retap_num_trades,buy_hold
BNB/USDT:USDT,1h,oos_warm,long,B_open,ob,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,long,B_open,atr,False,-0.16079746776246884,238,-0.08197146864550693,0.23976778488726944,234,-0.08601082993526436,4,0.15433116680530296,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,long,B_open,atr,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,short,A_close,ob,False,-0.161225220033611,129,-0.12163411076666791,0.2278827943703253,120,-0.23736021569529578,9,1.421380621615036,1752,11320,-0.04497022794433352,-0.17236497826518735,0.0811609367619847,0.965,200,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,short,A_close,ob,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,short,A_close,atr,False,-0.25627740942057087,216,-0.1406627042138645,0.3327091030508299,201,-0.22281989826042112,15,0.9602436960099936,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,short,A_close,atr,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,short,B_open,ob,False,-0.1024115609096656,132,-0.06687153221478218,0.19315218361769793,122,-0.18914072240670315,10,1.4248125881266518,1752,11320,-0.041603909358894825,-0.18614786176151984,0.11050093600855217,0.785,200,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,short,B_open,ob,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,short,B_open,atr,False,-0.2558541355888148,218,-0.13889756619753585,0.3402012271180046,203,-0.22011489693999914,15,0.9602436431837994,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,short,B_open,atr,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,both,A_close,ob,False,0.16547714095907232,150,0.11428479568153671,0.09650484819776443,143,0.06216624169345347,7,1.178992398580951,3718,11320,-0.01739044395708442,-0.17249874585543512,0.1757803539771414,0.04,200,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,both,A_close,ob,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,both,A_close,atr,False,-0.37579849358412837,448,-0.11148496170782969,0.4486664362011902,429,-0.15144185721747488,19,0.7906996790099475,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,both,A_close,atr,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,both,B_open,ob,False,0.15739303392997644,156,0.10480010833257833,0.10521479291057292,150,0.05156547865177527,6,1.4356658503526545,3718,11320,-0.01825597560822793,-0.21263701335698978,0.19241733959592966,0.06,200,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,both,B_open,ob,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,both,B_open,atr,False,-0.3563514414438976,451,-0.10243285569218785,0.44517700252115505,432,-0.14170878988924757,19,0.7905778586830635,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,both,B_open,atr,True,0.0,0,,0.0,0,,0,,0,11320,,,,,0,,,0.11524915844570272
BNB/USDT:USDT,2h,is,long,A_close,ob,False,0.045538785768768866,109,0.04836162778655403,0.18518816455471548,98,-0.10042351316400383,11,1.373901974436979,2072,3864,0.06307433928764572,-0.10743481627177334,0.20929017281470788,0.585,200,,,16.456110735989196
BNB/USDT:USDT,2h,is,long,A_close,ob,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,long,A_close,atr,False,-0.02907626041777985,246,-0.016920846439033,0.1653153467029868,225,-0.07014422735529052,21,0.5533296633780123,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,long,A_close,atr,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,long,B_open,ob,False,0.07535041002035232,111,0.073001519209624,0.18513774521513424,99,-0.0854118694228855,12,1.3799119754278266,2072,3864,0.0571294625230467,-0.09277146441794029,0.24420551671419763,0.385,200,,,16.456110735989196
BNB/USDT:USDT,2h,is,long,B_open,ob,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,long,B_open,atr,False,-0.023410064505864466,250,-0.01472375705731344,0.17623905017053398,229,-0.06673205403656193,21,0.5524143385735388,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,long,B_open,atr,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,short,A_close,ob,False,-0.10001298142988799,123,-0.07852046589519301,0.1642502470961261,121,-0.1037869740297461,2,1.4501032762452684,1792,3864,-0.02098031993558479,-0.1512084284309949,0.15327062728652655,0.865,200,,,16.456110735989196
BNB/USDT:USDT,2h,is,short,A_close,ob,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,short,A_close,atr,False,-0.06374373318155904,205,-0.028564091738587243,0.24604085391917227,201,-0.03195230980502845,4,0.14169386610008355,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,short,A_close,atr,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,short,B_open,ob,False,-0.060912169247428025,126,-0.042639642762935234,0.12740236635606844,124,-0.06671643405832978,2,1.450121417551526,1792,3864,-0.02096279803513235,-0.16710069494938562,0.12465401757635136,0.69,200,,,16.456110735989196
BNB/USDT:USDT,2h,is,short,B_open,ob,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,short,B_open,atr,False,-0.04331557899683594,208,-0.01849026806471375,0.2512962426091557,204,-0.021631142098791727,4,0.14169430767326302,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,short,B_open,atr,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,both,A_close,ob,False,-0.0891707564322578,172,-0.046966998567621786,0.20039289245870717,161,-0.14399821616434286,11,1.373217186257115,3864,3864,0.03305499476482697,-0.15610412780771113,0.25018178252561213,0.875,200,,,16.456110735989196
BNB/USDT:USDT,2h,is,both,A_close,ob,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,both,A_close,atr,False,-0.07297006792811463,438,-0.01856617570506712,0.3284914105285747,414,-0.045615737981749616,24,0.4480387735677062,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,both,A_close,atr,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,both,B_open,ob,False,-0.052750050977775936,178,-0.02307727465819088,0.16900876136504214,166,-0.12445218523324272,12,1.3792756549633605,3864,3864,0.014696468966311865,-0.16713513206249936,0.23465163418191243,0.72,200,,,16.456110735989196
BNB/USDT:USDT,2h,is,both,B_open,ob,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,both,B_open,atr,False,-0.057367152780111064,446,-0.015040365556545223,0.3403117094102378,422,-0.04133108070681059,24,0.44723804250228744,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,is,both,B_open,atr,True,0.0,0,,0.0,0,,0,,0,3864,,,,,0,,,16.456110735989196
BNB/USDT:USDT,2h,oos_warm,long,A_close,ob,False,0.05961743481587091,71,0.08897143293397707,0.05884460419948606,69,0.06778707724109162,2,0.8198317043385277,1024,5680,0.02984058152625426,-0.07293774255427161,0.13086223487322496,0.28,200,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,long,A_close,ob,True,0.0,0,,0.0,0,,0,,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,long,A_close,atr,False,-0.1934542136675146,127,-0.18739753970764775,0.2883415611777202,124,-0.19100998071999153,3,-0.03808331119744016,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,long,A_close,atr,True,0.0,0,,0.0,0,,0,,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,long,B_open,ob,False,0.0752491540721343,72,0.10820808095663437,0.05885865647006404,70,0.0878817863582667,2,0.8196283918995,1024,5680,0.033233284513582755,-0.0734066905515605,0.14721878473565284,0.22,200,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,long,B_open,ob,True,0.0,0,,0.0,0,,0,,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,long,B_open,atr,False,-0.19309047560570125,127,-0.18706287515801923,0.2880808769178612,124,-0.19067948724045272,3,-0.03757624241743388,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,long,B_open,atr,True,0.0,0,,0.0,0,,0,,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,short,A_close,ob,False,0.0076002476150693835,48,0.022980932975296287,0.09174151232521784,41,-0.19452145292493894,7,1.2969234789623882,792,5680,-0.0053067788018113,-0.08812046893891147,0.07523323785476568,0.355,200,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,short,A_close,ob,True,0.0,0,,0.0,0,,0,,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,short,A_close,atr,False,0.1760593796325913,97,0.1806802186867498,0.05089438599759883,85,0.015078069253835315,12,1.3536954438365612,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,short,A_close,atr,True,0.0,0,,0.0,0,,0,,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,short,B_open,ob,False,-0.0027389096357759626,49,0.0015706800581012641,0.09172956316986369,42,-0.21431426212392665,7,1.2968803331502687,792,5680,-0.0015578265076260209,-0.09477332664146215,0.10494400831475341,0.495,200,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,short,B_open,ob,True,0.0,0,,0.0,0,,0,,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,short,B_open,atr,False,0.19115430359805285,98,0.19195447357050766,0.05091579051376912,86,0.02998345117736696,12,1.3527468007213488,0,5680,,,,,0,,,0.11139981772701701
BNB/USDT:USDT,2h,oos_warm,short,B_open,atr,True,0.0,0,,0.0,0,,0,,0,5680,,,,,0,,,0.11139981772701701
