scope,arm,width_label,width_threshold,guard,reentry,segment,num_cells,num_symbols,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events,symbols_below_gate,min_symbol_trades,adopted_point,exclude
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,14993,0.3894484092576535,-0.999999866421422,-0.1580533445805125,0.9999998958738686,14,0,0,689,False,-LTC
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,46817,0.3890894333255014,-1.0,-0.14766063547934,1.0,18,0,0,3082,False,-SOL
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,14815,0.3896051299358758,-0.9999998867525106,-0.1577831940821136,0.9999999195633228,13,0,0,690,False,-SOL
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,48369,0.3897951167069817,-1.0000000000000002,-0.1433862950134147,1.0000000000000002,17,0,0,3757,False,-TRX
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,15720,0.3896310432569974,-0.9999999550827506,-0.1560965226973992,0.999999966285337,14,0,0,1080,False,-TRX
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,44,11,47030,0.3899000637890708,-0.9999999999999998,-0.1438945058649327,0.9999999999999998,15,0,0,3066,False,-XRP
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,44,11,15130,0.3905485789821546,-0.9999998102751856,-0.1546541766042204,0.9999998591973412,14,0,0,685,False,-XRP
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,full,36,9,38473,0.3909235047955709,-0.9999999999999998,-0.1430035740073602,0.9999999999999998,16,0,0,3110,False,-new3
15m+1h+2h+4h,proximal,1.55,1.55,0.003,True,oos_warm,36,9,12181,0.3894589935144897,-0.9999973860003216,-0.160648296240711,0.9999977707532176,12,0,0,684,False,-new3
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,38981,0.3892152587157846,-1.0,-0.1511528420946677,1.0,14,0,0,2493,False,-ADA
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12642,0.3917892738490745,-0.9999969858612896,-0.1576927912766119,0.999997503701942,12,0,0,556,False,-ADA
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,39094,0.3888832045838236,-1.0000000000000002,-0.1519267931135621,1.0000000000000002,14,0,0,2496,False,-BCH
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12653,0.3880502647593456,-0.9999989847502568,-0.1671163756769606,0.999999138364035,12,0,0,552,False,-BCH
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,39708,0.3892162788354991,-0.9999999999999996,-0.1499573142600205,0.9999999999999996,14,0,0,2500,False,-BNB
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,13016,0.392440073755378,-0.9999979884054414,-0.1536966545773334,0.9999983279761326,12,0,0,558,False,-BNB
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,39936,0.3875450721153846,-1.0,-0.1530630586512813,1.0,15,0,0,2514,False,-BTC
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,13078,0.3886679920477137,-0.9999991447694372,-0.1628481966869679,0.9999992620648686,11,0,0,556,False,-BTC
