scope,arm,fill,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
1h,long_only,pen_5bp,oos,,9,9,789,0.5335868187579215,2.537003762691571,0.112144109428295,22.622710863950733,5,0.0499999999999999,0
1h,long_only,pen_5bp,full,ETH,8,8,2120,0.5811320754716981,345.934572044756,0.1353947427412923,2555.0074178711347,5,0.0499999999999999,0
1h,long_only,pen_5bp,is,ETH,8,8,1408,0.6115056818181818,140.04728295818342,0.0970194528024997,1443.496937086157,5,0.0499999999999999,0
1h,long_only,pen_5bp,oos_warm,ETH,8,8,712,0.5210674157303371,1.6324865678844591,0.1402915423566453,11.636386203057034,4,0.04,0
1h,long_only,pen_5bp,oos,ETH,8,8,692,0.5130057803468208,1.2626639985067225,0.1402915423566451,9.000285956631757,4,0.04,0
1h,long_only,pen_5bp,full,SOL,8,8,2075,0.5855421686746988,299.746864469127,0.1109936542467442,2700.5765915479747,6,0.0488446830824913,0
1h,long_only,pen_5bp,is,SOL,8,8,1368,0.6118421052631579,102.17510420040628,0.0833139292899763,1226.3868127595224,6,0.0488446830824913,0
1h,long_only,pen_5bp,oos_warm,SOL,8,8,707,0.5346534653465347,2.017661025507873,0.1163071938400615,17.347688985450347,4,0.04,0
1h,long_only,pen_5bp,oos,SOL,8,8,694,0.5288184438040345,1.7200364481117103,0.1163071938400614,14.788736546055778,4,0.04,0
1h,long_only,pen_5bp,full,DOGE,8,8,2143,0.5856276248250116,385.8839929601958,0.1003930091716392,3843.73370361337,6,0.05,0
1h,long_only,pen_5bp,is,DOGE,8,8,1422,0.6040787623066104,98.98583659584165,0.1003930091716392,985.9833609191676,6,0.0499999999999999,0
1h,long_only,pen_5bp,oos_warm,DOGE,8,8,721,0.5492371705963939,3.0603311284761956,0.0976234603688344,31.348316448872612,5,0.05,0
1h,long_only,pen_5bp,oos,DOGE,8,8,698,0.5415472779369628,2.43023163911511,0.0976234603688339,24.893930515609505,5,0.0499999999999999,0
1h,long_short,pen_5bp,full,,9,9,4826,0.5613344384583506,8084.410710664826,0.1374807655631746,58803.94015517688,6,0.0571666074508434,0
1h,long_short,pen_5bp,is,,9,9,3172,0.5759773013871374,1959.7803600715183,0.1374807655631746,14254.942151678424,6,0.0571666074508434,0
1h,long_short,pen_5bp,oos_warm,,9,9,1654,0.5332527206771464,11.98938931080419,0.1616295961404967,74.17818021634106,5,0.0501784979939251,0
1h,long_short,pen_5bp,oos,,9,9,1547,0.5326438267614738,9.636580103186242,0.1616295961404972,59.62138329424275,5,0.0501784979939251,0
1h,long_short,pen_5bp,full,ETH,8,8,4273,0.5623683594664171,3899.892619277064,0.1146938454855432,34002.63198750826,5,0.0499999999999999,0
1h,long_short,pen_5bp,is,ETH,8,8,2837,0.5812477969686288,1427.7740870546736,0.1146938454855432,12448.567584514716,5,0.0499999999999999,0
1h,long_short,pen_5bp,oos_warm,ETH,8,8,1436,0.5250696378830083,6.2293452776635965,0.1739368677493766,35.813829225896946,5,0.0501784979939251,0
1h,long_short,pen_5bp,oos,ETH,8,8,1346,0.5230312035661219,4.934349821894226,0.1739368677493763,28.36862527042901,5,0.0501784979939251,0
1h,long_short,pen_5bp,full,SOL,8,8,4137,0.5620014503263234,2867.1784353239836,0.1215198416807654,23594.32332751147,6,0.0571666074508434,0
